url,name,location,description,point,star
https://www.booking.com/hotel/vn/pias-home.vi.html,PIA homestay - Tours & Motobike rental,"037, Hoàng Văn Thụ, Cao Bằng, Việt Nam","Tọa lạc ở Cao Bằng, PIA homestay - Tours & Motobike rental cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa và khu vườn với sân hiên.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Homestay có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á. Tại PIA homestay - Tours & Motobike rental, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực pizza, Bít-tết và Việt. Bên cạnh đó, họ có thể yêu cầu món chay.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.",9.8,
https://www.booking.com/hotel/vn/ngoc-lan-tinh-cao-bang-viet-nam.vi.html,Ngoc Lan Hotel,"Group 4,  Song Hien ward, Cao Bang, Cao Bằng, Việt Nam","Ngoc Lan Hotel tọa lạc ở Cao Bằng. Khách sạn 1 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Du khách có thể tận hưởng cảnh núi.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tất cả các phòng đều có tủ quần áo và ấm đun nước để khách sử dụng.",8.4,1.0
https://www.booking.com/hotel/vn/cao-bang-eco-house.vi.html,CAO BANG ECO HOUSE,"Phố Thầu, Cao Bằng, Việt Nam","CAO BANG ECO HOUSE tọa lạc ở Cao Bằng, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Homestay có sân chơi trẻ em.

CAO BANG ECO HOUSE có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô.",9,
https://www.booking.com/hotel/vn/max-boutique.vi.html,Max Boutique Hotel,"117 Đường Vườn Cam, Thành Phố Cao Bằng, Việt Nam, Cao Bằng, Việt Nam","Tọa lạc ở Cao Bằng, Max Boutique Hotel cung cấp chỗ nghỉ 3 sao có sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Một số căn tại chỗ nghỉ có ban công với view thành phố.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Max Boutique Hotel, phòng nào cũng có ga trải giường và khăn tắm.",8,3.0
https://www.booking.com/hotel/vn/pamela-homestay-cao-bang.vi.html,Pamela Homestay Cao Bằng,"064 ÄÆ°á»ng Hiáº¿n Giang, Cao Bằng, Việt Nam","Pamela Homestay Cao Bằng tọa lạc ở Cao Bằng, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.",9.7,
https://www.booking.com/hotel/vn/sens-homestay-cao-bang.vi.html,Sen's Homestay - Cao Bằng,"060, Tổ 7, Phường Ngọc Xuân, Cao Bằng, Việt Nam","Sen's Homestay - Cao Bằng tọa lạc ở Cao Bằng, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Nơi đây còn có phòng tắm riêng với vòi sen ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Khách tại homestay có thể thưởng thức bữa sáng thực đơn à la carte.",9.7,
https://www.booking.com/hotel/vn/luong-son-homestay-thanh-pho-cao-bang.vi.html,Lương Sơn Homestay,"Pắc Bó, Cao Bằng, Việt Nam","Nằm ở Cao Bằng, Lương Sơn Homestay cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm khu vườn, sân hiên và quầy bar.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu Á cho bữa sáng.",9.1,
https://www.booking.com/hotel/vn/micasa-nha-gac-mai-tren-dinh-doi-cao-bang1.vi.html,MiCasa - Nhà gác mái trên đỉnh đồi,"tổ 07, phường Hòa Chung, Cao Bằng, Việt Nam","MiCasa - Nhà gác mái trên đỉnh đồi tọa lạc ở Cao Bằng, nhìn ra khu vườn và có Wi-Fi miễn phí cùng chỗ đậu xe riêng miễn phí.

Một số căn có sân hiên và/hoặc sân trong nhìn ra núi.

Khách có thể thư giãn trong khu vườn tại chỗ nghỉ.",8.2,
https://www.booking.com/hotel/vn/ca-homestay-cao-bang-thanh-pho-cao-bang.vi.html,Cá Homestay-Cao Bằng,"Nước Giáp, Cao Bằng, Việt Nam","Cá Homestay-Cao Bằng cung cấp các phòng điều hòa ở Cao Bằng. Ngoài bếp chung, chỗ nghỉ này còn có BBQ. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều đi kèm với sân trong. Ngoài phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại Cá Homestay-Cao Bằng đều có view thành phố. Tại chỗ nghỉ, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng hỗ trợ khách vào bất kỳ thời điểm nào trong ngày.",9.4,
https://www.booking.com/hotel/vn/gia-quy.vi.html,Gia Quý Hotel,"Số 007 Đường Hoàng Đình Giong, Phường Hợp Giang, Thành Phố Cao Bằng, Cao Bằng, Việt Nam","Gia Quý Hotel cung cấp chỗ nghỉ ở Cao Bằng. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Tại Gia Quý Hotel, các phòng đều có ga trải giường và khăn tắm.",8.4,3.0
https://www.booking.com/hotel/vn/dh-homestay-cao-bang.vi.html,DH Homestay Cao Bằng,"153 Nước Giáp Hợp Giang, Cao Bằng, Vietnam, Cao Bằng, Việt Nam","DH Homestay Cao Bằng cung cấp phòng chờ chung và tọa lạc ở Cao Bằng. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Với phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, tất cả các căn tại hostel có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại DH Homestay Cao Bằng, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Leo núi là hoạt động được ưa chuộng trong khu vực. Ngoài ra, chỗ nghỉ có dịch vụ thuê ô tô.

Đội ngũ nhân viên của DH Homestay Cao Bằng luôn túc trực tại lễ tân 24/24 để cung cấp thông tin cho du khách.",9,
https://www.booking.com/hotel/vn/simple-homestay-tinh-cao-bang.vi.html,Simple Homestay,"Lô 15-19 Khu Đô Thị Mới, Tổ 2 Phường Đề Thám, Thành Phố Cao Bằng, Cao Bằng, Việt Nam","Simple Homestay tọa lạc ở Cao Bằng. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, mỗi phòng đều được thiết kế có tủ quần áo. Phòng nào cũng có ấm đun nước và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, trong đó một số phòng có bếp được trang bị tủ lạnh. Tại Simple Homestay, các phòng đều có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn túc trực để hỗ trợ khách.",9,
https://www.booking.com/hotel/vn/lans-home-thanh-pho-cao-bang123.vi.html,Lan home- Cao Bang Army Jeep Tours,"68 Phố Lý Tự Trọng, Hợp Giang, Thành phố Cao Bằng, Cao Bằng, Việt Nam","Lan home- Cao Bang Army Jeep Tours tọa lạc ở Cao Bằng, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Nơi đây còn có phòng tắm riêng với vòi sen ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Homestay có dịch vụ cho thuê ô tô.",8.8,
