url,name,location,description,point,star
https://www.booking.com/hotel/vn/elisa.vi.html,ELISA HOTEL,"Hai Bà Trưng 7/1, Pleiku, Việt Nam","Tọa lạc ở Pleiku, cách Pleiku Stadium 9 phút đi bộ, ELISA HOTEL nhìn rakhu vườn. Mỗi phòng tại khách sạn 2 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng phòng chờ chung và sân hiên. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón, bếp chung và Wi-Fi miễn phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view núi. Tại ELISA HOTEL, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ cách Bishop's House of Kontum 48 km. Sân bay gần nhất là Sân bay Pleiku, cách ELISA HOTEL 4 km.",8.4,2.0
https://www.booking.com/hotel/vn/luckystar.vi.html,LuckyStar Hotel,"62 Phan Đình Phùng, Pleiku, Việt Nam","LuckyStar Hotel tọa lạc ở Pleiku, cách Pleiku Stadium chưa đến 1 km và Bishop's House of Kontum 47 km. Ngoài nhà hàng, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Khách sạn có hồ bơi trong nhà và dịch vụ phòng.

Mỗi phòng đều có TV màn hình phẳng, ngoài ra một số căn tại khách sạn có view thành phố. Các phòng đều có tủ quần áo và ấm đun nước để khách sử dụng.

LuckyStar Hotel có phục vụ bữa sáng kiểu Á hằng ngày.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng đưa ra hướng dẫn hữu ích về khu vực xung quanh.

Sân bay Pleiku cách 4 km.",9.3,3.0
https://www.booking.com/hotel/vn/binh-minh-thanh-pho-pleiku1.vi.html,Bình Minh Hotel Pleiku,"98 Quyết Tiến, Pleiku, Việt Nam","Nằm ở Pleiku, cách Pleiku Stadium 17 phút đi bộ, Bình Minh Hotel Pleiku cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí và sân hiên. Du khách có thể tận hưởng cảnh thành phố.

Tại khách sạn, các phòng đều đi kèm với tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng đều có tủ lạnh.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực để hỗ trợ khách tại lễ tân 24/24.

Bình Minh Hotel Pleiku cách Bishop's House of Kontum 49 km. Sân bay Pleiku cách 5 km.",,
https://www.booking.com/hotel/vn/pleiku-pho.vi.html,Homestay Pleiku Phố,"Hẻm 347 Phạm Văn Đồng, Pleiku, Việt Nam","Nhìn ra núi, Homestay Pleiku Phố cung cấp chỗ nghỉ có sân hiên và ban công, cách Bishop's House of Kontum khoảng 45 km. Nằm cách Pleiku Stadium 4.5 km, chỗ nghỉ cung cấp khu vườn và chỗ đậu xe riêng miễn phí.

Nhà nghỉ dưỡng này nhìn ra thành phố, có sàn gỗ, 2 phòng ngủ, 2 phòng tắm với vòi xịt/chậu rửa vệ sinh, vòi sen và đồ vệ sinh cá nhân miễn phí. Khăn tắm và ga trải giường có sẵn ở nhà nghỉ dưỡng.

Nhà nghỉ dưỡng có BBQ. Homestay Pleiku Phố có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô.

Sân bay Pleiku cách 1 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9,
https://www.booking.com/hotel/vn/homestay-49-2-phu-dong.vi.html,Homestay Vườn nhãn,"49 Phù Đổng, Pleiku, Việt Nam","Nằm ở Pleiku, Homestay Vườn nhãn cung cấp chỗ nghỉ có sân hiên hoặc sân trong, Wi-Fi miễn phí và TV màn hình phẳng, cũng như khu vườn và phòng chờ chung.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Khách có thể sử dụng BBQ tại homestay.

Homestay Vườn nhãn cách Pleiku Stadium 17 phút đi bộ và Bishop's House of Kontum 48 km. Sân bay gần nhất là Sân bay Pleiku, cách chỗ nghỉ 7 km.",9.1,
https://www.booking.com/hotel/vn/diora.vi.html,Diora Hotel Pleiku by HOS,"62 Nguyễn Văn Cừ, Pleiku, Việt Nam","Tọa lạc ở Pleiku, cách Pleiku Stadium 2.4 km, Diora Hotel Pleiku by HOS cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Ngoài nhà hàng, khách sạn 4 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có ban công với view thành phố. Tất cả các phòng có TV màn hình phẳng, ngoài ra một số căn tại Diora Hotel Pleiku by HOS có view núi. Tại chỗ nghỉ, tất cả các phòng đều có ga trải giường và khăn tắm.

Diora Hotel Pleiku by HOS có phục vụ bữa sáng thực đơn à la carte mỗi sáng.

Khách sạn có hồ bơi trong nhà. Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Diora Hotel Pleiku by HOS có dịch vụ thuê xe đạp và dịch vụ thuê ô tô.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn túc trực để hỗ trợ khách.

Sân bay Pleiku cách 6 km.",8.6,4.0
https://www.booking.com/hotel/vn/khach-san-pleiku-amp-em.vi.html,Pleiku & Em Hotel by Gia Lai Tourist,"86 Nguyễn Văn Trỗi phường hội thương, Pleiku, Việt Nam","Tọa lạc ở Pleiku, cách Pleiku Stadium 3 phút đi bộ và Bishop's House of Kontum 48 km, Pleiku & Em Hotel by Gia Lai Tourist cung cấp chỗ nghỉ có nhà hàng và Wi-Fi miễn phí cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Khách sạn 4 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Du khách có thể tận hưởng cảnh thành phố.

Tại khách sạn, tất cả các phòng đều được thiết kế có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Pleiku & Em Hotel by Gia Lai Tourist, các phòng được thiết kế có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Á cho bữa sáng.

Sân bay Pleiku cách 5 km.",8.1,4.0
https://www.booking.com/hotel/vn/khach-san-phu-vang.vi.html,KHÁCH SẠN PHÚ VANG,"Lô 69-70 Tôn Thất Tùng - Phường Phù Đổng - Tp. Pleiku Đối diện Bệnh Viện Đa Khoa Tỉnh Gia Lai, Pleiku, Việt Nam","Nằm ở Pleiku, cách Pleiku Stadium 4.4 km, KHÁCH SẠN PHÚ VANG cung cấp chỗ nghỉ có quầy bar và chỗ đậu xe riêng miễn phí. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tất cả các phòng tại khách sạn đi kèm khu vực ghế ngồi, TV có truyền hình cáp, phòng tắm riêng, đồ vệ sinh cá nhân miễn phí và vòi xịt/chậu rửa vệ sinh. Tại KHÁCH SẠN PHÚ VANG, các phòng đều có ga trải giường và khăn tắm.

Sân bay Pleiku cách 11 km.",8,
https://www.booking.com/hotel/vn/hanz-pleiku.vi.html,Pleiku Hotel by Gia Lai Tourist,"3 Nguyen Tat Thanh, Hoa Lu Ward, Pleiku, Gia La, Plây Ku, Pleiku, Việt Nam","Tọa lạc ở Pleiku và cách Pleiku Stadium chưa đến 1 km, Pleiku Hotel by Gia Lai Tourist cung cấp khu vườn, các phòng không gây dị ứng, Wi-Fi miễn phí ở toàn bộ chỗ nghỉ và sân hiên. Khách sạn 4 sao này có dịch vụ phòng và phòng giữ hành lý. Đây là chỗ nghỉ không hút thuốc và nằm cách Bishop's House of Kontum 47 km.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có tủ quần áo, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Pleiku Hotel by Gia Lai Tourist, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Ý cho bữa sáng.

Sân bay gần nhất là Sân bay Pleiku, cách chỗ nghỉ 4 km.",7.8,4.0
https://www.booking.com/hotel/vn/le-center.vi.html,Le Centre Pleiku Hotel,"22 Lê Lai, Pleiku, Việt Nam","Tọa lạc ở Pleiku, cách Pleiku Stadium 12 phút đi bộ, Le Centre Pleiku Hotel cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, khu vườn và sân hiên. Khách sạn 3 sao này cung cấp nhà hàng. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Phòng khách được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Le Centre Pleiku Hotel, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng kiểu Á hoặc món chay.

Le Centre Pleiku Hotel cách Bishop's House of Kontum 49 km. Sân bay Pleiku cách 5 km.",8.4,3.0
