url,name,location,description,point,star
https://www.booking.com/hotel/vn/vila-basi.vi.html,Vila Basi,"Đầu Giồng xã Ba Si - Càng Long - Trà Vinh, Nguyệt Hạng, Việt Nam","Nằm ở Nguyệt Hạng, Vila Basi cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm xe đạp miễn phí, khu vườn và phòng chờ chung.

Khuôn viên của biệt thự đồng quê có sân hiên và du khách có thể đi xe đạp ở khu vực gần đó.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Vila Basi 78 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",8.5,3.0
https://www.booking.com/hotel/vn/van-thai-binh-thanh-pho-tra-vinh10.vi.html,HOTEL VĂN THÁI BÌNH,"44 Lê Lợi, Trà Vinh, Việt Nam","HOTEL VĂN THÁI BÌNH tọa lạc ở Trà Vinh. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Khách sạn có phòng gia đình.

Tại khách sạn, phòng nào cũng có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Phòng khách tại HOTEL VĂN THÁI BÌNH có điều hòa và tủ quần áo.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách chỗ nghỉ 90 km.",7.6,
https://www.booking.com/hotel/vn/malis-homestay-thanh-pho-tra-vinh1.vi.html,Malis Homestay,"200 Phạm Ngũ Lão, Trà Vinh, Việt Nam","Với hồ bơi ngoài trời, khu vườn, cùng quầy bar, Malis Homestay cung cấp chỗ nghỉ ở Trà Vinh có Wi-Fi miễn phí và nhìn ra hồ bơi. Chỗ nghỉ này có sân hiên và chỗ đậu xe riêng miễn phí.

Khăn tắm và ga trải giường có sẵn ở nhà nghỉ B&B.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách nhà nghỉ B&B 90 km.",8.1,3.0
https://www.booking.com/hotel/vn/my-cang.vi.html,Hotel My Cang,"251 Đường 30 Tháng 4, ấp Sa Bình, xã Long Đức, Trà Vinh, Việt Nam","Hotel My Cang tọa lạc ở Trà Vinh và có khu vườn. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, mỗi phòng đều được thiết kế có điều hòa và TV màn hình phẳng.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Việt và tiếng Hoa.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Hotel My Cang 92 km.",8.7,
https://www.booking.com/hotel/vn/tien-39-s-homestay-thanh-pho-tra-vinh.vi.html,Bich Ngoan HOTEL,"22 Mười Chín Tháng Năm, Trà Vinh, Việt Nam","Nằm ở Trà Vinh, Bich Ngoan HOTEL cung cấp chỗ nghỉ có ban công hoặc sân trong, Wi-Fi miễn phí và TV màn hình phẳng, cũng như khu vườn và sân hiên.

Nơi đây còn có phòng tắm riêng với vòi sen ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí và máy sấy tóc.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách homestay 88 km.",7.9,
https://www.booking.com/hotel/vn/lucky-thanh-pho-tra-vinh.vi.html,Lucky Hotel,"75 Nguyễn Thị Minh Khai, Trà Vinh, Việt Nam","Lucky Hotel tọa lạc ở Trà Vinh. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, tất cả các phòng đều có tủ quần áo. Tất cả các phòng đều được thiết kế có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Lucky Hotel, các phòng đều có điều hòa và TV màn hình phẳng.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt, ngoài ra khách có thể yêu cầu thông tin về khu vực xung quanh khi có nhu cầu.

Sân bay Quốc tế Cần Thơ cách 88 km.",10,
https://www.booking.com/hotel/vn/mekong-garden.vi.html,Tra Vinh Lodge,"Ap Don, Cang Long, Nhi Long, 0084 Nguyệt Hạng, Việt Nam","Tra Vinh Lodge có khu vườn, sân hiên, nhà hàng và quầy bar ở Nguyệt Hạng. Resort 3 sao này có bàn bán tour. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại resort, phòng nào cũng có bàn làm việc, ga trải giường và ban công với view sông. Phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng khách đều có tủ quần áo và ấm đun nước để khách sử dụng.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Tra Vinh Lodge 84 km.",7.7,3.0
https://www.booking.com/hotel/vn/nha-nghi-huynh-yen.vi.html,Nhà Nghĩ Huỳnh Yên,"376 ấp Cây Hẹ xã Phú Cần huyện Tiểu Cần tỉnh Trà Vinh, Trà Vinh, Việt Nam","Nhà Nghĩ Huỳnh Yên cung cấp khu vườn và tọa lạc ở Trà Vinh. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại motel, mỗi phòng đều có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Các phòng tại Nhà Nghĩ Huỳnh Yên có điều hòa và tủ quần áo.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách chỗ nghỉ 75 km.",,
https://www.booking.com/hotel/vn/vilabasi-co-thap.vi.html,Vilabasi Cổ Tháp,"Co Thap B, Nguyet Hoa, Chau Thanh, Tra Vinh, Trà Vinh, Việt Nam","Vilabasi Cổ Tháp tọa lạc ở Trà Vinh. Nhà nghỉ dưỡng cung cấp xe đạp miễn phí và Wi-Fi miễn phí.

Nhà nghỉ dưỡng điều hòa này có 2 phòng ngủ, TV màn hình phẳng và bếp.

Nhà nghỉ dưỡng có dịch vụ cho thuê ô tô.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Vilabasi Cổ Tháp 84 km.",4,
https://www.booking.com/hotel/vn/thuy-nguyen.vi.html,Hotel Thuý Nguyễn,"354 Đường Đồng Khởi nối dài, khóm 1 phường 9, Cà Sang, Việt Nam","Hotel Thuý Nguyễn tọa lạc ở Cà Sang và có quầy bar. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Thành thạo tiếng Anh, tiếng Thái và tiếng Việt, đội ngũ nhân viên luôn túc trực 24/7 tại lễ tân.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 90 km.",6.9,
