url,name,location,description,point,star
https://www.booking.com/hotel/vn/mia-homestay-vinhomes-ocean-park-2.vi.html,Mia homestay - Vinhomes Ocean Park 2 - 3,"Đường Kinh Đô, Hòa Bình, Việt Nam","Nằm ở Hòa Bình và cách Trung tâm mua sắm AEON MALL Long Biên 13 km, Mia homestay - Vinhomes Ocean Park 2 - 3 cung cấp dịch vụ tiền sảnh, các phòng không gây dị ứng, khu vườn, Wi-Fi miễn phí ở toàn bộ chỗ nghỉ và sân hiên. Chỗ nghỉ cách Ô Quan Chưởng khoảng 19 km, Hồ Hoàn Kiếm 19 km và Nhà hát Lớn Hà Nội 20 km. Đây là chỗ nghỉ không hút thuốc và tọa lạc cách Nhà hát múa rối Thăng Long 19 km.

Tại khách sạn con nhộng, các phòng đều đi kèm với sân trong. Ngoài phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại Mia homestay - Vinhomes Ocean Park 2 - 3 đều có view thành phố. Tại chỗ nghỉ, các phòng được thiết kế có ga trải giường và khăn tắm.

Mia homestay - Vinhomes Ocean Park 2 - 3 cách Tràng Tiền Plaza 20 km và Nhà thờ Thánh Joseph 21 km.",8.3,
https://www.booking.com/hotel/vn/khach-san-phuong-anh.vi.html,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm, Hưng Yên, Việt Nam","Nằm ở Hưng Yên, cách Trung tâm mua sắm AEON MALL Long Biên 12 km, Khách sạn Phương Anh cung cấp chỗ nghỉ có hồ bơi ngoài trời theo mùa, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Ngoài nhà hàng, chỗ nghỉ còn có sân hiên, phòng xông hơi khô và bể sục. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, các phòng đều có tủ quần áo. Các phòng được thiết kế có ấm đun nước, trong đó một số phòng có bếp với tủ lạnh và lò nướng. Tại Khách sạn Phương Anh, tất cả các phòng đều có điều hòa và TV màn hình phẳng.

Chỗ nghỉ có sân chơi trẻ em. Khách tại Khách sạn Phương Anh sẽ có thể tận hưởng các hoạt động ở trong Hưng Yên và khu vực xung quanh, như leo núi.

Khách sạn cách Nhà hát múa rối Thăng Long 19 km và Ô Quan Chưởng 19 km.",8.2,3.0
https://www.booking.com/hotel/vn/qvhomestay-ecopark-hung-yen.vi.html,Ecopark QV Homestay JAPAN,"Văn Giang Hưng Yên Sky1 Aquabay, Hưng Yên, Việt Nam","Nằm ở Hưng Yên, cách Trung tâm mua sắm AEON MALL Long Biên 12 km và Nhà hát múa rối Thăng Long 18 km, Ecopark QV Homestay JAPAN cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa, khu vườn và nhà hàng. Với hồ bơi riêng, căn hộ nằm ở khu vực mà khách có thể tham gia vào các hoạt động như leo núi và đi xe đạp.

Với sân hiên nhìn ra thành phố, căn hộ có 1 phòng ngủ, phòng khách, TV màn hình phẳng truyền hình vệ tinh, bếp đầy đủ tiện nghi, 1 phòng tắm với vòi xịt/chậu rửa vệ sinh và vòi sen. Khăn tắm và ga trải giường có sẵn ở căn hộ.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn túc trực để hỗ trợ khách.

Khách có thể sử dụng sân chơi trẻ em tại căn hộ.

Ecopark QV Homestay JAPAN cách Ô Quan Chưởng 18 km và Hồ Hoàn Kiếm 18 km. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 37 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.7,4.0
https://www.booking.com/hotel/vn/solforest-homestay-ecopark.vi.html,Sam's homestay-Solforest 2 bedrooms apartment,"Solforest Ecopark, Hưng Yên, Việt Nam","Nhìn ra thành phố, Sam's homestay-Solforest 2 bedrooms apartment cung cấp chỗ nghỉ có khu vườn và ban công, cách Trung tâm mua sắm AEON MALL Long Biên khoảng 10 km. Căn hộ cách Nhà hát múa rối Thăng Long 17 km và Ô Quan Chưởng 17 km, đồng thời có Wi-Fi miễn phí.

Căn hộ điều hòa 2 phòng ngủ này có khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp và bếp với tủ lạnh. Khăn tắm và ga trải giường có sẵn ở căn hộ.

Căn hộ cách Hồ Hoàn Kiếm 17 km và Nhà hát Lớn Hà Nội 17 km.",9.9,4.0
https://www.booking.com/hotel/vn/capsule-ecopark-hung-yen.vi.html,Capsule Ecopark,"Tòa nhà S-Ppremium Sky Oasis Ecopark, Xuân Quan, Văn Giang, Hưng Yên, Việt Nam Tòa S-Premium, tầng 32, phòng 08A, Hưng Yên, Việt Nam","Nhìn ra thành phố, Capsule Ecopark tọa lạc ở Hưng Yên và có nhà hàng, bếp chung, bar thức ăn nhẹ, khu vườn, sân hiên cũng như sân chơi trẻ em. Wi-Fi miễn phí được cung cấp.

Mỗi căn đều có sân trong nhìn ra khu vườn, TV màn hình phẳng truyền hình cáp, bếp tiện nghi, cùng phòng tắm riêng có vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh, minibar và bếp, cũng như ấm đun nước đều được cung cấp.

Khuôn viên của khách sạn căn hộ có công viên nước và du khách có thể leo núi hoặc đi xe đạp ở khu vực gần đó.

Capsule Ecopark cách Trung tâm mua sắm AEON MALL Long Biên 8.9 km và Nhà hát múa rối Thăng Long 15 km.",8.5,
https://www.booking.com/hotel/vn/langmandi-experience-ocp2.vi.html,Langmandi Experience OCP2,"Chà Là, Hòa Bình, Việt Nam","Nằm cách Trung tâm mua sắm AEON MALL Long Biên 15 km, Langmandi Experience OCP2 cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các căn có phòng tắm riêng, điều hòa, TV màn hình phẳng và tủ lạnh. Một số căn còn có bếp được trang bị lò vi sóng và bếp.

Khách có thể thư giãn trong khu vườn tại chỗ nghỉ.

Căn hộ cách Nhà hát múa rối Thăng Long 21 km và Ô Quan Chưởng 21 km.",7.8,3.0
https://www.booking.com/hotel/vn/sunset-river-apartment-ecopark-ha-noi.vi.html,Sunset River Apartment - Ecopark,"Tòa nhà Haven park 1, Huyện Văn Giang, Hưng Yên, Hưng Yên, Việt Nam","Với khu vườn, phòng chờ chung, cùng sân hiên, Sunset River Apartment - Ecopark cung cấp chỗ nghỉ ở Hưng Yên có Wi-Fi miễn phí và nhìn ra thành phố. Căn hộ này còn có hồ bơi riêng.

Căn hộ điều hòa này có 1 phòng ngủ với ban công nhìn ra sông. Khăn tắm và ga trải giường có sẵn ở căn hộ.

Khách có thể sử dụng sân chơi trẻ em và BBQ tại căn hộ.

Sunset River Apartment - Ecopark cách Trung tâm mua sắm AEON MALL Long Biên 10 km và Nhà hát múa rối Thăng Long 15 km.",10,4.0
https://www.booking.com/hotel/vn/landmark-2-onsen-ecopark-van-giang.vi.html,Onsen Landmark 2 Ecopark,"Ecopark Landmark 2, Cong Luận, Việt Nam","Với hồ bơi ngoài trời, khu vườn, cùng nhà hàng, Onsen Landmark 2 Ecopark cung cấp chỗ nghỉ ở Cong Luận có Wi-Fi miễn phí và nhìn ra khu vườn. Chỗ nghỉ nằm cách Trung tâm mua sắm AEON MALL Long Biên 12 km và cung cấp máy ATM.

Căn hộ điều hòa này có 1 phòng ngủ, phòng khách, bếp đầy đủ tiện nghi với lò vi sóng và ấm đun nước, 1 phòng tắm với vòi sen và bể sục. TV màn hình phẳng được cung cấp.

Căn hộ cách Nhà hát múa rối Thăng Long 17 km và Ô Quan Chưởng 17 km.",9.5,4.0
https://www.booking.com/hotel/vn/h2-homestay-45m2-01-ngu-ecopark-van-giang-hung-yen.vi.html,"H2 Homestay - Ecopark, Văn Giang, Hưng Yên","Ecopark  Văn Giang, Hưng Yên, Hưng Yên, Việt Nam","Tọa lạc ở Hưng Yên, cách Trung tâm mua sắm AEON MALL Long Biên 12 km và Nhà hát múa rối Thăng Long 18 km, H2 Homestay - Ecopark, Văn Giang, Hưng Yên nhìn ra thành phố và cung cấp Wi-Fi miễn phí.

Một số căn có TV màn hình phẳng truyền hình vệ tinh, bếp đầy đủ tiện nghi với tủ lạnh, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí.

Căn hộ có sân chơi trẻ em.

Chỗ nghỉ này có phòng chờ chung, ngoài ra khách có thể leo núi gần đó.

H2 Homestay - Ecopark, Văn Giang, Hưng Yên cách Ô Quan Chưởng 18 km và Hồ Hoàn Kiếm 19 km.",8.1,3.0
https://www.booking.com/hotel/vn/cui-homestay-ecopark-firewood.vi.html,Củi Homestay Oasis Ecopark,"Oasis S3, Ecopark, Văn Giang, Hưng Yên, Kim Quan, Việt Nam","Tọa lạc ở Kim Quan, cách Trung tâm mua sắm AEON MALL Long Biên 9.1 km, Củi Homestay Oasis Ecopark cung cấp chỗ nghỉ có xe đạp miễn phí, Wi-Fi miễn phí, dịch vụ phòng, cùng máy ATM. Căn hộ này còn có hồ bơi riêng.

Căn hộ điều hòa này có 1 phòng ngủ với sân hiên nhìn ra khu vườn và bếp đầy đủ tiện nghi. TV màn hình phẳng được cung cấp.

Căn hộ có sân chơi trẻ em. Sau một ngày leo núi hoặc đi xe đạp, khách có thể thư giãn trong khu vườn hoặc khu vực phòng chờ chung.

Củi Homestay Oasis Ecopark cách Nhà hát múa rối Thăng Long 15 km. Sân bay Quốc tế Nội Bài cách 38 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",,4.0
