url,name,location,description,point,star
https://www.booking.com/hotel/vn/3-rooms-wyndham-lynn-times-tthanh-thuy-hot-spring-myhome.vi.html,Wyndham Thanh Thuy Hot Spring MyHome,"Bảo Yên, Thanh Thủy, Phú Thọ, Vietnam, Phú Thọ, Việt Nam","Với khu vườn, phòng chờ chung, cùng sân hiên, Wyndham Thanh Thuy Hot Spring MyHome cung cấp chỗ nghỉ ở Phú Thọ có Wi-Fi miễn phí và nhìn ra núi. Chỗ nghỉ tọa lạc cách Vietnam National University 45 km và cung cấp bếp chung.

Biệt thự điều hòa này có 3 phòng ngủ, phòng khách, bếp đầy đủ tiện nghi với tủ lạnh và ấm đun nước, 3 phòng tắm với vòi sen và bể sục. Khăn tắm và ga trải giường có sẵn ở biệt thự.

Biệt thự có phục vụ bữa sáng kiểu Á hằng ngày.

Wyndham Thanh Thuy Hot Spring MyHome có dịch vụ cho thuê ô tô.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 83 km.",9.1,4.0
https://www.booking.com/hotel/vn/sojo-viet-tri.vi.html,SOJO Hotel Viet Tri,"938 Đại lộ Hùng Vương, Việt Trì, Việt Nam","Tọa lạc ở Việt Trì, cách Phủ Thành Chương 50 km, SOJO Hotel Viet Tri cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Khách sạn 4 sao này có bếp chung và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp máy ATM, dịch vụ tiền sảnh và phòng giữ hành lý cho khách.

Tại khách sạn, phòng nào cũng có điều hòa và TV màn hình phẳng.

Khách có thể thưởng thức bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa tại chỗ nghỉ.

SOJO Hotel Viet Tri cách Vietnam National University 45 km. Sân bay Quốc tế Nội Bài cách 57 km.",8.6,4.0
https://www.booking.com/hotel/vn/quynh-huong-phu-tho.vi.html,Quỳnh Hương Hotel Phú Thọ,"Thuỷ Nhật, Lâm Thao, Phú Thọ, Phú Thọ, Việt Nam","Quỳnh Hương Hotel Phú Thọ tọa lạc ở Phú Thọ. Khách sạn 3 sao này có các phòng được trang bị điều hòa. Khách sạn cung cấp cả Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, mỗi phòng đều được thiết kế có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Phòng khách đều có tủ quần áo và ấm đun nước để khách sử dụng.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực 24/7 tại lễ tân 24/24.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Quỳnh Hương Hotel Phú Thọ 66 km.",6.9,3.0
https://www.booking.com/hotel/vn/khach-san-x2-vibe-viet-tri.vi.html,Khách Sạn X2 Vibe Việt Trì,"Hai Bà Trưng, Làng Tiên Cát, Việt Nam","Nằm ở Làng Tiên Cát, cách Phủ Thành Chương 50 km, Khách Sạn X2 Vibe Việt Trì cung cấp chỗ nghỉ có sân hiên, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, phòng giữ hành lý và dịch vụ thu đổi ngoại tệ cho khách.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Khách Sạn X2 Vibe Việt Trì, các phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng mỗi buổi sáng, gồm các lựa chọn thực đơn buffet, kiểu lục địa và kiểu Mỹ.

Chỗ nghỉ cách Vietnam National University 45 km. Sân bay Quốc tế Nội Bài cách 59 km.",9.1,3.0
https://www.booking.com/hotel/vn/truong-an-hostel.vi.html,Trường An Hostel,"Quang Trung Băng 2, Việt Trì, Việt Nam","Nằm ở Việt Trì, cách Vietnam National University 49 km, Trường An Hostel cung cấp chỗ nghỉ có xe đạp miễn phí và chỗ đậu xe riêng miễn phí. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bàn bán tour và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tại khách sạn, các phòng đều đi kèm với phòng tắm riêng với máy sấy tóc và dép đi trong phòng.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Trường An Hostel có dịch vụ thuê ô tô.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 55 km.",7.9,
https://www.booking.com/hotel/vn/wyndham-lynn-times-thanh-thuy-khu-nghi-duong-khoang-nong.vi.html,WYNDHAM LYNN TIMES THANH THỦY - KHU NGHỈ DƯỠNG KHOÁNG NÓNG,"Bảo Yên Thanh Thuỷ Phú Thọ, Phú Thọ, Việt Nam","Tọa lạc ở Phú Thọ, cách Vietnam National University 44 km, WYNDHAM LYNN TIMES THANH THỦY - KHU NGHỈ DƯỠNG KHOÁNG NÓNG cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Khách sạn 5 sao này có các phòng được trang bị điều hòa, phòng tắm riêng và Wi-Fi miễn phí. Khách sạn có phòng gia đình.

Tại khách sạn, phòng nào cũng có ban công.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách WYNDHAM LYNN TIMES THANH THỦY - KHU NGHỈ DƯỠNG KHOÁNG NÓNG 84 km.",7.9,5.0
https://www.booking.com/hotel/vn/thai-duong-viet-tri.vi.html,Thái Dương Hotel,"Khu 6, Phượng Lâu, Việt Trì, Phú Thọ, Việt Trì, Việt Nam","Thái Dương Hotel tọa lạc ở Việt Trì và có sân hiên. Ngoài khu vườn, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng.

Tại khách sạn, tất cả các phòng đều được thiết kế có bàn làm việc, ga trải giường và ban công với view vườn. Các phòng ở Thái Dương Hotel được trang bị TV màn hình phẳng và máy sấy tóc.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 52 km.",8.2,2.0
https://www.booking.com/hotel/vn/muong-thanh-luxury-phu-tho.vi.html,Muong Thanh Luxury Phu Tho,"CC17 Unit, Hung Vuong Square, Việt Trì, Việt Nam","Tọa lạc tại thành phố Việt Trì, Muong Thanh Luxury Phu Tho chào đón du khách với hồ bơi ngoài trời và nhà hàng tại chỗ. Khách sạn cung cấp chỗ ở ấm cúng với máy lạnh, Wi-Fi miễn phí trong tất cả các khu vực và chỗ đỗ xe riêng miễn phí ngay trong khuôn viên.

Được trang trí trang nhã với gam màu be và nâu, tất cả các phòng nghỉ tại đây đều có tầm nhìn ra quang cảnh thành phố, sàn trải thảm, khu vực tiếp khách, tủ quần áo và két an toàn. TV truyền hình vệ tinh màn hình phẳng, minibar và ấm đun nước điện cũng được trang bị trong phòng để tạo sự tiện lợi cho du khách. Một số phòng cho tầm nhìn ra quang cảnh hồ bơi/dòng sông. Mỗi phòng đều đi kèm phòng tắm riêng với tiện nghi vòi sen, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Du khách có thể đổ mồ hôi trong phòng xông hơi khô, ngâm mình ở bể sục hay thư giãn với dịch vụ mát-xa tại trung tâm spa. Đội ngũ nhân viên chuyên nghiệp tại quầy lễ tân 24 giờ có thể giao tiếp thành thạo 5 thứ tiếng khác nhau và có thể hỗ trợ du khách với dịch vụ giữ hành lý cũng như thu đổi ngoại tệ. Dịch vụ cho thuê xe hơi và các chuyến đi trong ngày có thể được sắp xếp tại bàn đặt tour.

Du khách có thể chơi tennis tại khách sạn này. Trung tâm thương mại Vincom Plaza Việt Trì cách khách sạn 400 m. Sân bay gần nhất là sân bay quốc tế Nội Bài, nằm trong bán kính 44 km từ Muong Thanh Luxury Phu Tho.

Nhà hàng Âu Lạc phục vụ bữa sáng tự chọn với các món ăn Á-Âu ngon lành cho khách lưu trú.",8,5.0
https://www.booking.com/hotel/vn/nha-nghi-moc-huong.vi.html,Mộc Hương Hotel,"Phố Chu Văn An - Tổ 4A - Hương Trầm - Phường Dữu Lâu - Thành phố Việt Trì - Tỉnh Phú Thọ, Phú Thọ, Việt Nam","Nằm ở Phú Thọ, cách Vietnam National University 50 km, Mộc Hương Hotel cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí và sân hiên. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 56 km.",7.5,3.0
https://www.booking.com/hotel/vn/homestay-tonyluan.vi.html,Homestay TonyLuận,"1 Bông, Phú Thọ, Việt Nam","Nhìn ra núi, Homestay TonyLuận ở Phú Thọ cung cấp chỗ nghỉ có khu vườn, phòng chờ chung, sân hiên và nhà hàng. Wi-Fi miễn phí được cung cấp.

Với ban công, một số căn có điều hòa, khu vực ăn uống và khu vực ghế ngồi với TV. Tại đây có phòng tắm chung đầy đủ tiện nghi với vòi sen và đồ vệ sinh cá nhân miễn phí.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn buffet, kiểu Mỹ và kiểu Á.

Du khách có thể leo núi và câu cá gần đó.

Sân bay Quốc tế Nội Bài cách 112 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",10,
