url,name,location,description,point,star
https://www.booking.com/hotel/vn/local-ha-giang.vi.html,Local Ha Giang Hotel,"92q Nguyễn Trãi, Hà Giang, Việt Nam","Local Ha Giang Hotel cung cấp chỗ nghỉ tại Hà Giang. Ngoài sân hiên, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tất cả các phòng ở khách sạn được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Khách tại Local Ha Giang Hotel có thể thưởng thức bữa sáng món chay.",9.6,2.0
https://www.booking.com/hotel/vn/duc-lan.vi.html,Đức Lan Hotel,"143 Trần Hưng Đạo, Hà Giang, Việt Nam","Đức Lan Hotel cung cấp các phòng điều hòa ở Hà Giang. Ngoài Wi-Fi miễn phí, khách sạn 2 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Khách sạn có phòng gia đình.

Tại khách sạn, mỗi phòng đều được thiết kế có tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Phòng khách đều có tủ lạnh.",8.1,2.0
https://www.booking.com/hotel/vn/nha-la-homestay-ha-giang.vi.html,Nhà Lá Homestay,"Thôn Tha Phương Độ TP Hà Giang, Hà Giang, Việt Nam","Nhà Lá Homestay tọa lạc ở Hà Giang. Homestay cung cấp chỗ đậu xe riêng miễn phí, quầy lễ tân 24 giờ và Wi-Fi miễn phí.

Homestay có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.",9,
https://www.booking.com/hotel/vn/odyssey-ha-giang-hostel.vi.html,"Odyssey Hostel, Tours & Motorbikes Rental","Lane 29, Group 18, Nguyen Trai Street, Hà Giang, Việt Nam","Nằm ở Hà Giang, Odyssey Hostel, Tours & Motorbikes Rental có hồ bơi ngoài trời, khu vườn và sân hiên. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách.

Khách tại hostel có thể thưởng thức bữa sáng kiểu Mỹ hoặc kiểu Á.

Khách có thể chơi bi-a tại Odyssey Hostel, Tours & Motorbikes Rental. Ngoài ra, chỗ nghỉ có dịch vụ thuê ô tô.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng đưa ra đề xuất hữu ích về khu vực xung quanh.",9.4,
https://www.booking.com/hotel/vn/ha-giang-garden-bungalow.vi.html,Ha Giang Eco Bungalow,"Đường 2, Hà Giang, Việt Nam","Nhìn ra núi, Ha Giang Eco Bungalow ở Hà Giang cung cấp chỗ nghỉ có hồ bơi ngoài trời, trung tâm thể dục, khu vườn, nhà hàng và quầy bar. Wi-Fi miễn phí được cung cấp ở toàn bộ chỗ nghỉ.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu Á hoặc món chay tại chỗ nghỉ.

Lodge có dịch vụ cho thuê xe đạp.",9.5,
https://www.booking.com/hotel/vn/yen-bien-luxury.vi.html,YEN BIEN LUXURY HOTEL,"Nguyễn Trãi Số 517 Nguyễn Trãi, Hà Giang, Việt Nam","Tọa lạc ở Hà Giang, YEN BIEN LUXURY HOTEL cung cấp chỗ nghỉ 4 sao có hồ bơi ngoài trời theo mùa, nhà hàng và quầy bar. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tất cả các căn tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, phòng tắm riêng, vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. YEN BIEN LUXURY HOTEL cung cấp một số căn nhìn ra thành phố và tất cả các phòng đều được thiết kế có ấm đun nước. Phòng khách có bàn làm việc.

Với đội ngũ nhân viên thành thạo tiếng Anh và tiếng Việt, dịch vụ thông tin luôn có sẵn tại lễ tân.",8.8,4.0
https://www.booking.com/hotel/vn/ruby-ha-giang.vi.html,Ruby Hostel,"47, Lam Dong Street, Tran Phu Ward, Ha Giang, Hà Giang, Việt Nam","Ruby Hostel có xe đạp miễn phí, khu vườn, phòng chờ chung và sân hiên ở Hà Giang. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê ô tô cho những khách muốn khám phá khu vực xung quanh.

Mỗi phòng đều có điều hòa, ngoài ra một số căn tại khách sạn có ban công.

Khách tại Ruby Hostel sẽ có thể tận hưởng các hoạt động ở trong Hà Giang và khu vực xung quanh, như đi xe đạp.

Sân bay gần nhất là Sân bay Wenshan Puzhehei, cách chỗ nghỉ 147 km.",7.5,
https://www.booking.com/hotel/vn/homestay-quan-huyen-ha-giang3.vi.html,Homestay Quân Huyền,"Dốc 3 khoanh Đường phong Quang Tổ 3 phường Quang trung, TP Hà Giang, Hà Giang, Việt Nam","Nằm ở Hà Giang, Homestay Quân Huyền cung cấp chỗ nghỉ có khu vực ghế ngồi.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, dép đi trong phòng và áo choàng tắm.

Khu cắm trại có phục vụ bữa sáng thực đơn buffet mỗi buổi sáng.",,
https://www.booking.com/hotel/vn/ha-giang-xanh-homestay.vi.html,"Ha Giang Xanh Retreat - Trekking, Tour, Motorbike Rental","Nguyễn Văn Linh, Hà Giang, Việt Nam","Nhìn ra núi, Ha Giang Xanh Retreat - Trekking, Tour, Motorbike Rental nằm ở Hà Giang và có nhà hàng, bếp chung, quầy bar, khu vườn, hồ bơi ngoài trời mở quanh năm cũng như sân hiên. WiFi miễn phí có sẵn ở toàn bộ chỗ nghỉ.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Nhà nghỉ B&B có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.",9.3,3.0
https://www.booking.com/hotel/vn/sun-ha-giang.vi.html,Sun Hà Giang Hotel-tours-motorbike rental,"Đường chưa đặt tên 31 Nguyễn văn cừ  Minh Khai Hà Giang Tp Hà giang, Hà Giang, Việt Nam","Sun Hà Giang Hotel-tours-motorbike rental cung cấp chỗ nghỉ tại Hà Giang. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ đưa đón cho những khách muốn khám phá khu vực xung quanh.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có sân hiên. Tất cả các phòng đều có tủ quần áo và ấm đun nước để khách sử dụng.",8.9,3.0
