url,name,location,description,point,star
https://www.booking.com/hotel/vn/the-sunflower-boutique-residences-thanh-pho-hue.vi.html,De Huong Duong Residences,"37b Hai Bà Trưng, Huế, Việt Nam","Nhìn ra thành phố, De Huong Duong Residences ở Huế cung cấp chỗ nghỉ có khu vườn, phòng chờ chung, sân hiên và quầy bar. Wi-Fi miễn phí được cung cấp ở toàn bộ chỗ nghỉ.

Được thiết kế với sân trong, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi sen và đồ vệ sinh cá nhân miễn phí. Tủ lạnh, máy rửa bát và minibar, cũng như ấm đun nước đều được cung cấp.

Khách sạn căn hộ có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô, đồng thời du khách có thể leo núi gần đó.

Các điểm tham quan nổi tiếng gần De Huong Duong Residences bao gồm Cầu Tràng Tiền, Chợ Đông Ba và Bảo tàng Museum of Royal Antiquities. Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách chỗ nghỉ 13 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.6,3.0
https://www.booking.com/hotel/vn/jade-scene.vi.html,Jade Scene Hotel,"30/42 Nguyen Cong Tru, Huế, Việt Nam","Nằm ở Huế, cách Cầu Tràng Tiền 18 phút đi bộ, Jade Scene Hotel cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Chỗ nghỉ này có quầy bar, cũng như nhà hàng phục vụ ẩm thực Việt. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Tại khách sạn, tất cả các phòng có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view thành phố. Tất cả các căn đều có tủ quần áo và ấm đun nước để khách sử dụng.

Jade Scene Hotel có phục vụ bữa sáng thực đơn buffet hoặc thực đơn à la carte.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 3 sao này có dịch vụ thuê xe đạp.

Chỗ nghỉ cách Chợ Đông Ba 3 km và Bảo tàng Museum of Royal Antiquities 3.1 km.",9.3,3.0
https://www.booking.com/hotel/vn/hue-serene-palace.vi.html,Hue Serene Palace Hotel,"21 Lane 42 Nguyen Cong Tru, Huế, Việt Nam","Hue Serene Palace Hotel is strategically located within 1 km from the famous Huong River and Trang Tien Bridge. It features modern rooms equipped and offers free Wi-Fi access throughout the property.

The hotel is just 2 km to Hue Citadel and about 3 km to Hue Train Station. Hue Airport is 15 km away, while Da Nang International Airport is approximately 90 km away.

Fitted with parquet flooring, air-conditioned rooms are well-furnished with a wardrobe, personal safe, a flat-screen cable TV and seating area. Complimentary tea and coffee making facilities are also included. The en suite bathroom comes with a hairdryer, bathrobes and free toiletries.

Hue Serene Palace Hotel has a tour desk that can assist with sightseeing and travel arrangements. Luggage storage, laundry services can be requested from the 24-hour front desk. Other conveniences include a business center, currency exchange and bicycle/car rental services.",8.9,3.0
https://www.booking.com/hotel/vn/meta-apartment.vi.html,KLy Apartment Hotel,"36 Nguyễn Tri Phương 36 Nguyễn Tri Phương, Huế, Việt Nam","KLy Apartment Hotel là chỗ nghỉ 3 sao nằm ở Huế, cách Cầu Tràng Tiền 8 phút đi bộ và Chợ Đông Ba 1.3 km. Chỗ nghỉ cách Tử Cấm Thành khoảng 3.2 km, Hồ Tịnh Tâm 3.8 km và Chùa Thiên Mụ 5.8 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại KLy Apartment Hotel, các phòng được thiết kế có ga trải giường và khăn tắm.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bảo tàng Museum of Royal Antiquities, Cung An Định và Bảo tàng Hồ Chí Minh. Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách KLy Apartment Hotel 13 km.",8.8,3.0
https://www.booking.com/hotel/vn/nam-gold-thanh-pho-hue1.vi.html,Kly Boutique Hotel,"15 Phạm Ngũ Lão, Huế, Việt Nam","Kly Boutique Hotel nằm ở Huế, cách Bảo tàng Museum of Royal Antiquities 2.6 km và Tử Cấm Thành 3.7 km. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Đây là chỗ nghỉ không gây dị ứng và tọa lạc cách Cầu Tràng Tiền chưa đến 1 km.

Tại khách sạn, tất cả các phòng có bàn làm việc. Với phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, tất cả các căn tại Kly Boutique Hotel có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Các điểm tham quan nổi tiếng gần Kly Boutique Hotel bao gồm Chợ Đông Ba, Cung An Định và Redemptorist Church. Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách khách sạn 14 km.",8.8,3.0
https://www.booking.com/hotel/vn/pisces-hue.vi.html,Pisces Hotel Hue,"6/4 kiet 7 Nguyễn Công Trứ tổ 13, phường phú hội, Tp. Huế, Huế, Việt Nam","Pisces Hotel Hue nằm ở Huế, cách Cầu Tràng Tiền 14 phút đi bộ và Chợ Đông Ba 1.9 km. Ngoài hồ bơi ngoài trời, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Khách sạn cung cấp sân hiên và lễ tân 24/24.

Phòng khách tại khách sạn đi kèm khu vực ghế ngồi. Các phòng đều có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tất cả các phòng ở Pisces Hotel Hue được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Chỗ nghỉ cách Bảo tàng Museum of Royal Antiquities 2.9 km. Sân bay quốc tế Phú Bài cách 14 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.8,2.0
https://www.booking.com/hotel/vn/komi-homestay.vi.html,Komi House Homestay,"1 kiet 28 Hùng Vương tổ 11, Huế, Việt Nam","Tọa lạc cách Cầu Tràng Tiền 7 phút đi bộ, Komi House Homestay cung cấp chỗ nghỉ có khu vườn, sân hiên và bếp chung. WiFi miễn phí có sẵn ở toàn bộ chỗ nghỉ.

Tất cả các căn có khu vực ghế ngồi, khu vực ăn uống, cùng bếp đầy đủ tiện nghi với nhiều thiết bị nấu nướng bao gồm tủ lạnh, lò vi sóng và bếp. Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Các điểm tham quan nổi tiếng gần homestay bao gồm Chợ Đông Ba, Bảo tàng Museum of Royal Antiquities và Cung An Định. Sân bay quốc tế Phú Bài cách 13 km.",8.9,
https://www.booking.com/hotel/vn/boutique-hue.vi.html,Boutique Hue K L Y,"13 Phạm Ngũ Lão, Huế, Việt Nam","Là chỗ nghỉ với sân hiên, Wi-Fi miễn phí và nhìn ra thành phố, Boutique Hue K L Y nằm tại vị trí thuận tiện ở Huế, cách Cầu Tràng Tiền, Chợ Đông Ba và Cung An Định một đoạn ngắn.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và minibar. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Căn hộ cách Bảo tàng Museum of Royal Antiquities 2.6 km và Tử Cấm Thành 3.6 km. Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách Boutique Hue K L Y 14 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",8.8,3.0
https://www.booking.com/hotel/vn/tovo-hostel-2.vi.html,Tovo Hostel 2 Hue,"4 kiet 33 Nguyễn Công Trứ tổ 14, Huế, Việt Nam","Với khu vườn và sân hiên, Tovo Hostel 2 Hue tọa lạc ở Huế, cách Cầu Tràng Tiền 16 phút đi bộ và Chợ Đông Ba 2 km. Chỗ nghỉ cách Bảo tàng Museum of Royal Antiquities khoảng 3 km, Tử Cấm Thành 4.1 km và Hồ Tịnh Tâm 4.2 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tất cả các phòng đều được thiết kế có điều hòa, ngoài ra một số căn tại khách sạn có ban công.

Khách tại Tovo Hostel 2 Hue có thể thưởng thức bữa sáng thực đơn à la carte.

Chỗ nghỉ cách Chùa Thiên Mụ 6.7 km và Lăng Tự Đức 6.8 km.",9.5,
https://www.booking.com/hotel/vn/white-lotus-amp-convention-center-hue.vi.html,White Lotus Hue Hotel,"05-07 Hoang Hoa Tham street, Phu Nhuan Ward, Huế, Việt Nam","White Lotus Hue Hotel có hồ bơi ngoài trời, phòng chờ chung, nhà hàng và quầy bar ở Huế. Khách sạn 4 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Một số phòng có bếp với lò vi sóng và minibar. Các căn có tủ quần áo.

Khách tại White Lotus Hue Hotel có thể thưởng thức bữa sáng thực đơn buffet.

Chỗ nghỉ có sân hiên phơi nắng.

Các điểm tham quan nổi tiếng gần White Lotus Hue Hotel bao gồm Cầu Tràng Tiền, Chợ Đông Ba và Bảo tàng Museum of Royal Antiquities. Sân bay quốc tế Phú Bài cách 13 km.",9.1,4.0
