url,name,location,description,point,star
https://www.booking.com/hotel/vn/rubillion-vinh.vi.html,Rubillion Hotel - Vinh,"31 Đường Nguyễn Duy Trinh, Lóc Ða, Việt Nam","Rubillion Hotel - Vinh cung cấp chỗ nghỉ tại Lóc Ða. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Một số căn tại chỗ nghỉ có ban công với view thành phố.

Tại khách sạn, phòng nào cũng có bàn làm việc. Với phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, tất cả các căn tại Rubillion Hotel - Vinh có TV màn hình phẳng và điều hòa, trong đó một số phòng có sân hiên. Tại chỗ nghỉ, tất cả các phòng đều có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay quốc tế Vinh, cách Rubillion Hotel - Vinh 7 km.",9.4,
https://www.booking.com/hotel/vn/muong-thanh-grand-cua-dong-vinh.vi.html,Muong Thanh Cua Dong Hotel,"167 Nguyen Phong Sac Street, Vinh, Việt Nam","Muong Thanh Grand Cua Dong Hotel cung cấp các phòng nghỉ hiện đại tại thành phố Vinh thuộc Tỉnh Nghệ An. Khách sạn có quầy lễ tân 24 giờ, nhà hàng tại chỗ và quán bar phục vụ đồ uống cho du khách.

Mỗi phòng tại đây được trang bị hệ thống cách âm, TV màn hình phẳng, ghế sofa và bàn làm việc. Một số phòng có khu vực tiếp khách để tạo sự thuận tiện cho khách. Du khách còn có thể ngắm nhìn quang cảnh núi, hồ hoặc sông từ phòng nghỉ. Phòng tắm riêng trong mỗi phòng có bồn tắm/vòi sen, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Du khách có thể đổ mồ hôi trong phòng xông hơi khô hay thư giãn với dịch vụ mát-xa chuyên nghiệp ở trung tâm spa. Dịch vụ đưa đón sân bay có thể được bố trí theo yêu cầu với một khoản phụ phí.

Sân bay gần nhất là Sân bay Vinh, cách Muong Thanh Grand Cua Dong Hotel 6 km.",8.2,3.0
https://www.booking.com/hotel/vn/khach-san-bach-thao-thi-xa-cua-lo12.vi.html,Khách Sạn Tuấn Thảo Cửa Lò,"Số 8, Đường Nguyễn Cảnh Quế, Khối 1, Phường Thu Thủy, Thị xã Cửa Lò, Cửa Lò, Việt Nam","Tọa lạc ở Cửa Lò, cách Bãi biển Cửa Lò 3 phút đi bộ, Khách Sạn Tuấn Thảo Cửa Lò cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Tại khách sạn, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Thái và Việt. Bên cạnh đó, họ có thể yêu cầu món thuần chay.

Sân bay quốc tế Vinh cách 11 km.",8,
https://www.booking.com/hotel/vn/khach-san-muong-thanh-song-lam.vi.html,Muong Thanh Luxury Song Lam Hotel,"13 Quang Trung, Vinh, Việt Nam","Nằm trong bán kính 1 km từ quảng trường Hồ Chí Minh nổi tiếng, Muong Thanh Song Lam Hotel có hồ bơi ngoài trời và trung tâm thể dục cho khách sử dụng miễn phí. Nơi nghỉ này cung cấp dịch vụ lễ tân 24 giờ và truy cập Wi-Fi miễn phí trong toàn bộ khuôn viên.

Các phòng máy lạnh tại đây có sàn trải thảm và được trang bị đầy đủ tiện nghi với tủ quần áo, két an toàn cá nhân, truyền hình cáp màn hình phẳng với đầu đĩa DVD cũng như khu vực tiếp khách kê ghế sofa. Phòng tắm riêng đi kèm với máy sấy tóc, áo choàng tắm, vòi sen nước nóng cũng như đồ vệ sinh cá nhân miễn phí.

Muong Thanh Song Lam Hotel cung cấp chỗ để hành lý, dịch vụ giặt là và tiện nghi tổ chức tiệc/hội họp. Du khách có thể tận hưởng liệu pháp mát xa thư giãn tại spa hoặc đến bàn đặt tour để sắp xếp các chuyến tham quan. Khách sạn cũng có trung tâm dịch vụ doanh nhân.

Khách sạn sang trọng này có 3 nhà hàng phục vụ các món ăn ngon của Việt Nam và quốc tế trong khi quầy bar cung cấp một loạt các loại cocktail và đồ uống địa phương. Các bữa ăn cũng có thể được phục vụ trong sự riêng tư ngay tại phòng nghỉ của khách.

Khách sạn nằm trong bán kính 12 km từ quê hương của Chủ tịch Hồ Chí Minh. Bãi biển Cửa Lò nổi tiếng cách đó khoảng 18 km.",7.8,5.0
https://www.booking.com/hotel/vn/muong-thanh-thanh-nien-vinh.vi.html,Muong Thanh Thanh Nien Vinh,"74 Le Hong Phong , Vinh, Việt Nam","Nằm ở Vinh, Muong Thanh Thanh Nien Vinh cung cấp chỗ nghỉ 3 sao có phòng chờ chung, nhà hàng và quầy bar. Tại đây có hồ bơi ngoài trời và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều đi kèm với điều hòa, bàn làm việc, sân trong với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Các căn đều có tủ lạnh.

Lễ tân tại Muong Thanh Thanh Nien Vinh có thể cung cấp các thông tin hữu ích để giúp du khách tham quan khu vực xung quanh một cách thuận tiện.

Sân bay quốc tế Vinh cách 7 km.",7.9,3.0
https://www.booking.com/hotel/vn/saigon-kimlien-vinh.vi.html,Sai Gon Kim Lien Hotel Vinh City,"25 Quang Trung Street, Vinh, Việt Nam","Tọa lạc tại trung tâm thành phố Vinh, Sai gon Kim Lien Hotel có dịch vụ mát-xa, hồ bơi ngoài trời và trung tâm dịch vụ doanh nhân. Khách sạn cung cấp các phòng nghỉ lắp máy điều hòa giản dị với Wi-Fi miễn phí và bữa sáng hàng ngày.

Tất cả các phòng nghỉ tại đây được trang bị TV truyền hình cáp, ấm đun nước điện và tủ lạnh mini. Các phòng tắm riêng đi kèm máy sấy tóc và đồ vệ sinh cá nhân.

Sai gon Kim Lien Hotel cách ga Vinh và khu du lịch núi Quyết 10 phút lái xe. Khách sạn cung cấp chỗ đỗ xe miễn phí. Cách khách sạn 15 phút lái xe là Quê Bác Hồ và Bãi biển Cửa Lò.

Khách sạn có phòng xông hơi khô và tiện nghi karaoke cho khách thư giãn. Khách sạn cũng cung cấp dịch vụ trợ giúp đặc biệt, bàn đặt tour và trang thiết bị phòng họp để tạo thuận tiện cho quý khách.

Nhà hàng tại đây phục vụ ăn uống cả ngày với một loạt các món ăn Việt Nam và phương Tây. Quý khách có thể yêu cầu dịch vụ phòng.",8,4.0
https://www.booking.com/hotel/vn/melia-vinpearl-cua-hoi-beach-resort.vi.html,Melia Vinpearl Cua Hoi Beach Resort,"Cua Hoi, Cua Lo, Nghe An, Cửa Lò, Việt Nam","Nằm dọc theo Bãi biển Cửa Hội, Melia Vinpearl Cua Hoi Beach Resort cung cấp các phòng và biệt thự hiện đại, cách trung tâm du lịch Cửa Lò 5 km. Resort có 3 nhà hàng, quầy bar bên hồ bơi và hồ bơi ngoài trời. Du khách có thể sử dụng Wi-Fi miễn phí tại các khu vực chung và chỗ đỗ xe riêng trong khuôn viên.

Tất cả các phòng lắp máy điều hòa tại đây được trang bị bàn làm việc, TV và ấm đun nước. Một số phòng có tầm nhìn ra đại dương và/hoặc ban công riêng. Phòng tắm riêng đi kèm vòi sen và đồ vệ sinh cá nhân miễn phí.

Nhà hàng Padma phục vụ bữa sáng buffet hàng ngày với các món ăn quốc tế để thoả mãn vị giác của khách.

Melia Vinpearl Cua Hoi Beach Resort cách thành phố Hà Tĩnh 50 km. Sân bay gần nhất là sân bay Vinh, cách chỗ nghỉ 10 km.",8.6,5.0
https://www.booking.com/hotel/vn/muong-thanh-cua-lo.vi.html,Muong Thanh Grand Cua Lo Hotel,"232 Binh Minh, Cửa Lò, Việt Nam","Tọa lạc dọc theo bờ biển, Muong Thanh Cua Lo Hotel cung cấp chỗ nghỉ hiện đại và trang nhã với Wi-Fi miễn phí trong toàn bộ khuôn viên. Khách sạn có hồ bơi ngoài trời trên tầng mái, trung tâm thể dục, sân tennis và phòng xông hơi khô. Chỗ đỗ xe được cung cấp miễn phí ngay trong khuôn viên.

Với tầm nhìn ra biển, các phòng và suite máy lạnh tại đây có tủ quần áo, két an toàn cá nhân, truyền hình cáp màn hình phẳng và khu vực tiếp khách. Minibar và ấm đun nước điện cũng được cung cấp. Phòng tắm riêng đi kèm bồn tắm, máy sấy tóc, tiện nghi vòi sen và đồ vệ sinh cá nhân miễn phí.

Khách nghỉ tại Muong Thanh Cua Lo Hotel có thể tận hưởng liệu pháp mát-xa nhẹ nhàng tại spa hoặc hát karaoke ngay trong khuôn viên. Nhân viên quầy lễ tân 24 giờ có thể trợ giúp quý khách với dịch vụ giặt thường/giặt hấp, đặt vé và bố trí đưa đón sân bay.

Nhà hàng trong nhà phục vụ tuyển chọn các món ăn ngon kiểu Lục địa và địa phương. Đồ uống sau bữa ăn có tại quầy bar.

Sân bay của thành phố Vinh cách đó khoảng 10 km.",8,4.0
https://www.booking.com/hotel/vn/khach-san-huu-nghi-thanh-pho-vinh.vi.html,Khách sạn Hữu Nghị,"74 Lê Lợi, Vinh, Việt Nam","Khách sạn Hữu Nghị có khu vườn, phòng chờ chung, sân hiên và nhà hàng ở Vinh. Khách sạn 3 sao này cung cấp bếp chung, dịch vụ phòng và Wi-Fi miễn phí. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ, máy ATM và dịch vụ thu đổi ngoại tệ cho khách.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, sân trong và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng có bếp với lò vi sóng và bếp. Tại Khách sạn Hữu Nghị, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Á cho bữa sáng.

Sân bay quốc tế Vinh cách 5 km.",7.3,3.0
https://www.booking.com/hotel/vn/khach-san-dai-duong-ocean.vi.html,Khách sạn Đại Dương Diễn Châu - Nghệ An,"Xóm 10 Diễn Thành, Diễn Châu, Việt Nam","Khách sạn Đại Dương Diễn Châu - Nghệ An có hồ bơi ngoài trời, trung tâm thể dục, khu vườn và phòng chờ chung ở Diễn Châu. Chỗ nghỉ này có các tiện nghi như sân hiên, nhà hàng và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí.

Tại khách sạn, các phòng đều đi kèm với bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại Khách sạn Đại Dương Diễn Châu - Nghệ An có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, tất cả các phòng có ga trải giường và khăn tắm.

Khách tại Khách sạn Đại Dương Diễn Châu - Nghệ An có thể thưởng thức bữa sáng thực đơn à la carte.

Khách sạn có sân chơi trẻ em.

Sân bay quốc tế Vinh cách 34 km.",6.9,
