url,name,location,description,point,star
https://www.booking.com/hotel/vn/lion-11.vi.html,LION 11 Hotel,"31 Đường Châu Văn Liêm, Cần Thơ, Việt Nam","Nằm ở Cần Thơ, cách Bến Ninh Kiều 5 phút đi bộ, LION 11 Hotel cung cấp bàn bán tour và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ này tọa lạc cách Vincom Plaza Hùng Vương 2.1 km, Can Tho Stadium 3.1 km và Vinh Long Museum 44 km. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng đưa ra đề xuất hữu ích về khu vực xung quanh.

Các điểm tham quan nổi tiếng gần khách sạn bao gồm Trung tâm thương mại Vincom Xuân Khánh, Bảo tàng Cần Thơ và Cầu đi bộ Ninh Kiều. Sân bay Quốc tế Cần Thơ cách 10 km.",9.3,
https://www.booking.com/hotel/vn/kq.vi.html,KP Hotel,"09 Nam Kỳ Khởi Nghĩa, phường Tân An, quận Ninh Kiều, Cần Thơ, Việt Nam","Tọa lạc ở Cần Thơ, cách Bến Ninh Kiều 4 phút đi bộ, KP Hotel cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Với quầy bar, khách sạn nằm gần một số điểm tham quan nổi tiếng, cách Trung tâm thương mại Vincom Xuân Khánh 19 phút đi bộ, Bảo tàng Cần Thơ 600 m và Cầu đi bộ Ninh Kiều chưa đến 1 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Phòng khách ở khách sạn được trang bị ấm đun nước. Mỗi phòng đều được thiết kế có điều hòa, két an toàn và TV màn hình phẳng, ngoài ra một số căn tại KP Hotel có ban công. Tại chỗ nghỉ, các phòng đều đi kèm với ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa hằng ngày.

KP Hotel cách Vincom Plaza Hùng Vương 2.1 km và Can Tho Stadium 2.5 km.",8.2,
https://www.booking.com/hotel/vn/west.vi.html,West Hotel,"88-90-92 Hai Ba Trung, Cần Thơ, Việt Nam","Nằm ở thành phố Cần Thơ, West Hotel cung cấp chỗ nghỉ thanh lịch và đầy phong cách với truy cập Wi-Fi miễn phí trong các khu vực chung. Khách sạn có lễ tân 24 giờ, hồ bơi trong nhà, trung tâm thể dục và bãi đỗ xe miễn phí trong khuôn viên.

Khách sạn cách Bến Ninh Kiều chỉ 100 m và cách Bảo tàng Cần Thơ 300 m. Chợ Nổi Cái Răng cách nơi đây 6,2 km trong khi Sân bay Rạch Giá cách đó khoảng 72 km.

Với tầm nhìn ra dòng sông/thành phố, các phòng nghỉ máy lạnh tại đây có tủ quần áo, két an toàn, minibar và TV truyền hình vệ tinh/cáp màn hình phẳng. Phòng tắm riêng đi kèm tiện nghi vòi sen, dép, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Đội ngũ nhân viên thân thiện tại West Hotel có thể hỗ trợ khách với các dịch vụ cho thuê xe hơi/xe máy, giữ hành lý, giặt là và sắp xếp tour du lịch. Dịch vụ đưa đón sân bay và các tiện nghi phục vụ doanh nhân cũng được cung cấp với một khoản phụ phí.

Nhà hàng trong khuôn viên phục vụ hàng loạt món ăn ngon Á - Âu. Các bữa ăn với chế độ đặc biệt cũng có thể được chế biến theo yêu cầu, còn đồ uống sau bữa ăn được phục vụ tại quầy bar.",6.4,4.0
https://www.booking.com/hotel/vn/sojo-can-tho.vi.html,SOJO HOTEL CAN THO,"No. 112A3 Tran Phu Street, Cai Khe Ward Ninh Kieu District, Cần Thơ, Việt Nam","Nằm ở Cần Thơ, cách Vincom Plaza Hùng Vương 5 phút đi bộ, SOJO HOTEL CAN THO cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Khách sạn 4 sao này có bếp chung và dịch vụ phòng. Du khách có thể thưởng thức đồ uống tại quầy bar.

Tại khách sạn, các phòng được thiết kế có điều hòa và TV màn hình phẳng.

Chỗ nghỉ có phục vụ bữa sáng mỗi buổi sáng, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu Á.

Với đội ngũ nhân viên thành thạo tiếng Anh và tiếng Việt, dịch vụ đề xuất 24/7 luôn có sẵn tại lễ tân.

SOJO HOTEL CAN THO cách Bến Ninh Kiều 2.5 km và Trung tâm thương mại Vincom Xuân Khánh 3.5 km.",8.9,4.0
https://www.booking.com/hotel/vn/khach-san-101-can-tho.vi.html,KHÁCH SẠN 101 CẦN THƠ,"101 Võ Văn Tần, Cần Thơ, Việt Nam","Với khu vườn, sân hiên và quầy bar, KHÁCH SẠN 101 CẦN THƠ nằm ở Cần Thơ và cách Bến Ninh Kiều 8 phút đi bộ. Ngoài hồ bơi ngoài trời, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và tổ chức các tour du lịch cho khách.

Tại khách sạn, các phòng đều có bàn làm việc và TV màn hình phẳng. Tại KHÁCH SẠN 101 CẦN THƠ, tất cả các phòng có ga trải giường và khăn tắm.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Trung tâm thương mại Vincom Xuân Khánh, Vincom Plaza Hùng Vương và Bảo tàng Cần Thơ. Sân bay Quốc tế Cần Thơ cách 10 km.",8.4,2.0
https://www.booking.com/hotel/vn/wink-can-tho-full-24hrs-stay-upon-check-in.vi.html,Wink Hotel Can Tho - 24hrs stay & Rooftop Pool Bar,"14 Phan Đình Phùng, Cần Thơ, Việt Nam","Tọa lạc ở Cần Thơ, cách Bến Ninh Kiều chỉ vài bước chân, Wink Hotel Can Tho - 24hrs stay & Rooftop Pool Bar cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Ngoài nhà hàng, khách sạn 4 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp câu lạc bộ trẻ em, dịch vụ phòng và phòng giữ hành lý cho khách.

Tại khách sạn, tất cả các phòng có bàn làm việc. Phòng nào cũng có két an toàn và một số phòng nhìn ra thành phố. Phòng khách ở Wink Hotel Can Tho - 24hrs stay & Rooftop Pool Bar được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu Á hoặc món chay tại chỗ nghỉ.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực 24/7 tại lễ tân.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Vincom Plaza Hùng Vương, Trung tâm thương mại Vincom Xuân Khánh và Bảo tàng Cần Thơ. Sân bay Quốc tế Cần Thơ cách 10 km.",8.8,4.0
https://www.booking.com/hotel/vn/riverside-can-tho.vi.html,Riverside 1 Hotel,"38 Lê Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Riverside 1 Hotel là chỗ nghỉ 3 sao nằm ở Cần Thơ, cách Vincom Plaza Hùng Vương 14 phút đi bộ và Bến Ninh Kiều 2.1 km. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ này cung cấp bàn bán tour, phòng giữ hành lý và dịch vụ thu đổi ngoại tệ cho khách.

Với phòng tắm riêng được trang bị vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Các căn có ga trải giường.

Khách có thể thưởng thức bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu Á tại chỗ nghỉ.

Riverside 1 Hotel cách Trung tâm thương mại Vincom Xuân Khánh 3.6 km và Can Tho Stadium chỉ vài bước chân.",8.6,3.0
https://www.booking.com/hotel/vn/spring-home-can-tho.vi.html,Spring Home,"53A Đường Nam Kỳ Khởi Nghĩa, Cần Thơ, Việt Nam","Là chỗ nghỉ có phòng chờ chung, Wi-Fi miễn phí và nhìn ra thành phố, Spring Home nằm tại vị trí thuận tiện ở Cần Thơ, cách Bến Ninh Kiều, Trung tâm thương mại Vincom Xuân Khánh và Bảo tàng Cần Thơ một đoạn ngắn.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh, minibar và bếp, cũng như ấm đun nước đều được cung cấp.

Homestay có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô.

Spring Home cách Vincom Plaza Hùng Vương 2.1 km. Sân bay Quốc tế Cần Thơ cách 10 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.3,
https://www.booking.com/hotel/vn/de-rive-2-homestay.vi.html,De Rivé 2 Homestay,"20 Đường Thủ Khoa Huân, Phường Tân An, Quận Ninh Kiều, Cần Thơ, Việt Nam","De Rivé 2 Homestay cung cấp chỗ nghỉ ở Cần Thơ gần Can Tho Stadium và Cầu đi bộ Ninh Kiều. Ngoài sân hiên, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Tất cả các phòng ở khách sạn được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Các điểm tham quan nổi tiếng gần De Rivé 2 Homestay bao gồm Bến Ninh Kiều, Vincom Plaza Hùng Vương và Bảo tàng Cần Thơ. Sân bay Quốc tế Cần Thơ cách 10 km.",9.3,2.0
https://www.booking.com/hotel/vn/madella.vi.html,Madella Hotel,"48 Ngo Quyen, Cần Thơ, Việt Nam","Madella Hotel tọa lạc tại thành phố Cần Thơ, cách Bến Ninh Kiều chỉ 300 m. Các phòng nghỉ tại đây hiện đại và có sàn trải thảm. Du khách còn có thể truy cập Wi-Fi miễn phí trong toàn bộ khuôn viên khách sạn.

Nơi nghỉ đầy đủ tiện nghi này nằm trong bán kính chỉ 100 m từ Bảo tàng Cần Thơ. Bảo tàng Nổi Cái Răng cách khách sạn 6,2 km.

Mỗi phòng nghỉ đều có máy lạnh, TV với các kênh truyền hình cáp, khu vực tiếp khách và tủ lạnh mini. Trong tất cả các phòng cũng có tiện nghi pha trà/cà phê. Ngoài ra còn đi kèm phòng tắm riêng trong mỗi phòng.

Madella Hotel có lễ tân 24 giờ với chỗ để hành lý. Khách sạn cũng có chỗ đỗ xe miễn phí cho những khách lái xe và tiện nghi giặt là/ủi được cung cấp với một khoản phụ phí.",8.8,
https://www.booking.com/hotel/vn/mekong-delta-inn-2024.vi.html,Mekong Delta,"6 Đường Lê Lai, Cần Thơ, Việt Nam","Tọa lạc ở Cần Thơ, cách Bến Ninh Kiều 15 phút đi bộ, Mekong Delta nhìn rathành phố. Ngoài khu vườn, hostel 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm chung. Chỗ nghỉ này cung cấp bếp chung và phòng chờ chung cho khách.

Phòng khách được trang bị tủ lạnh, lò vi sóng, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng có ga trải giường.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, hostel có dịch vụ thuê xe đạp.

Các điểm tham quan nổi tiếng gần Mekong Delta bao gồm Trung tâm thương mại Vincom Xuân Khánh, Vincom Plaza Hùng Vương và Bảo tàng Cần Thơ. Sân bay Quốc tế Cần Thơ cách 10 km.",10,3.0
