url,name,location,description,point,star
https://www.booking.com/hotel/vn/lava-homestay-hai-phong.vi.html,Lava Homestay Hải Phòng,"19/23 Phố Nguyễn Đức Cảnh, Thành phố Hải Phòng, Việt Nam","Tọa lạc ở Thành phố Hải Phòng thuộc Hải Phòng, gần Nhà hát lớn Hải Phòng và Trung tâm thương mại Vincom Ngô Quyền, Lava Homestay Hải Phòng cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Nhà nghỉ B&B cách Cảng Tuần Châu 45 km và Cáp treo Nữ Hoàng 48 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Lava Homestay Hải Phòng 7 km.",8.5,3.0
https://www.booking.com/hotel/vn/gallant-154.vi.html,Gallant Hotel - 154 Ngo Gia Tu,"154 Ngô Gia Tự Cát Bi, Hải An, Thành phố Hải Phòng, Việt Nam","Tọa lạc ở Thành phố Hải Phòng, cách Nhà hát lớn Hải Phòng 4.2 km và Trung tâm thương mại Vincom Ngô Quyền 5.8 km, Gallant Hotel - 154 Ngo Gia Tu cung cấp chỗ nghỉ có phòng chờ chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Đây là chỗ nghỉ không hút thuốc và nằm cách Cảng Tuần Châu 42 km.

Tất cả các căn tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Gallant Hotel - 154 Ngo Gia Tu cung cấp một số căn nhìn ra thành phố và tất cả các phòng đều có ấm đun nước. Tất cả các phòng đều có tủ lạnh.

Chỗ nghỉ cách Cáp treo Nữ Hoàng 45 km và Hai Phong Railway Station 4.2 km.",8.5,3.0
https://www.booking.com/hotel/vn/gare-d-47-homestay.vi.html,GARE D'47 Homestay/ Hotel,"47 Phố Lương Khánh Thiện, Thành phố Hải Phòng, Việt Nam","GARE D'47 Homestay/ Hotel tọa lạc ở Thành phố Hải Phòng, cách Cảng Tuần Châu 42 km và Cáp treo Nữ Hoàng 46 km. Khách sạn nằm cách Núi Yên Tử khoảng 39 km và Khu Du lịch Giải trí Sun World Hạ Long 46 km. Khách sạn cung cấp sân hiên, lễ tân 24/24, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các điểm tham quan nổi tiếng gần khách sạn bao gồm Nhà hát lớn Hải Phòng, Trung tâm thương mại Vincom Ngô Quyền và Hai Phong Railway Station. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách GARE D'47 Homestay/ Hotel 8 km.",9.1,
https://www.booking.com/hotel/vn/the-luxhomes-apartments-231-van-cao.vi.html,The LuxHomes Apartments 231 Văn Cao,"1/231 Phố Văn Cao, Thành phố Hải Phòng, Việt Nam","The LuxHomes Apartments 231 Văn Cao tọa lạc ở Thành phố Hải Phòng, cách Nhà hát lớn Hải Phòng 4.2 km, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Mỗi căn đều có ban công nhìn ra thành phố, TV màn hình phẳng, khu vực ăn uống, bếp tiện nghi, cùng phòng tắm riêng có vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh, lò vi sóng và bếp, cũng như ấm đun nước đều được cung cấp.

Khách sạn căn hộ cách Trung tâm thương mại Vincom Ngô Quyền 5.5 km. Sân bay Quốc tế Cát Bi cách 3 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.9,4.0
https://www.booking.com/hotel/vn/vinhomes-imperia-paris-09-12a-homestay-gia-re.vi.html,META HOME Serviced Apartment - Vinhomes Imperia Hải Phòng,"Vinhomes Imperia, Hồng Bàng, Thành phố Hải Phòng, Việt Nam","Tọa lạc ở Thành phố Hải Phòng, cách Nhà hát lớn Hải Phòng 3.5 km và Trung tâm thương mại Vincom Ngô Quyền 4.1 km, META HOME Serviced Apartment - Vinhomes Imperia Hải Phòng cung cấp chỗ nghỉ có Wi-Fi miễn phí và khu vườn.

Một số căn được trang bị điều hòa, TV màn hình phẳng, máy giặt và ấm đun nước, cũng như bếp.

Căn hộ cách Cảng Tuần Châu 46 km và Cáp treo Nữ Hoàng 50 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách META HOME Serviced Apartment - Vinhomes Imperia Hải Phòng 11 km.",8.6,4.0
https://www.booking.com/hotel/vn/the-ren-riverside.vi.html,"K Apartment Cầu Rào 2- Căn hộ Nhật Bản, có bể bơi","Hải Phong, Thành phố Hải Phòng, Việt Nam","Nằm ở Thành phố Hải Phòng, cách Nhà hát lớn Hải Phòng 5.7 km, K Apartment Cầu Rào 2- Căn hộ Nhật Bản, có bể bơi cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí và khu vườn. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Đây là chỗ nghỉ không hút thuốc và tọa lạc cách Trung tâm thương mại Vincom Ngô Quyền 7.9 km.

Tại khách sạn, các phòng được thiết kế có điều hòa, bàn làm việc, sân hiên với view hồ bơi, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Các căn có két an toàn.

K Apartment Cầu Rào 2- Căn hộ Nhật Bản, có bể bơi cách Cảng Tuần Châu 45 km và Cáp treo Nữ Hoàng 48 km.",8,
https://www.booking.com/hotel/vn/flesta-van-cao-serviced-apartment-amp.vi.html,FLESTA Văn Cao Serviced Apartment & Hotel,"108 Phố Phụng Pháp, Thành phố Hải Phòng, Việt Nam","Nằm ở Thành phố Hải Phòng, cách Trung tâm thương mại Vincom Ngô Quyền 4.8 km và Nhà hát lớn Hải Phòng 5.8 km, FLESTA Văn Cao Serviced Apartment & Hotel nhìn ra thành phố và cung cấp Wi-Fi miễn phí.

Chỗ nghỉ có điều hòa, bếp nhỏ đầy đủ tiện nghi, TV màn hình phẳng, cũng như phòng tắm riêng với vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh, lò vi sóng và bếp, cũng như ấm đun nước đều được cung cấp.

Khách sạn căn hộ cách Cảng Tuần Châu 42 km và Cáp treo Nữ Hoàng 45 km.",,
https://www.booking.com/hotel/vn/cat-ba-cheap.vi.html,The Wave View Hotel - CATBA,"210 đường 1 tháng 4, thị trấn Cát Bà, Thành phố Hải Phòng, Việt Nam","Tọa lạc ở Thành phố Hải Phòng, cách Bãi biển Cat Co 1 12 phút đi bộ, The Wave View Hotel - CATBA nhìn rathành phố. Ngoài phòng chờ chung, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, mỗi phòng đều có tủ quần áo.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn à la carte, kiểu lục địa và món thuần chay.

Các điểm tham quan nổi tiếng gần The Wave View Hotel - CATBA bao gồm Bãi biển Tùng Thu, Bãi biển Cát Cò 2 và Cannon Fort. Sân bay Quốc tế Cát Bi cách 50 km.",8.8,2.0
https://www.booking.com/hotel/vn/khach-san-solis.vi.html,Khách sạn Solis Hotel,"7 Phố Hoàng Diệu, Thành phố Hải Phòng, Việt Nam","Tọa lạc ở Thành phố Hải Phòng, cách Trung tâm thương mại Vincom Ngô Quyền 7 phút đi bộ, Khách sạn Solis Hotel cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí và nhà hàng. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Một số căn tại chỗ nghỉ có sân hiên với view sông.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Khách sạn Solis Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ cách Nhà hát lớn Hải Phòng 14 phút đi bộ và Cảng Tuần Châu 43 km.",9,3.0
https://www.booking.com/hotel/vn/haiphong-backpacker-hostel-thanh-pho-hai-phong.vi.html,Haiphong Backpacker Hostel,"Lý Tự Trọng, Thành phố Hải Phòng, Việt Nam","Nằm ở Thành phố Hải Phòng, gần Nhà hát lớn Hải Phòng, Trung tâm thương mại Vincom Ngô Quyền và Hai Phong Railway Station, Haiphong Backpacker Hostel có Wi-Fi miễn phí, nơi khách có thể trải nghiệm khu vườn và sân hiên.

Căn hộ cách Cảng Tuần Châu 43 km và Cáp treo Nữ Hoàng 46 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Haiphong Backpacker Hostel 8 km.",5.5,
