url,name,location,description,point,star
https://www.booking.com/hotel/vn/crystal-holiday-halong.vi.html,Crystal Holiday Halong Hotel,"31 Lộc Vừng 1, Hạ Long, Việt Nam","Crystal Holiday Halong Hotel có hồ bơi ngoài trời, khu vườn, sân hiên và nhà hàng ở Hạ Long. Ngoài quầy bar, khách sạn 4 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tất cả các phòng đi kèm tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng được thiết kế có TV màn hình phẳng, ngoài ra một số phòng tại khách sạn có view biển. Tại Crystal Holiday Halong Hotel, các phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ cách Bãi Cháy 3 phút đi bộ. Sân bay Quốc tế Cát Bi cách 40 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.5,4.0
https://www.booking.com/hotel/vn/bai-chay-panda.vi.html,Bai Chay Panda Hotel,"62 Anh Đào tổ 8, khu 2, phường Bãi Cháy, Hạ Long, Việt Nam","Tọa lạc ở Hạ Long, cách Bãi Cháy 17 phút đi bộ, Bai Chay Panda Hotel nhìn rathành phố. Khách sạn 3 sao này có dịch vụ tiền sảnh và bàn bán tour. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Bai Chay Panda Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu Mỹ. Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực hải sản, Việt và Á. Bên cạnh đó, họ có thể yêu cầu món chay.

Bai Chay Panda Hotel cách Cáp treo Nữ Hoàng 5 phút đi bộ và Trung tâm thương mại Vincom Hạ Long 5.9 km.",8.7,3.0
https://www.booking.com/hotel/vn/le-journey-calypso-lan-ha-bay-cruise.vi.html,Le Journey Calypso & Verdure Lotus Cruises,"No. 12 Tuần Châu, Hạ Long, Việt Nam","Le Journey Calypso & Verdure Lotus Cruises có hồ bơi ngoài trời, phòng chờ chung, sân hiên và nhà hàng ở Hạ Long. Ngoài quầy bar, du thuyền 5 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tại du thuyền, mỗi phòng đều được thiết kế có bàn làm việc. Phòng khách tại Le Journey Calypso & Verdure Lotus Cruises được trang bị khu vực ghế ngồi.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn kiểu lục địa, kiểu Mỹ và kiểu Á.

Chỗ nghỉ có sân chơi trẻ em. Khách tại Le Journey Calypso & Verdure Lotus Cruises sẽ có thể tận hưởng các hoạt động ở trong Hạ Long và khu vực xung quanh, như câu cá, đi ca nô và đi xe đạp.

Các điểm tham quan nổi tiếng gần du thuyền bao gồm Bãi biển Tuần Châu, Bãi biển Bikini Island Beach và Bãi biển Paradise Bay Beach. Sân bay Quốc tế Cát Bi cách 40 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.2,5.0
https://www.booking.com/hotel/vn/new-sun-ha-long-quang-ninh.vi.html,Sunland Halong Hotel and Restaurant,"Căn E421 SUN PLAZA GRAND WORLD đường Hạ Long, P. Bãi Cháy, TP Hạ Long, Hạ Long, Việt Nam","Tọa lạc ở Hạ Long, cách Bãi Cháy 7 phút đi bộ, Sunland Halong Hotel and Restaurant cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Ngoài nhà hàng, chỗ nghỉ còn có sân hiên và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, tất cả các phòng đều được thiết kế có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Các phòng đều có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Sunland Halong Hotel and Restaurant, tất cả các phòng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng mỗi sáng, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu lục địa.

Chỗ nghỉ có BBQ.

Sunland Halong Hotel and Restaurant cách Cáp treo Nữ Hoàng 1.8 km và Trung tâm thương mại Vincom Hạ Long 8.4 km.",8.7,4.0
https://www.booking.com/hotel/vn/la-casa-homestay-ha-long.vi.html,"La Casa Homestay - 11B Anh Đào, Bãi Cháy","11b Anh Đào, Hạ Long, Việt Nam","Với quầy bar, La Casa Homestay - 11B Anh Đào, Bãi Cháy nằm ở Hạ Long, Quảng Ninh, cách Bãi Cháy 14 phút đi bộ và Cáp treo Nữ Hoàng 300 m. Chỗ nghỉ cách Trung tâm thương mại Vincom Hạ Long khoảng 6.8 km, Bảo tàng Quảng Ninh 8.2 km và Cảng Tuần Châu 13 km. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, các phòng đều đi kèm với điều hòa, bàn làm việc, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Tất cả các phòng đều có ấm đun nước, trong đó một số phòng có ban công. Tất cả các phòng đều có bếp.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh, tiếng Việt và tiếng Hoa.

La Casa Homestay - 11B Anh Đào, Bãi Cháy cách Trung tâm thương mại Vincom Ngô Quyền 46 km. Sân bay Quốc tế Cát Bi cách 44 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.9,
https://www.booking.com/hotel/vn/decharm-boutique-thanh-pho-ha-long.vi.html,Ha Long Cozy Hotel,"Tùng Dương 1, Hạ Long, Việt Nam","Nằm cách Bãi Cháy chưa đến 1 km, Ha Long Cozy Hotel cung cấp chỗ nghỉ 3 sao ở Hạ Long và có khu vườn. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Đây là chỗ nghỉ không hút thuốc và tọa lạc cách Bãi biển Marina Bay 2.9 km.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Ha Long Cozy Hotel, tất cả các phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ cách Cáp treo Nữ Hoàng 2.5 km và Trung tâm thương mại Vincom Hạ Long 9.2 km.",9.8,3.0
https://www.booking.com/hotel/vn/harmony-ha-long-quang-ninh.vi.html,Harmony HaLong Hotel,"Số nhà : A45-MKL-Khu 4- Phường Hồng Hải TP Hạ Long Quảng Ninh, Hạ Long, Việt Nam","Nằm ở Hạ Long, cách Bảo tàng Quảng Ninh 5 phút đi bộ, Harmony HaLong Hotel cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, các phòng đều đi kèm với điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Mỗi phòng đều có ấm đun nước, trong đó một số phòng có bếp với bếp. Tại Harmony HaLong Hotel, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu Anh/ Ai-len hoặc kiểu Mỹ tại chỗ nghỉ.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, chỗ nghỉ có dịch vụ thuê xe đạp và dịch vụ thuê ô tô.

Harmony HaLong Hotel cách Trung tâm thương mại Vincom Hạ Long 2 km và Cáp treo Nữ Hoàng 7.5 km.",8.7,3.0
https://www.booking.com/hotel/vn/nha-nghi-viet-anh-ha-long.vi.html,Viet Anh 123,"123 phố Vườn Đào Phường Bãi Cháy ,Thành Phố Hạ Long, Quảng Ninh 123 phố Vườn Đào Phường Bãi Cháy ,Thành Phố Hạ Long, Quảng Ninh, Hạ Long, Việt Nam","Tọa lạc ở Hạ Long, cách Bãi Cháy 17 phút đi bộ, Viet Anh 123 cung cấp chỗ nghỉ có sân hiên, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Chỗ nghỉ này nằm cách Cáp treo Nữ Hoàng 5 phút đi bộ, Trung tâm thương mại Vincom Hạ Long 6.5 km và Bảo tàng Quảng Ninh 7.9 km. Khách sạn có bể sục, quầy lễ tân 24 giờ và Wi-Fi miễn phí.

Khách sạn cách Cảng Tuần Châu 13 km và Trung tâm thương mại Vincom Ngô Quyền 46 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Viet Anh 123 44 km.",7.6,
https://www.booking.com/hotel/vn/peony-cruises.vi.html,Peony Cruises,"Lô 34, cảng Quốc tế Tuần Châu, Hạ Long, Việt Nam","Khởi hành từ Bến thuyền Tuần Châu, Peony Cruises thiết kế các hành trình nhiều hoạt động trong khi du ngoạn dọc theo Vịnh Hạ Long - Lan Hạ. Du khách có thể tận hưởng kỳ nghỉ của mình trong các cabin gắn máy điều hòa với WiFi miễn phí. Các du thuyền cũng có spa, nhà hàng và quán bar ngay trên du thuyền.

Với thiết kế hiện đại, tất cả các căn tại đây đều được trang bị TV truyền hình vệ tinh màn hình phẳng, minibar và ấm đun nước điện. Một số căn có khu vực ghế ngồi và/hoặc ban công riêng. Mỗi căn đều được bố trí phòng tắm với tiện nghi vòi sen, áo choàng tắm và dép đi trong phòng.

Dịch vụ đưa đón giữa thành phố Hà Nội và Vịnh Hạ Long có thể được sắp xếp theo yêu cầu với một khoản phụ phí. Thời gian di chuyển là 2,5 giờ bằng xe tải nhỏ sang trọng đi chung.

Chỗ nghỉ phục vụ bữa sáng buffet hằng ngày.",9,5.0
https://www.booking.com/hotel/vn/hong-ngan.vi.html,Hong Ngan Hotel,"Số 06 LK4-4, Khu đa giác 4, phường Hùng Thắng, Hạ Long, Việt Nam","Nằm ở Hạ Long, cách Bãi biển Marina Bay chưa đến 1 km, Hong Ngan Hotel nhìn ranúi. Ngoài nhà hàng, khách sạn 2 sao này còn có các phòng với điều hòa và phòng tắm riêng. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê xe đạp cho những khách muốn khám phá khu vực xung quanh.

Tại khách sạn, các phòng đều đi kèm với tủ quần áo. Các phòng được thiết kế có TV màn hình phẳng, ngoài ra một số phòng tại Hong Ngan Hotel có view biển. Các căn đều có bàn làm việc và ấm đun nước để khách sử dụng.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng đưa ra đề xuất hữu ích về khu vực xung quanh.

Chỗ nghỉ cách Cáp treo Nữ Hoàng 6.3 km và Cảng Tuần Châu 6.9 km.",7.9,2.0
