url,name,location,description,point,star
https://www.booking.com/hotel/vn/la-homestay-long-xuyen-tinh-an-giang.vi.html,Lá Homestay,"Số 12, đường số 4, KĐT Tây Sông Hậu, phường Mỹ Phước, TP.Long Xuyên, tỉnh An Giang, Ấp Mỹ Qứi, Việt Nam","Nhìn ra thành phố, Lá Homestay ở Ấp Mỹ Qứi cung cấp chỗ nghỉ có xe đạp miễn phí, khu vườn, phòng chờ chung, sân hiên và quầy bar. Nhà nghỉ B&B có WiFi và chỗ đậu xe riêng miễn phí.

Tất cả các căn có thiết kế gồm khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, cùng phòng tắm riêng có trang bị đồ vệ sinh cá nhân miễn phí, vòi xịt/chậu rửa vệ sinh và vòi sen. Tủ lạnh, cũng như máy pha cà phê và ấm đun nước đều được cung cấp.

Khách tại Lá Homestay có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Chỗ nghỉ này có sân chơi trẻ em và BBQ, ngoài ra khách có thể leo núi và đi xe đạp gần đó.

Chỗ nghỉ cách Sân bay Quốc tế Cần Thơ 51 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.8,4.0
https://www.booking.com/hotel/vn/the-luxe-chau-doc.vi.html,The Luxe Hotel Châu Đốc,"Tân Lộ Kiều Lương 394-396, Châu Đốc, Việt Nam","The Luxe Hotel Châu Đốc cung cấp chỗ nghỉ tại Châu Đốc. Ngoài sân hiên, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê xe đạp cho những khách muốn khám phá khu vực xung quanh.

Tại khách sạn, các phòng đều có bàn làm việc và TV màn hình phẳng. Tại The Luxe Hotel Châu Đốc, các phòng đều đi kèm với ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực 24/7 tại lễ tân 24/24.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách chỗ nghỉ 110 km.",8.3,3.0
https://www.booking.com/hotel/vn/hostel-dang-loi.vi.html,Hostel Đặng Lợi ホステルダンロイ,"187 Nguyễn Tri Phương, Châu Đốc, An Giang, Châu Đốc, Việt Nam","Tọa lạc ở Châu Đốc, Hostel Đặng Lợi ホステルダンロイ có xe đạp miễn phí, phòng chờ chung, sân hiên, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê ô tô cho những khách muốn khám phá khu vực xung quanh.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Tất cả các phòng có phòng tắm riêng, máy sấy tóc và ga trải giường.

Khách tại khách sạn sẽ có thể tận hưởng các hoạt động ở trong Châu Đốc và khu vực xung quanh, như đi xe đạp.

Thành thạo tiếng Anh, tiếng Nhật, tiếng Khmer và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng hỗ trợ khách vào bất kỳ thời điểm nào trong ngày.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Hostel Đặng Lợi ホステルダンロイ 106 km.",8.7,
https://www.booking.com/hotel/vn/paris-chau-doc.vi.html,Paris Hotel Châu Đốc,"Góc Đường Trần Nguyên Hãn giao với Đường Số 2, Phường Châu Phú B, Tp Châu Đốc, AG, Châu Đốc, Việt Nam","Paris Hotel Châu Đốc nằm ở Châu Đốc và có sân hiên và quầy bar. Ngoài phòng chờ chung, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê xe đạp cho những khách muốn khám phá khu vực xung quanh.

Tại khách sạn, các phòng đều có bàn làm việc. Tất cả các phòng đều được thiết kế có TV màn hình phẳng, ngoài ra một số phòng tại Paris Hotel Châu Đốc có view thành phố. Tại chỗ nghỉ, tất cả các phòng có ga trải giường và khăn tắm.

Paris Hotel Châu Đốc có phục vụ bữa sáng kiểu lục địa hoặc kiểu Mỹ.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 107 km.",9,2.0
https://www.booking.com/hotel/vn/victoria-chau-doc.vi.html,Victoria Chau Doc Hotel,"1 Le Loi Street, Chau Doc Town, Châu Đốc, Việt Nam","Nằm trên bờ sông Hậu (sông Bassac), Victoria Chau Doc Hotel cung cấp chỗ nghỉ ấm cúng với tầm nhìn ra quang cảnh dòng sông, các khu chợ nổi nổi tiếng và các làng nuôi cá bè trên sông, cũng như những khu làng Chăm. Khách lưu trú tại đây có thể ngâm mình trong hồ bơi ngoài trời hoặc thưởng thức các bữa ăn tại nhà hàng ngay trong khuôn viên.

Tất cả các phòng và suite của khách sạn đều được trang trí trang nhã và có cửa sổ lớn đón nhiều ánh sáng tự nhiên. Truyền hình cáp màn hình phẳng và tủ lạnh mini cũng được trang bị để tạo thuận tiện cho khách. Một số phòng còn có ban công riêng. Phòng tắm riêng đi kèm với tiện nghi vòi sen và dép đi trong phòng.

Victoria Spa của khách sạn tọa lạc tại vị trí lý tưởng trên sân thượng và có 5 giường mát-xa với tầm nhìn tuyệt đẹp ra quang cảnh Sông Hậu yên bình. Đội ngũ nhân viên tại quầy lễ tân hoạt động 24 giờ có thể hỗ trợ quý khách với nhiều dịch vụ, bao gồm thu đổi ngoại tệ, phòng giữ hành lý, cho thuê xe đạp và các dịch vụ trợ giúp đặc biệt khác.

Nằm trong vùng Đồng bằng sông Cửu Long, Victoria Chau Doc Hotel cách thành phố Cần Thơ 3 giờ lái xe và thành phố Phnom Penh chưa đến 5 giờ lái xe. Thành phố Hồ Chí Minh cách nơi nghỉ này 270 km (khoảng 7 giờ lái xe). Nhân viên của khách sạn có thể sắp xếp dịch vụ đưa đón.

Nhà hàng Bassac Restaurant của khách sạn phục vụ các món ăn Việt Nam và Châu Âu.",8.8,4.0
https://www.booking.com/hotel/vn/hero-hostel-amp-billiards.vi.html,Hero Hostel & Billiards,"5A Trần Nguyên Hãn, khóm Châu Quới 3, phường Châu Phú B, Thành phố Châu Đốc, Châu Đốc, Việt Nam","Hero Hostel & Billiards tọa lạc ở Châu Đốc. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Ngoài phòng tắm riêng với vòi xịt/chậu rửa vệ sinh và máy sấy tóc, một số căn tại hostel cũng có view thành phố.

Dịch vụ trợ giúp 24/7 luôn có sẵn tại lễ tân với đội ngũ nhân viên thành thạo tiếng Anh và tiếng Việt.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Hero Hostel & Billiards 107 km.",7.7,
https://www.booking.com/hotel/vn/victoria-nui-sam-lodge.vi.html,Victoria Nui Sam Lodge,"Vinh Dong 1, Nui Sam, Châu Đốc, Việt Nam","Tọa lạc ngay trên Núi Sam, Victoria Nui Sam Lodge có hồ bơi ngoài trời với cảnh quan thiên nhiên tuyệt đẹp bao quanh. Nơi nghỉ cung cấp Wi-Fi miễn phí trong phòng cũng như trong các khu vực chung.

Nơi nghỉ này nằm trong bán kính khoảng 7 km từ Chợ Châu Đốc và Sông Châu Đốc, nơi có kết nối với thành phố Phnom Penh của Campuchia.

Các phòng nghỉ ở đây đi kèm giường có màn trang trí, sàn lát gạch mát mẻ và đồ nội thất bằng gỗ. Trong phòng được trang bị truyền hình cáp, minibar và tiện nghi pha cà phê/ trà. Phòng tắm riêng có tiện nghi vòi sen, đồ vệ sinh cá nhân và máy sấy tóc. Các cánh cửa kiểu Pháp dẫn ra sân hiên riêng ngoài trời với tầm nhìn hướng ra khung cảnh thiên nhiên yên bình.

Nhà hàng La Giang phục vụ các món ăn Việt Nam địa phương cùng với những món ăn của châu Á cũng như phương Tây được yêu thích. Đồ uống giải khát cũng được cung cấp cho khê

Du khách có thể sử dụng trung tâm dịch vụ doanh nhân hoặc tiện nghi tổ chức tiệc tùng/ hội họp. Tại đây còn cung cấp các dịch vụ như giặt là, thu đổi ngoại tệ và giữ hành lý.",8.6,3.0
https://www.booking.com/hotel/vn/fami-nguyen-homestay-chau-doc.vi.html,FaMi Nguyễn Homestay Châu Đốc,"Tân lộ kiều lương, tổ 8, khóm Châu Thới 1, phường Châu Phú B, thành phố Châu Đốc, Tỉnh An Giang Angiang, An Giang, Vietnam 90506, Châu Đốc, Việt Nam","FaMi Nguyễn Homestay Châu Đốc nằm ở Châu Đốc, nhìn ra núi và có Wi-Fi miễn phí cùng chỗ đậu xe riêng miễn phí.

Được thiết kế với sân trong, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi sen và đồ vệ sinh cá nhân miễn phí. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Khách có thể thư giãn trong khu vườn tại chỗ nghỉ.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách homestay 109 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay miễn phí.",7.6,
https://www.booking.com/hotel/vn/cum-khach-san-dong-xuyen-thanh-pho-long-xuyen.vi.html,Đông Xuyên Hotel,"9 Lương Văn Cù, Long Xuyên, Việt Nam","Đông Xuyên Hotel có trung tâm thể dục, phòng chờ chung, sân hiên và nhà hàng ở Long Xuyên. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Khách có thể sử dụng quầy bar.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng được trang bị bồn tắm và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Đông Xuyên Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet và kiểu Á hằng ngày.

Khách sạn này có dịch vụ thuê xe đạp và dịch vụ thuê ô tô. Ngoài ra, đi xe đạp là hoạt động được ưa chuộng trong khu vực.

Sân bay Quốc tế Cần Thơ cách 53 km.",7.2,3.0
https://www.booking.com/hotel/vn/khach-san-phuong-nam.vi.html,Phuong Nam Hotel An Giang,"75 Tran Hung Dao, Long Xuyên, Việt Nam","Phuong Nam Hotel An Giang nằm ở Long Xuyên. Ngoài nhà hàng, khách sạn 1 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê ô tô cho những khách muốn khám phá khu vực xung quanh.

Tất cả các căn đi kèm tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Phòng nào cũng có tủ quần áo và TV màn hình phẳng, ngoài ra một số phòng tại khách sạn có ban công. Tại Phuong Nam Hotel An Giang, tất cả các phòng có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn túc trực để hỗ trợ khách.

Sân bay Quốc tế Cần Thơ cách 55 km.",7.6,1.0
