url,name,location,description,point,star
https://www.booking.com/hotel/vn/muong-thanh-luxury-ca-mau.vi.html,Muong Thanh Luxury Ca Mau Hotel,"Lot C03A, Ca Mau Administrative and Political Center Zone, Cà Mau, Việt Nam","Muong Thanh Luxury Ca Mau Hotel cung cấp chỗ ở tại tỉnh Cà Mau và có Wi-Fi miễn phí, nhà hàng cũng như hồ bơi ngoài trời mở cửa quanh năm. Khách sạn cũng có trung tâm spa cùng bồn tắm nước nóng và khách có thể thưởng thức đồ uống tại quầy bar.

Mỗi phòng nghỉ tại khách sạn này đều được trang bị máy lạnh và TV truyền hình cáp màn hình phẳng. Du khách sẽ tìm thấy ấm đun nước trong phòng. Các phòng còn đi kèm phòng tắm riêng. Dép, đồ vệ sinh cá nhân miễn phí và máy sấy tóc cũng được cung cấp để mang lại sự thoải mái cho khách.

Khách có thể tìm thấy cửa hàng cắt tóc ngay trong khuôn viên.

Khách có thể chơi tennis tại khách sạn. Sân bay Rạch Giá cách đó 84 km. Khách sạn cung cấp dịch vụ đón khách miễn phí từ sân bay.",7.7,5.0
https://www.booking.com/hotel/vn/phu-cuong-ca-mau.vi.html,Phu Cuong Hotel Ca Mau,"81 Phan Ngoc Hien Street, Ward 4, Ca Mau City, Cà Mau, Việt Nam","Phu Cuong Hotel Ca Mau có hồ bơi ngoài trời, phòng chờ chung, sân hiên và nhà hàng ở Cà Mau. Ngoài Wi-Fi miễn phí, khách sạn 4 sao này còn cung cấp dịch vụ phòng và dịch vụ tiền sảnh. Du khách có thể thưởng thức đồ uống tại quầy bar.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, sân trong, phòng tắm riêng và vòi xịt/chậu rửa vệ sinh. Tại Phu Cuong Hotel Ca Mau, tất cả các phòng có ga trải giường và khăn tắm.

Chỗ nghỉ có chỗ đậu xe riêng miễn phí, dịch vụ văn phòng và lễ tân 24/24.

Sân bay Cà Mau cách 4 km.",8.6,4.0
https://www.booking.com/hotel/vn/khach-san-quoc-te.vi.html,khách sạn Quốc Tế,"Đường Phan Ngọc Hiển, Cà Mau, Việt Nam","Khách sạn Quốc Tế có phòng chờ chung, sân hiên, nhà hàng và quầy bar ở Cà Mau. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Phòng nào cũng có ban công.

Tại khách sạn, tất cả các phòng có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các căn tại khách sạn Quốc Tế có điều hòa và tủ quần áo.

Sân bay Cà Mau cách 2 km.",6.7,3.0
https://www.booking.com/hotel/vn/sao-kim-ca-mau.vi.html,Sao Kim,"03, Lưu Tấn Tài, Phường 5, Cà Mau Toà nhà VNPT, Cà Mau, Việt Nam","Sao Kim có khu vườn, sân hiên, nhà hàng và quầy bar ở Cà Mau. Khách sạn 2 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Một số căn tại chỗ nghỉ có sân trong với view thành phố.

Sân bay Cà Mau cách 3 km.",7.4,2.0
https://www.booking.com/hotel/vn/nha-khach-van-thanh.vi.html,Nhà Khách Vạn Thành,"96 Huỳnh Thúc Kháng, Cà Mau, Việt Nam","Nhà Khách Vạn Thành tọa lạc ở Cà Mau. Guest house cung cấp cả Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại guest house, tất cả các phòng có tủ quần áo. Với phòng tắm riêng được trang bị vòi sen và dép đi trong phòng, phòng khách tại Nhà Khách Vạn Thành có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, phòng nào cũng có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Cà Mau, cách Nhà Khách Vạn Thành 3 km.",8.3,3.0
https://www.booking.com/hotel/vn/anh-nguyet.vi.html,Anh Nguyet Hotel,"207 Phan Ngoc Hien, Ward 6, Cà Mau, Việt Nam","Tọa lạc ở Cà Mau, Anh Nguyet Hotel cung cấp chỗ nghỉ 3 sao có hồ bơi ngoài trời, khu vườn và nhà hàng. Khách sạn có bể sục, quầy lễ tân 24 giờ và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV và phòng tắm riêng với vòi sen. Tại Anh Nguyet Hotel, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Sân bay Cà Mau cách 2 km.",8,3.0
https://www.booking.com/hotel/vn/thanh-truc-ca-mau-ca-mau.vi.html,Thanh Truc Hotel Ca Mau,"113 Ngô Quyền, Phường 1, Thành phố Cà Mau, Cà Mau, Việt Nam","Thanh Truc Hotel Ca Mau tọa lạc ở Cà Mau. Ngoài Wi-Fi miễn phí, khách sạn 2 sao này còn cung cấp khu vườn và phòng chờ chung. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và phòng giữ hành lý cho khách.

Tại khách sạn, tất cả các phòng đều có điều hòa, bàn làm việc, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Mỗi phòng đều có ấm đun nước, trong đó một số phòng có ban công. Tất cả các căn đều có tủ lạnh.

Sân bay gần nhất là Sân bay Cà Mau, cách Thanh Truc Hotel Ca Mau 4 km.",8,2.0
https://www.booking.com/hotel/vn/the-one-thanh-pho-ca-mau.vi.html,Khách Sạn The One Hotel 1,"Số MG2-19, MG2-20, MG2-23, MG2-24, Khu phố thương mại Vincom, Phường 1, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam, Cà Mau, Việt Nam","Khách Sạn The One Hotel 1 có phòng chờ chung, sân hiên, nhà hàng và quầy bar ở Cà Mau. Khách sạn 3 sao này có dịch vụ tiền sảnh. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng tại khách sạn có điều hòa, TV màn hình phẳng có truyền hình vệ tinh, đầu đĩa DVD, phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng nào cũng có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Khách Sạn The One Hotel 1, mỗi phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Sân bay Cà Mau cách 6 km.",8.1,3.0
https://www.booking.com/hotel/vn/khach-san-the-one-2-ca-mau.vi.html,Khách Sạn The One Hotel 2,"MG1-01-02-03-04, Khu đô thị Vincom, Phường 1, Cà Mau, Cà Mau, Việt Nam, Cà Mau, Việt Nam","Khách Sạn The One Hotel 2 có khu vườn, sân hiên, nhà hàng và quầy bar ở Cà Mau. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ.

Tại khách sạn, mỗi phòng đều có bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại Khách Sạn The One Hotel 2 có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Khách tại Khách Sạn The One Hotel 2 có thể thưởng thức bữa sáng kiểu Á.

Sân bay gần nhất là Sân bay Cà Mau, cách khách sạn 5 km.",6.5,3.0
https://www.booking.com/hotel/vn/nam-kieu-ca-mau.vi.html,Nam Kiều Hotel Cà Mau,"151A Ngô Quyền, Cà Mau, Việt Nam","Nam Kiều Hotel Cà Mau cung cấp chỗ nghỉ tại Cà Mau. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều có tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng hỗ trợ khách vào bất kỳ thời điểm nào trong ngày.

Sân bay Cà Mau cách 4 km.",9,
