url,name,location,description,point,star
https://www.booking.com/hotel/vn/hoang-lien-plaza.vi.html,Hoàng Liên Hotel,"Tổ dân phố 15, Thị trấn Tân Uyên, Huyện Tân Uyên, Tỉnh Lai Châu, Na Cốc, Việt Nam","Tọa lạc ở Na Cốc, cách Love Waterfall 46 km, Hoàng Liên Hotel cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và nhà hàng. Các tiện nghi gồm có sân chơi trẻ em và Wi-Fi miễn phí.

Tại khách sạn, tất cả các phòng đều có tủ quần áo. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, phòng khách tại Hoàng Liên Hotel có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng đưa ra hướng dẫn hữu ích về khu vực xung quanh.

Hoàng Liên Hotel cách Silver Waterfall 48 km và Thung lũng Mường Hoa 48 km.",7.9,
https://www.booking.com/hotel/vn/khach-san-minh-son.vi.html,Minh Sơn HOTEL,"33 Mường Kim, phường Tân Phong, Thành phố Lai Châu, Lai Chau, Vietnam 033, Ta Lan Than, Việt Nam","Minh Sơn HOTEL tọa lạc ở Ta Lan Than. Ngoài Wi-Fi miễn phí, khách sạn 1 sao này còn cung cấp khu vườn và sân hiên. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Sân bay gần nhất là Sân bay Điện Biên Phủ, cách khách sạn 200 km.",9.2,1.0
https://www.booking.com/hotel/vn/muong-thanh-lai-chau.vi.html,Muong Thanh Lai Chau Hotel,"Tan Phong , Pan Linh, Việt Nam","Nằm nép mình tại xã Pan Linh, Muong Thanh Lai Chau Hotel cung cấp chỗ nghỉ yên tĩnh và trang nhã với truy cập WiFi miễn phí trong toàn bộ khuôn viên. Khách sạn có hồ bơi ngoài trời, tiện nghi phòng xông hơi khô và các khu vườn xanh tốt.

Các phòng và suite máy lạnh tại đây được trang bị sàn trải thảm, tủ quần áo, khu vực tiếp khách, két an toàn trong phòng và truyền hình cáp màn hình phẳng. Phòng tắm riêng đi kèm bồn tắm, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Tại Muong Thanh Lai Chau Hotel, khách có thể yêu cầu dịch vụ mát-xa hoặc hát karaoke. Dịch vụ để hành lý, đưa/đón sân bay và tiện nghi tổ chức hội họp/tiệc cũng có tại khách sạn. Dịch vụ đặt vé và thu đổi ngoại tệ có thể được cung cấp tại lễ tân 24 giờ.

Khách sạn có nhà hàng phục vụ tuyển chọn các món ăn hấp dẫn của địa phương và Châu Á. Bữa sáng miễn phí với thực đơn lập sẵn cũng được cung cấp cho khách.",8.7,3.0
https://www.booking.com/hotel/vn/homestay-man-hieu.vi.html,Homestay Man Hiếu,"Sì Thâu Chải, Bản Hon, Việt Nam","Tọa lạc ở Bản Hon, cách Trạm cáp treo Fansipan 50 km và Love Waterfall 38 km, Homestay Man Hiếu cung cấp chỗ nghỉ nhìn ra núi, có Wi-Fi miễn phí và khu vườn với sân hiên.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Homestay cách Silver Waterfall 40 km và Thung lũng Mường Hoa 41 km. Sân bay gần nhất là Sân bay Điện Biên Phủ, cách Homestay Man Hiếu 225 km.",9.6,
https://www.booking.com/hotel/vn/hoa-lan-bungalow-amp-restaurant.vi.html,Hoa Lan Bungalow & Restaurant,"Sin Súi Hồ, Phong Thổ, Việt Nam","Hoa Lan Bungalow & Restaurant là chỗ nghỉ tọa lạc ở Phong Thổ và có ban công. Chỗ nghỉ này có sân hiên và chỗ đậu xe riêng miễn phí.

Căn hộ này nhìn ra núi, có sàn gỗ, 1 phòng ngủ, 1 phòng tắm với vòi xịt/chậu rửa vệ sinh, vòi sen và đồ vệ sinh cá nhân miễn phí.

Sân bay gần nhất là Sân bay Điện Biên Phủ, cách căn hộ 204 km.",10,
https://www.booking.com/hotel/vn/a-hoa-homestay.vi.html,A Hòa Homestay,"Sin Suối Hồ, Phong Thổ, Lai Châu, Ye Yen Sun Cay, Việt Nam","A Hòa Homestay có khu vườn, sân hiên, nhà hàng và quầy bar ở Ye Yen Sun Cay. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và phòng giữ hành lý cho khách.

Tại hostel, các phòng đều có ban công với view núi. Tất cả các phòng đều có bàn làm việc và ấm đun nước để khách sử dụng.

Khách có thể thưởng thức bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa tại chỗ nghỉ.

Sân bay Điện Biên Phủ cách 204 km.",9.8,
https://www.booking.com/hotel/vn/hoang-nham-luxury.vi.html,Hoang Nham Luxury Hotel,"69 Điện Biên Phủ, Ta Lan Than, Việt Nam","Hoang Nham Luxury Hotel có trung tâm thể dục, khu vườn, sân hiên và nhà hàng ở Ta Lan Than. Khách sạn 5 sao này có máy ATM và dịch vụ tiền sảnh. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Các phòng có tủ quần áo.

Hoang Nham Luxury Hotel có sân chơi trẻ em.

Sân bay gần nhất là Sân bay Điện Biên Phủ, cách chỗ nghỉ 200 km.",8.3,5.0
https://www.booking.com/hotel/vn/nha-to-chim.vi.html,Nhà Tổ Chim,"Bản Sin SuốI Hồ, xã Sin Suối Hồ, huyện Phong Thổ, tỉnh Lai Châu, Ye Yen Sun Cay, Việt Nam","Nằm ở Ye Yen Sun Cay thuộc Lai Chau, Nhà Tổ Chim cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Khách tại căn hộ có thể thưởng thức bữa sáng thực đơn buffet hoặc thực đơn à la carte.

Khách cũng có thể thư giãn trong khu vườn.

Sân bay gần nhất là Sân bay Điện Biên Phủ, cách Nhà Tổ Chim 204 km.",,
https://www.booking.com/hotel/vn/homestay-chu-vang-phong-tho.vi.html,Homestay Chu Vang,"Sin Súi Hồ, Phong Thổ, Lai Châu, Phong Thổ, Việt Nam","Nhìn ra núi, Homestay Chu Vang ở Phong Thổ cung cấp chỗ nghỉ có khu vườn, sân hiên và nhà hàng. Wi-Fi miễn phí được cung cấp ở toàn bộ chỗ nghỉ.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Chỗ nghỉ có phục vụ bữa sáng mỗi sáng, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu Á.

Khách có thể sử dụng sân chơi trẻ em tại lodge.

Sân bay Điện Biên Phủ cách 204 km.",,
https://www.booking.com/hotel/vn/khach-san-ngan-ha-thanh-pho-lai-chau.vi.html,Khách Sạn Ngân Hà,"Phố Trần Đại Nghĩa Số 01, Pan Linh, Việt Nam","Khách Sạn Ngân Hà cung cấp chỗ nghỉ tại Pan Linh. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, các phòng được thiết kế có sân hiên với view thành phố. Ngoài phòng tắm riêng với vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại Khách Sạn Ngân Hà cũng có Wi-Fi miễn phí, trong đó một số phòng có view núi. Các căn tại chỗ nghỉ có điều hòa và bàn làm việc.

Sân bay gần nhất là Sân bay Điện Biên Phủ, cách Khách Sạn Ngân Hà 201 km.",,
