url,name,location,description,point,star
https://www.booking.com/hotel/vn/crowne-plaza-vinh-yen-city-centre-an-ihg.vi.html,"Crowne Plaza Vinh Yen City Centre, an IHG Hotel","No. 396 Me Linh Street, Vĩnh Yên, Việt Nam","Tọa lạc ở Vĩnh Yên, cách Phủ Thành Chương 29 km, Crowne Plaza Vinh Yen City Centre, an IHG Hotel cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, trung tâm thể dục và sân hiên. Khách sạn 5 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Du khách có thể thưởng thức các món quốc tế tại nhà hàng hoặc thưởng thức ly cocktail tại quầy bar.

Tại khách sạn, tất cả các phòng đều có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng nào cũng có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Crowne Plaza Vinh Yen City Centre, an IHG Hotel, các phòng đều đi kèm với ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet hoặc kiểu lục địa.

Crowne Plaza Vinh Yen City Centre, an IHG Hotel cách Bảo tàng dân tộc học Việt Nam 43 km và Sân vận động Quốc gia Mỹ Đình 44 km.",9.3,5.0
https://www.booking.com/hotel/vn/nha-phoenix-nha-hoa-hong.vi.html,Trúc An Village,"Đường 301 Xã Ngọc Thanh, Tp Phúc Yên, Vĩnh Phúc, Phúc Yên, Việt Nam","Nhìn ra khu vườn, Trúc An Village tọa lạc ở Phúc Yên và có nhà hàng, câu lạc bộ trẻ em, quầy bar, khu vườn, hồ bơi ngoài trời mở quanh năm cũng như sân hiên phơi nắng. Wi-Fi miễn phí được cung cấp.

Được thiết kế với ban công, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Lodge có phục vụ bữa sáng thực đơn buffet hằng ngày.

Trúc An Village có trung tâm thể dục.

Chỗ nghỉ này có phòng chờ chung, ngoài ra khách có thể câu cá và đi xe đạp gần đó.

Chỗ nghỉ cách Phủ Thành Chương 18 km và Bảo tàng dân tộc học Việt Nam 44 km. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 24 km và cung cấp dịch vụ đưa đón sân bay mất phí.",7.7,
https://www.booking.com/hotel/vn/irest-cosmopolis-vinh-yen.vi.html,iRest COSMOPOLIS Vinh Yen,"Ngô Gia Tự, Vĩnh Yên, Việt Nam","Tọa lạc ở Vĩnh Yên, cách Phủ Thành Chương 28 km và Bảo tàng dân tộc học Việt Nam 42 km, iRest COSMOPOLIS Vinh Yen cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa, phòng chờ chung và sân hiên.

Khách sạn căn hộ có sân trong nơi khách có thể nhìn ra thành phố, khu vực ghế ngồi, TV màn hình phẳng truyền hình vệ tinh, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí.

IRest COSMOPOLIS Vinh Yen cách Sân vận động Quốc gia Mỹ Đình 44 km và Trung tâm thương mại Vincom Nguyễn Chí Thanh 45 km. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 24 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.6,4.0
https://www.booking.com/hotel/vn/flamingo-dai-lai-hilltop-vila-hp.vi.html,Hilltop Villa H226 -Đại Lải - nằm trong khuôn viên Flamingo,"Flamingo Dai Lai, Thôn Đại Quang, Ngọc Thanh, Phúc Yên, Vĩnh Phúc, Vĩnh Phúc, Việt Nam","Nhìn ra khu vườn, Hilltop Villa H226 -Đại Lải - nằm trong khuôn viên Flamingo ở Vĩnh Phúc cung cấp chỗ nghỉ có xe đạp miễn phí, khu vườn, sân hiên và nhà hàng. WiFi miễn phí có sẵn.

Tất cả các căn có thiết kế gồm khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, cùng phòng tắm riêng có trang bị đồ vệ sinh cá nhân miễn phí, vòi xịt/chậu rửa vệ sinh, vòi sen và bồn tắm. Tủ lạnh và ấm đun nước đều được cung cấp.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu lục địa hoặc kiểu Á tại chỗ nghỉ.

Khuôn viên của khách sạn căn hộ có sân chơi trẻ em và du khách có thể leo núi hoặc đi xe đạp ở khu vực gần đó.

Hilltop Villa H226 -Đại Lải - nằm trong khuôn viên Flamingo cách Phủ Thành Chương 15 km và Bảo tàng dân tộc học Việt Nam 43 km.",7.6,3.0
https://www.booking.com/hotel/vn/westlake-amp-resort-vinh-phuc.vi.html,Westlake Hotel & Resort Vinh Phuc,"To Ngoc Van St, Tich Son Dist, Vĩnh Yên, Việt Nam","Nằm ở Vĩnh Yên, cách Phủ Thành Chương 28 km, Westlake Hotel & Resort Vinh Phuc cung cấp chỗ nghỉ có hồ bơi ngoài trời theo mùa, chỗ đậu xe riêng miễn phí, trung tâm thể dục và khu vườn. Ngoài câu lạc bộ trẻ em, chỗ nghỉ này còn có nhà hàng, sòng bạc và sân hiên để phục vụ du khách. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, phòng chờ chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có tủ quần áo, ấm đun nước, tủ lạnh, minibar, két an toàn, TV và phòng tắm riêng với vòi sen. Tại Westlake Hotel & Resort Vinh Phuc, các phòng đều đi kèm với ga trải giường và khăn tắm.

Chỗ nghỉ có sân chơi trẻ em. Câu cá và đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 5 sao này có dịch vụ thuê xe đạp.

Khách có thể sử dụng dịch vụ văn phòng hoặc thư giãn tại quầy bar.

Westlake Hotel & Resort Vinh Phuc cách Bảo tàng dân tộc học Việt Nam 42 km và Sân vận động Quốc gia Mỹ Đình 44 km.",7.7,5.0
https://www.booking.com/hotel/vn/quynh-hoa-tam-dao.vi.html,Quỳnh Hoa Hotel Tam Đảo,"Phạm Văn Đồng 9, Tam Ðảo, Việt Nam","Quỳnh Hoa Hotel Tam Đảo có khu vườn, phòng chờ chung, sân hiên và nhà hàng ở Tam Ðảo. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Mỗi phòng đều được thiết kế có sân trong.

Tại khách sạn, các phòng đều đi kèm với ban công. Ngoài phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, các phòng tại Quỳnh Hoa Hotel Tam Đảo đều có view thành phố. Tại chỗ nghỉ, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Sân bay Quốc tế Nội Bài cách 46 km.",8.7,3.0
https://www.booking.com/hotel/vn/daisy-tam-dao.vi.html,Daisy Hotel Tam Dao,"Tổ dân phố 2, thị trấn Tam Đảo, Tam Ðảo, Việt Nam","Daisy Hotel Tam Dao tọa lạc ở Tam Ðảo và có sân hiên. Ngoài hồ bơi ngoài trời, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Ở đây có nhà hàng phục vụ món ăn Việt và chỗ đậu xe riêng miễn phí.

Tại khách sạn, mỗi phòng đều có bàn làm việc, ga trải giường và ban công với view thành phố. Các phòng có tủ quần áo.

Daisy Hotel Tam Dao có phục vụ bữa sáng thực đơn à la carte và kiểu Á hằng ngày.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay Quốc tế Nội Bài cách 46 km.",7.9,2.0
https://www.booking.com/hotel/vn/tuan-lien-villa-tam-dao.vi.html,Tuan Lien Villa Tam Dao,"Phạm Văn Đồng, Tam Ðảo, Việt Nam","Nằm ở Tam Ðảo, Tuan Lien Villa Tam Dao cung cấp chỗ nghỉ 2 sao có khu vườn, phòng chờ chung và sân hiên. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và phòng giữ hành lý cho khách.

Tại khách sạn, tất cả các phòng đều có điều hòa, tủ quần áo, sân trong với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm.

Sân bay Quốc tế Nội Bài cách 46 km.",8.5,2.0
https://www.booking.com/hotel/vn/hung-trang-tam-dao-tam-dao1.vi.html,Hùng Trang Hotel Tam Đảo 1,"Tổ dân phố 1, Tam Đảo, Tam Ðảo, Việt Nam","Hùng Trang Hotel Tam Đảo 1 cung cấp chỗ nghỉ tại Tam Ðảo. Ngoài Wi-Fi miễn phí, khách sạn 2 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Tất cả các phòng đều có sân trong với nhìn view vườn.

Tại khách sạn, tất cả các phòng đều được thiết kế có điều hòa, tủ quần áo, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Các phòng đều có tủ lạnh.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Hùng Trang Hotel Tam Đảo 1 46 km.",8.2,2.0
https://www.booking.com/hotel/vn/camellia-luxury-tam-dao.vi.html,Camellia Luxury Hotel Tam Đảo,"Khu phố 1 thị trấn Tam Đảo, Vĩnh Phúc Khu phố 1, Tam Ðảo, Việt Nam","Camellia Luxury Hotel Tam Đảo có trung tâm thể dục, khu vườn, sân hiên và nhà hàng ở Tam Ðảo. Mỗi phòng tại khách sạn 5 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng phòng xông hơi khô và bể sục. Chỗ nghỉ có chỗ đậu xe riêng miễn phí, đồng thời có cả dịch vụ đưa đón sân bay miễn phí.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, máy pha cà phê, tủ lạnh, máy rửa bát, két an toàn, TV màn hình phẳng, sân trong và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Camellia Luxury Hotel Tam Đảo cung cấp một số phòng được trang bị ban công và tất cả các phòng đều được thiết kế có ấm đun nước. Tại chỗ nghỉ, tất cả các phòng có ga trải giường và khăn tắm.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay Quốc tế Nội Bài cách 46 km.",8.3,5.0
