url,name,location,description,point,star
https://www.booking.com/hotel/vn/sojo-nam-dinh.vi.html,SOJO Hotel Nam Dinh,"272 đường Trần Hưng Đạo, phường Bà Triệu, TP Nam Định, Nam Ðịnh, Việt Nam","Tọa lạc ở Nam Ðịnh, cách Chùa Bái Đính 50 km, SOJO Hotel Nam Dinh cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 4 sao này có dịch vụ phòng và máy ATM. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tất cả các căn ở SOJO Hotel Nam Dinh được trang bị đồ vệ sinh cá nhân miễn phí và iPad.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa mỗi sáng.

Chỗ nghỉ cách Ninh Binh Stadium 30 km và Khu du lịch sinh thái Vườn Chim Thung Nham 45 km.",8.7,4.0
https://www.booking.com/hotel/vn/ruby-thanh-pho-nam-dinh.vi.html,Ruby Hotel,"118 Bắc Ninh, phường Nguyễn Du, Nam Ðịnh, Việt Nam","Tọa lạc ở Nam Ðịnh, cách Chùa Bái Đính 50 km, Ruby Hotel nhìn rathành phố. Ngoài sân hiên, khách sạn 3 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tất cả các căn được trang bị tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng đều có tủ quần áo và TV màn hình phẳng, ngoài ra một số căn tại khách sạn có ban công. Tại Ruby Hotel, tất cả các phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ cách Ninh Binh Stadium 30 km và Khu du lịch sinh thái Vườn Chim Thung Nham 45 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Ruby Hotel 87 km.",6.6,3.0
https://www.booking.com/hotel/vn/the-wiltons.vi.html,The wiltons hotel,"Hồ Xuân Hương 32, Nam Ðịnh, Việt Nam","Tọa lạc ở Nam Ðịnh, cách Ninh Binh Stadium 31 km và Khu du lịch sinh thái Vườn Chim Thung Nham 46 km, The wiltons hotel cung cấp chỗ nghỉ có sân hiên và chỗ đậu xe riêng miễn phícho khách lái xe. Chỗ nghỉ cách Ninh Binh Train Station khoảng 32 km, Trang An Eco Tourism Complex 38 km và Thai Vi Temple 40 km. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, tất cả các phòng đều có ban công với view vườn. Ngoài phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, các phòng tại The wiltons hotel đều có view thành phố. Tại chỗ nghỉ, mỗi phòng đều được thiết kế có điều hòa và TV màn hình phẳng.

The wiltons hotel cách Cố đô Hoa Lư 41 km và Bich Dong Pagoda 42 km.",8.3,
https://www.booking.com/hotel/vn/khach-san-nam-cuong-nam-din.vi.html,Nam Cuong Nam Dinh Hotel,"538 Phố Trần Hưng Đạo Phường Lộc Vượng, Nam Ðịnh, Việt Nam","Nam Cuong Nam Dinh Hotel có hồ bơi ngoài trời, trung tâm thể dục, khu vườn và phòng chờ chung ở Nam Ðịnh. Mỗi phòng tại khách sạn 4 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng nhà hàng và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, sân hiên, phòng tắm riêng và vòi sen. Một số phòng có bếp với lò vi sóng. Các căn có tủ quần áo.

Nam Cuong Nam Dinh Hotel có tắm suối nước nóng.

Bên cạnh bar thức ăn nhẹ ngay trong khuôn viên, khách còn có thể sử dụng khu vực văn phòng/hội họp.

Chỗ nghỉ cách Ninh Binh Stadium 31 km và Khu du lịch sinh thái Vườn Chim Thung Nham 45 km.",9,4.0
https://www.booking.com/hotel/vn/nha-nghi-tra-my-tp-nam-dinh.vi.html,NHÀ NGHỈ TRÀ MY,"Phường Mỹ xá Xóm 4 gôi quan, Vu Bản, Việt Nam","Nằm ở Vu Bản thuộc Nam Định, NHÀ NGHỈ TRÀ MY cung cấp chỗ đậu xe riêng miễn phí.

Khách sạn căn hộ có sân hiên.

NHÀ NGHỈ TRÀ MY cách Chùa Bái Đính 49 km và Ninh Binh Stadium 29 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách chỗ nghỉ 92 km.",,
https://www.booking.com/hotel/vn/nha-nghi-tra-my-nam-dinh.vi.html,Nhà Nghỉ Trà My,"KHU CÔNG NGHIỆP MAI XÁ-- MỸ XÁ- TP NAM ĐỊNH XÓM GÔI- MAI XÁ - MỸ XÁ- TPND, Như Thức, Việt Nam","Nằm ở Như Thức, cách Chùa Bái Đính 49 km, Nhà Nghỉ Trà My cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Khách sạn 2 sao này cung cấp bếp chung, dịch vụ phòng và Wi-Fi miễn phí. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ, dịch vụ tiền sảnh và phòng giữ hành lý cho khách.

Tại khách sạn, các phòng đều có điều hòa, bàn làm việc, TV, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view sông. Tất cả các phòng có két an toàn.

Khách tại Nhà Nghỉ Trà My sẽ có thể tận hưởng các hoạt động ở trong Như Thức và khu vực xung quanh, như leo núi và đi xe đạp.

Chỗ nghỉ cách Ninh Binh Stadium 29 km và Khu du lịch sinh thái Vườn Chim Thung Nham 44 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Nhà Nghỉ Trà My 90 km.",4.5,2.0
https://www.booking.com/hotel/vn/nha-nghi-tra-my-tp-nam-dinh2.vi.html,NHÀ NGHỈ TRÀ MY,"Phường Mỹ xá Gôi quan, Vu Bản, Việt Nam","Nằm ở Vu Bản, cách Chùa Bái Đính 49 km và Ninh Binh Stadium 29 km, NHÀ NGHỈ TRÀ MY cung cấp chỗ nghỉ có điều hòa và khu vườn với sân hiên.

Khách sạn căn hộ cách Khu du lịch sinh thái Vườn Chim Thung Nham 44 km và Ninh Binh Train Station 30 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách NHÀ NGHỈ TRÀ MY 92 km.",,
https://www.booking.com/hotel/vn/tien-loc-plaza.vi.html,Tiến Lộc Plaza Hotel,"Số 68, Trần Hưng Đạo,  Vĩnh Trụ, huyện Lý Nhân, tỉnh Hà Nam, Hà Nam, Việt Nam","Tọa lạc ở Hà Nam, cách Ninh Binh Stadium 45 km, Tiến Lộc Plaza Hotel cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp câu lạc bộ trẻ em và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Các phòng được trang bị điều hòa, tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Ngoài phòng tắm riêng, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Tiến Lộc Plaza Hotel, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Khách tại chỗ nghỉ có thể thưởng thức bữa sáng thực đơn à la carte.

Tiến Lộc Plaza Hotel cách Cố đô Hoa Lư 43 km và Ninh Binh Train Station 45 km.",8.2,3.0
https://www.booking.com/hotel/vn/hung-anh-riverview-villa.vi.html,Pham Gia Riverside Retreat,"Xã Thanh Hương - Huyện Thanh Liêm- Tỉnh Hà Nam, Hà Nam, Việt Nam","Nằm ở Hà Nam, cách Chùa Bái Đính 30 km và Ninh Binh Stadium 24 km, Pham Gia Riverside Retreat cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa, xe đạp miễn phí và sân hiên. Biệt thự cung cấp chỗ đậu xe riêng miễn phí và bếp chung.

Biệt thự có 3 phòng ngủ, bếp với tủ lạnh và lò nướng, TV màn hình phẳng, khu vực ghế ngồi, 2 phòng tắm được trang bị vòi sen.

Biệt thự có sân chơi trẻ em. Sau một ngày leo núi, câu cá hoặc đi xe đạp, khách có thể thư giãn trong khu vườn hoặc khu vực phòng chờ chung.

Pham Gia Riverside Retreat cách Khu du lịch sinh thái Vườn Chim Thung Nham 38 km và Cố đô Hoa Lư 23 km. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 97 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",,
https://www.booking.com/hotel/vn/huong-duong-phu-quy1.vi.html,Hướng Dương Hotel Đảo Phú Quý,"35 Ngô Quyền Tam Thanh, Phú Quý, Việt Nam","Hướng Dương Hotel Đảo Phú Quý nằm ở Phú Quý và có sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.",9.2,
