url,name,location,description,point,star
https://www.booking.com/hotel/vn/rose-valley.vi.html,Rose Valley Hotel Da Lat Vietnam,"34 Ngo Thi Sy Street, Ward 4, Đà Lạt, Việt Nam","Nằm ở Đà Lạt, cách Quảng trường Lâm Viên 3.1 km, Rose Valley Hotel Da Lat Vietnam cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí và sân hiên. Khách sạn 3 sao này có bàn bán tour và phòng giữ hành lý. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, các phòng đều đi kèm với bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tất cả các phòng đều có tủ lạnh.

Rose Valley Hotel Da Lat Vietnam có phục vụ bữa sáng thực đơn buffet mỗi buổi sáng.

Chỗ nghỉ cách Hồ Xuân Hương 3.3 km và Công viên Yersin 3.4 km. Sân bay gần nhất là Sân bay Liên Khương, cách Rose Valley Hotel Da Lat Vietnam 29 km.",8.4,3.0
https://www.booking.com/hotel/vn/huong-anh-luxury-dalat.vi.html,Huong Anh DaLat Palace,"52 Đường Mê Linh, Đà Lạt, Việt Nam","Huong Anh DaLat Palace nằm ở Đà Lạt, cách Vườn hoa Đà Lạt 3.8 km và Hồ Xuân Hương 4.2 km. Khách sạn 3 sao này có phòng chờ chung và dịch vụ phòng. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các căn đi kèm tủ lạnh, lò vi sóng, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Tại Huong Anh DaLat Palace, các phòng được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ cách Công viên Yersin 4.2 km và Quảng trường Lâm Viên 4.4 km.",9.1,3.0
https://www.booking.com/hotel/vn/tho-non-garden-villa-bao-loc.vi.html,Thỏ Non Garden Villa Bảo Lộc,"Daklong Thương, Lộc Đức, Bảo Lâm, Bảo Lộc, Việt Nam","Tọa lạc ở Bảo Lộc, Thỏ Non Garden Villa Bảo Lộc có khu vườn, sân hiên, nhà hàng, cùng Wi-Fi miễn phí. Ngoài phòng gia đình, chỗ nghỉ này cũng cung cấp cho khách BBQ. Du khách có thể thưởng thức đồ uống tại bar thức ăn nhẹ.

Mỗi phòng đều có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra khu vườn.

Sân bay Liên Khương cách 72 km.",8.5,
https://www.booking.com/hotel/vn/nature-dalat-thanh-pho-da-lat.vi.html,NATURE Hotel Dalat By K D H,"15 Lê Hồng Phong, Đà Lạt, Việt Nam","Nằm ở Đà Lạt, cách Quảng trường Lâm Viên 2.2 km, NATURE Hotel Dalat By K D H cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Ngoài Wi-Fi miễn phí, khách sạn 4 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Khách sạn có sân hiên và nhìn ra thành phố, ngoài ra du khách có thể thưởng thức bữa ăn tại nhà hàng hoặc đồ uống tại quầy bar.

Khách tại khách sạn có thể thưởng thức bữa sáng thực đơn buffet.

NATURE Hotel Dalat By K D H cách Hồ Xuân Hương 2.4 km. Sân bay Liên Khương cách 32 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.3,4.0
https://www.booking.com/hotel/vn/pine-view-dalat.vi.html,PINE VIEW Hotel Dalat,"23 Đường Hoàng Văn Thụ, Đà Lạt, Việt Nam","Nằm cách Quảng trường Lâm Viên 4.6 km và Hồ Xuân Hương 4.7 km, PINE VIEW Hotel Dalat cung cấp các phòng ở Đà Lạt. Ngoài phòng chờ chung, khách sạn 3 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại khách sạn, tất cả các phòng đều có bàn làm việc và TV màn hình phẳng. Các phòng được thiết kế có két an toàn, trong đó một số phòng có ban công và một số khác cũng nhìn ra thành phố. Tại PINE VIEW Hotel Dalat, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ có sân hiên phơi nắng.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

PINE VIEW Hotel Dalat cách Công viên Yersin 4.9 km và Vườn hoa Đà Lạt 5.8 km.",9.2,3.0
https://www.booking.com/hotel/vn/nature-nam-ky-khoi-nghia.vi.html,Nature Hotel - Nam Kỳ Khởi Nghĩa,"8a Nam Kỳ Khởi Nghĩa, Đà Lạt, Việt Nam","Tọa lạc ở Đà Lạt, cách Quảng trường Lâm Viên 14 phút đi bộ, Nature Hotel - Nam Kỳ Khởi Nghĩa cung cấp chỗ nghỉ có sân hiên, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Chỗ nghỉ này nằm cách Sân golf Dalat Palace Golf Club 2.6 km, Vườn hoa Đà Lạt 2.9 km và Thiền Viện Trúc Lâm 6.2 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Phòng khách tại khách sạn được trang bị khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, cùng phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tất cả các phòng đều được thiết kế có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Nature Hotel - Nam Kỳ Khởi Nghĩa, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng kiểu Á hằng ngày.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 3 sao này có dịch vụ thuê xe đạp.

Các điểm tham quan nổi tiếng gần Nature Hotel - Nam Kỳ Khởi Nghĩa bao gồm Hồ Xuân Hương, Công viên Yersin và Khách sạn Hằng Nga. Sân bay Liên Khương cách 32 km.",9.6,3.0
https://www.booking.com/hotel/vn/phuong-trinh-thanh-pho-da-lat1.vi.html,Phương Trinh Hotel,"135a Đường Phù Đổng Thiên Vương, Ấp Ða Thiên, Việt Nam","Tọa lạc ở Ấp Ða Thiên, cách Sân golf Dalat Palace Golf Club 1.8 km và Vườn hoa Đà Lạt 2.4 km, Phương Trinh Hotel cung cấp chỗ nghỉ có quầy bar và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Chỗ nghỉ cách Hồ Xuân Hương khoảng 4.1 km, Công viên Yersin 4.2 km và Quảng trường Lâm Viên 4.3 km. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, mỗi phòng đều có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng đều có ấm đun nước, trong đó một số phòng có sân hiên và một số khác thì nhìn ra thành phố. Các phòng có tủ quần áo.

Phương Trinh Hotel cách Thiền Viện Trúc Lâm 8.8 km và Hồ Tuyền Lâm 8.8 km.",9.5,
https://www.booking.com/hotel/vn/savio-bui-thi-xuan.vi.html,Savio House Bui Thi Xuan,"180 Đường Bùi Thị Xuân, Đà Lạt, Việt Nam","Savio House Bui Thi Xuan nằm ở Đà Lạt, cách Vườn hoa Đà Lạt 1.9 km và Quảng trường Lâm Viên 2.4 km. Ngoài Wi-Fi miễn phí, khách sạn 1 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Đây là chỗ nghỉ không hút thuốc và tọa lạc cách Sân golf Dalat Palace Golf Club 16 phút đi bộ.

Tại khách sạn, tất cả các phòng đều được thiết kế có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Mỗi phòng đều được thiết kế có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Các phòng đều có tủ lạnh.

Savio House Bui Thi Xuan cách Hồ Xuân Hương 2.6 km và Công viên Yersin 2.7 km. Sân bay gần nhất là Sân bay Liên Khương, cách chỗ nghỉ 32 km.",9,1.0
https://www.booking.com/hotel/vn/homestay-bo-cong-anh.vi.html,Homestay BỒ CÔNG ANH,"Xuân An 69c, Đà Lạt, Việt Nam","Nằm cách Quảng trường Lâm Viên 14 phút đi bộ, Homestay BỒ CÔNG ANH cung cấp chỗ nghỉ có khu vườn, phòng chờ chung và bếp chung. WiFi và chỗ đậu xe riêng đều có sẵn tại homestay miễn phí.

Mỗi căn đều có sân hiên nhìn ra thành phố, TV màn hình phẳng truyền hình vệ tinh, bếp tiện nghi, cùng phòng tắm riêng có vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Ngoài ra nơi đây còn có tủ lạnh, bếp và ấm đun nước.

Các điểm tham quan nổi tiếng gần Homestay BỒ CÔNG ANH bao gồm Hồ Xuân Hương, Công viên Yersin và Khách sạn Hằng Nga. Sân bay gần nhất là Sân bay Liên Khương, cách chỗ nghỉ 27 km.",9.1,
https://www.booking.com/hotel/vn/anh-quan-khoi-thanh-pho-da-lat.vi.html,Anh Quan Khoi Hotel,"57 Đường Hồ Tùng Mậu 57, Đà Lạt, Việt Nam","Tọa lạc ở Đà Lạt, cách Hồ Xuân Hương 6 phút đi bộ, Anh Quan Khoi Hotel cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Khách sạn 2 sao này có dịch vụ phòng và dịch vụ tiền sảnh. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng được trang bị TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Mỗi phòng đều có phòng tắm riêng với vòi sen, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Tại khách sạn, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Các điểm tham quan nổi tiếng gần Anh Quan Khoi Hotel bao gồm Công viên Yersin, Quảng trường Lâm Viên và Khách sạn Hằng Nga. Sân bay Liên Khương cách 30 km.",9.5,2.0
