url,name,location,description,point,star
https://www.booking.com/hotel/vn/b.vi.html,Hanoi B Hotel & Travel - 5 mins Hoan Kiem lake,"1065 Hong Ha, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Cung cấp truy cập Wi-Fi miễn phí trong toàn bộ khuôn viên, Hanoi B Hotel & Travel - 5 mins Hoan Kiem lake thuật tiện nằm cách ga tàu Trần Quý Cáp 10 phút lái xe. Khách sạn có bãi đỗ xe miễn phí và các phòng hiện đại nhìn ra thành phố.

Khách sạn cách Lăng Chủ tịch Hồ Chí Minh và Văn Miếu nổi tiếng 15 phút lái xe. Hồ Hoàn Kiếm nổi tiếng và Nhà hát Lớn cách Hanoi B Hotel & Travel - 5 mins Hoan Kiem lake 1 km và Sân bay Quốc tế Nội Bài cách đó 30 km.

Với sàn lát gạch, phòng máy lạnh được trang bị ấm đun nước điện, tủ quần áo, minibar cùng truyền hình cáp màn hình phẳng. Phòng tắm riêng đi kèm vòi sen nước nóng, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Nhân viên lễ tân thân thiện của Hanoi B Hotel & Travel - 5 mins Hoan Kiem lake làm việc 24/24 và hỗ trợ khách với dịch vụ để hành lý, giặt và ủi. Khách có thể đặt vé và sắp xếp việc đi lại cũng như ngắm cảnh ở bàn đặt tour. Trung tâm dịch vụ doanh nhân cũng có sẵn cho khách sử dụng.",7.7,
https://www.booking.com/hotel/vn/st-josephs-cathedra-homestay-ngo-huyen.vi.html,Astoria Hanoi Hotel & Travel,"16 Ngõ Huyện, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Với sân hiên, Astoria Hanoi Hotel & Travel nằm ở trung tâm Hà Nội và cách Nhà thờ Thánh Joseph chỉ vài bước chân. Chỗ nghỉ gần Ga Hà Nội, Tràng Tiền Plaza và Văn Miếu - Quốc Tử Giám. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, máy ATM và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Astoria Hanoi Hotel & Travel, tất cả các phòng đều có ga trải giường và khăn tắm.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, chỗ nghỉ có dịch vụ thuê xe đạp và dịch vụ thuê ô tô.

Các điểm tham quan nổi tiếng gần Astoria Hanoi Hotel & Travel bao gồm Nhà hát múa rối Thăng Long, Hồ Hoàn Kiếm và Ô Quan Chưởng. Sân bay Quốc tế Nội Bài cách 25 km.",10,3.0
https://www.booking.com/hotel/vn/hanoi-bens-apartment-and-pub-2.vi.html,Hanoi Ben's Apartment And Hotel - Pub 2,"1 Ngõ Thi Sách, Quận Hai Bà Trưng, Hà Nội, Việt Nam","Nằm ở Hà Nội và cách Tràng Tiền Plaza 12 phút đi bộ, Hanoi Ben's Apartment And Hotel - Pub 2 cung cấp dịch vụ tiền sảnh, các phòng không gây dị ứng, khu vườn, Wi-Fi miễn phí ở toàn bộ chỗ nghỉ và sân hiên. Với quầy bar, khách sạn nằm gần một số điểm tham quan nổi tiếng, cách Nhà hát Lớn Hà Nội 13 phút đi bộ, Nhà hát múa rối Thăng Long 1.9 km và Nhà thờ Thánh Joseph 1.9 km. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, lò nướng, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Hanoi Ben's Apartment And Hotel - Pub 2, tất cả các phòng có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng đưa ra thông tin hữu ích về khu vực xung quanh.

Chỗ nghỉ cách Ga Hà Nội 1.9 km và Hồ Hoàn Kiếm 19 phút đi bộ. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 26 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9,
https://www.booking.com/hotel/vn/flowergod-penthouse.vi.html,FlowerGod Penthouse,"Ngõ 300 Đường Nguyễn Xiển, Tân Triều, Thanh Xuân, Hà Nội, Việt Nam","Cách Trung tâm thương mại Vincom Nguyễn Chí Thanh 7.2 km và Bảo tàng mỹ thuật Việt Nam 8.3 km ở Hà Nội, FlowerGod Penthouse cung cấp chỗ nghỉ có TV màn hình phẳng. Wi-Fi miễn phí có sẵn ở toàn bộ chỗ nghỉ và chỗ đậu xe riêng có sẵn trong khuôn viên.

Các căn có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, tủ lạnh, ấm đun nước và máy rửa bát.

Căn hộ cách Văn Miếu - Quốc Tử Giám 8.3 km và Lăng Chủ tịch Hồ Chí Minh 8.9 km.",,4.0
https://www.booking.com/hotel/vn/the-quarter-apartment-3.vi.html,The Garden House,"9/29 Đường Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội, Việt Nam","Tọa lạc ở Hà Nội, cách Trung tâm thương mại Vincom Nguyễn Chí Thanh chưa đến 1 km và Bảo tàng dân tộc học Việt Nam 2.4 km, The Garden House cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa và khu vườn với sân hiên.

Tất cả các căn đều có TV màn hình phẳng, phòng tắm riêng, cùng bếp đầy đủ tiện nghi.

Căn hộ cách Bảo tàng mỹ thuật Việt Nam 2.9 km và Văn Miếu - Quốc Tử Giám 3 km.",9.6,3.0
https://www.booking.com/hotel/vn/an-home-west-lake-hanoi.vi.html,WestLake Hanoi An Homestay,"44a Xóm Chùa, Quận Tây Hồ, Hà Nội, Việt Nam","WestLake Hanoi An Homestay là chỗ nghỉ có sân hiên nằm ở Hà Nội, cách Đền Quán Thánh 4.7 km, Lăng Chủ tịch Hồ Chí Minh 4.8 km và Ô Quan Chưởng 5.1 km. Chỗ nghỉ điều hòa này cách Hồ Tây 3.5 km, khách có thể sử dụng chỗ đậu xe riêng có sẵn trong khuôn viên và Wi-Fi miễn phí.

Khăn tắm và ga trải giường có sẵn ở homestay.

Homestay cách Hoàng thành Huế 5.6 km và Chùa Một Cột 5.7 km.",,
https://www.booking.com/hotel/vn/boms-house-hoan-kiem.vi.html,Bom's House,"13 Ngõ Hội Vũ, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Tọa lạc ở Hà Nội, cách Ga Hà Nội chưa đến 1 km và trung tâm 900 m, Bom's House cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí và sân hiên.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Các điểm tham quan nổi tiếng gần homestay bao gồm Văn Miếu - Quốc Tử Giám, Hoàng thành Huế và Nhà thờ Thánh Joseph. Sân bay Quốc tế Nội Bài cách 24 km.",8.4,
https://www.booking.com/hotel/vn/jiga-house.vi.html,FlowerGod Riverside,"41 Phố Tương Mai, Hà Nội, Việt Nam","Nằm ở Hà Nội thuộc Hà Nội, FlowerGod Riverside cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các căn có phòng tắm chung, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Căn hộ cách Tràng Tiền Plaza 4.4 km và Nhà hát Lớn Hà Nội 5.2 km.",9.4,3.0
https://www.booking.com/hotel/vn/hanz-hanoi-de-maison-grand-hanoi.vi.html,Serene Central Hotel,"106 Hàng Bông, Hoàn Kiếm, Hanoi, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Nằm tại vị trí thuận tiện ở Quận Hoàn Kiếm, Hà Nội, Serene Central Hotel nằm cách Văn Miếu - Quốc Tử Giám 16 phút đi bộ, Nhà thờ Thánh Joseph 400 m và Hoàng thành Huế 14 phút đi bộ. Ngoài Wi-Fi miễn phí, khách sạn 4 sao này còn cung cấp bàn bán tour và phòng giữ hành lý. Chỗ nghỉ này cách Ga Hà Nội chưa đến 1 km và trung tâm thành phố 800 m.

Tại khách sạn, các phòng đều đi kèm với tủ quần áo. Với phòng tắm riêng được trang bị đồ vệ sinh cá nhân miễn phí, các căn tại Serene Central Hotel có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tất cả các phòng đều có bàn làm việc và ấm đun nước để khách sử dụng.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu lục địa hoặc kiểu Mỹ tại chỗ nghỉ.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bảo tàng mỹ thuật Việt Nam, Tràng Tiền Plaza và Ô Quan Chưởng. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 24 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.8,4.0
https://www.booking.com/hotel/vn/areca-homestay-tay-ho.vi.html,Areca's Homestay Tây Hồ,"31 Đường Xuân Diệu, Quận Tây Hồ, Hà Nội, Việt Nam","Cách Hồ Tây 2.4 km, Areca's Homestay Tây Hồ có khu vườn, phòng chờ chung, điều hòa, sân hiên và Wi-Fi miễn phí.

Nhà nghỉ B&B có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, máy sấy tóc và vòi sen. Tủ lạnh, lò nướng và lò vi sóng, cũng như ấm đun nước đều được cung cấp.

Areca's Homestay Tây Hồ cách Đền Quán Thánh 3.5 km và Lăng Chủ tịch Hồ Chí Minh 3.7 km.",7.7,
https://www.booking.com/hotel/vn/lahomestay-hang-dau.vi.html,LaHomestay Hàng Đậu,"44 Hàng Đậu, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Với sân hiên và Wi-Fi miễn phí, LaHomestay Hàng Đậu tọa lạc ở trung tâm Hà Nội, gần Ô Quan Chưởng, Đền Quán Thánh và Nhà thờ Thánh Joseph.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh và ấm đun nước đều được cung cấp.

Các điểm tham quan nổi tiếng gần căn hộ bao gồm Nhà hát múa rối Thăng Long, Hồ Hoàn Kiếm và Hoàng thành Huế. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 23 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.8,4.0
https://www.booking.com/hotel/vn/hanoi-la-charm-amp-spa.vi.html,Hanoi La Charm Hotel & Spa,"18A Phố Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Tọa lạc ở trung tâm Hà Nội, Hanoi La Charm Hotel & Spa nằm cách Ô Quan Chưởng chỉ vài bước chân và Nhà hát múa rối Thăng Long 8 phút đi bộ. Khách sạn 3 sao này có dịch vụ tiền sảnh và bàn bán tour. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Hanoi La Charm Hotel & Spa, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu lục địa.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Hồ Hoàn Kiếm, Tràng Tiền Plaza và Đền Quán Thánh. Sân bay Quốc tế Nội Bài cách 24 km.",9.1,3.0
https://www.booking.com/hotel/vn/may-rooftop-sky-view-hh-ha-noi.vi.html,May - ROOFTOP SKY VIEW HH,"11 Ngõ Xóm Hạ Hồi, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Nằm ở ngay trung tâm Hà Nội, May - ROOFTOP SKY VIEW HH cung cấp chỗ nghỉ nhìn ra thành phố, chỉ cách Nhà thờ Thánh Joseph 12 phút đi bộ và Ga Hà Nội chưa đến 1 km. Chỗ nghỉ điều hòa này cách Tràng Tiền Plaza chưa đến 1 km, khách có thể sử dụng chỗ đậu xe riêng có sẵn trong khuôn viên và Wi-Fi miễn phí.

Homestay có TV màn hình phẳng. Khăn tắm và ga trải giường có sẵn ở homestay.

Các điểm tham quan nổi tiếng gần homestay bao gồm Nhà hát Lớn Hà Nội, Nhà hát múa rối Thăng Long và Bảo tàng mỹ thuật Việt Nam. Sân bay Quốc tế Nội Bài cách 25 km.","9,3",
https://www.booking.com/hotel/vn/the-shilla-apartment.vi.html,The Shilla Apartment,"Số 10 Ngõ 258 Phố Vũ Miên, Yên Phụ, Tây Hồ, Hà Nội, Quận Tây Hồ, Hà Nội, Việt Nam","Cách Hồ Tây chưa đến 1 km, The Shilla Apartment có sân hiên, ban công và Wi-Fi miễn phí.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh và bếp, cũng như ấm đun nước đều được cung cấp.

Căn hộ cách Đền Quán Thánh 17 phút đi bộ. Sân bay Quốc tế Nội Bài cách 21 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.2,3.0
https://www.booking.com/hotel/vn/blackpink-apartments.vi.html,BlackPink HomeStay,"15 Phố Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội, Việt Nam","BlackPink HomeStay tọa lạc ở quận Quận Hai Bà Trưng thuộc Hà Nội, cách Tràng Tiền Plaza 2.6 km và Nhà hát Lớn Hà Nội 3.2 km. Wi-Fi miễn phí được cung cấp ở toàn bộ chỗ nghỉ.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Căn hộ cách Nhà thờ Thánh Joseph 3.3 km và Nhà hát múa rối Thăng Long 3.4 km.",9.5,3.0
https://www.booking.com/hotel/vn/hana-thien-phu-hanoi.vi.html,Thien Phu Garden Hotel,"No.8 Alley 22 Phu Vien, Bo De, Long Bien Hanoi, Quận Long Biên, Hà Nội, Việt Nam","Nhìn ra khu vườn, Thien Phu Garden Hotel nằm ở Hà Nội và có nhà hàng, bếp chung, bar thức ăn nhẹ, khu vườn, sân hiên cũng như sân chơi trẻ em. WiFi và chỗ đậu xe riêng đều có sẵn tại căn hộ miễn phí.

Được thiết kế với sân trong, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Tủ lạnh, lò vi sóng và bếp, cũng như ấm đun nước đều được cung cấp.

Khách tại Thien Phu Garden Hotel có thể thưởng thức bữa sáng kiểu Á.

Chỗ nghỉ này có phòng chờ chung, ngoài ra khách có thể đi xe đạp gần đó.

Chỗ nghỉ cách Nhà hát múa rối Thăng Long 3.4 km và Ô Quan Chưởng 3.6 km. Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 25 km và cung cấp dịch vụ đưa đón sân bay mất phí.",7.4,3.0
https://www.booking.com/hotel/vn/la-renta-premier-amp-spa.vi.html,La Renta Premier Hotel & Spa Hanoi,"23E Bat Dan, Quận Hoàn Kiếm, Hà Nội, Việt Nam","Với phòng chờ chung, sân hiên và nhà hàng, La Renta Premier Hotel & Spa Hanoi tọa lạc ở trung tâm Hà Nội, cách Ô Quan Chưởng 9 phút đi bộ. Khách sạn 4 sao này có dịch vụ tiền sảnh và bàn bán tour. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Các phòng có tủ quần áo.

Khách tại La Renta Premier Hotel & Spa Hanoi có thể thưởng thức bữa sáng thực đơn à la carte.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Nhà thờ Thánh Joseph, Nhà hát múa rối Thăng Long và Hồ Hoàn Kiếm. Sân bay Quốc tế Nội Bài cách 24 km.",8.3,4.0
