url,name,location,description,point,star
https://www.booking.com/hotel/vn/muong-thanh-nha-trang-apartment-review-nha-trang.vi.html,Oceanus MT Vien Trieu Thai Ha Hotel & Apartment,"03 Phạm Văn Đồng, Nha Trang, Việt Nam","Với Bãi biển Hòn Chồng nằm cách đó chỉ vài bước chân, Oceanus MT Vien Trieu Thai Ha Hotel & Apartment cung cấp chỗ nghỉ, nhà hàng, khu vực bãi biển riêng, sân hiên và quầy bar. Chỗ nghỉ có WiFi miễn phí ở toàn bộ chỗ nghỉ và chỗ đậu xe riêng có sẵn trong khuôn viên.

Một số căn có TV màn hình phẳng truyền hình vệ tinh, bếp đầy đủ tiện nghi với tủ lạnh, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí.

Khách tại căn hộ có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Oceanus MT Vien Trieu Thai Ha Hotel & Apartment có sân chơi trẻ em.

Sau một ngày leo núi, trượt tuyết hoặc đi xe đạp, khách có thể thư giãn trong khu vườn hoặc khu vực phòng chờ chung.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bãi biển Ba Làng, Hòn Chồng và Tháp Bà Ponagar. Chỗ nghỉ cách Sân bay quốc tế Cam Ranh 39 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.7,3.0
https://www.booking.com/hotel/vn/apus.vi.html,Apus Hotel,"95/9 Hung Vuong Street, Loc Tho Ward, Nha Trang, Việt Nam","Tọa lạc tại thành phố Nha Trang, cách Trung tâm Thuyền buồm Việt Nam 200 m, Apus Hotel cung cấp chỗ ở thoải mái và có hồ bơi ngoài trời cũng như nhà hàng. Khách sạn cung cấp Wi-Fi miễn phí trong toàn bộ tòa nhà, đồng thời có quầy lễ tân 24 giờ.

Các phòng máy lạnh được bài trí trang nhã tại đây có TV truyền hình cáp, két an toàn (trong phòng), ấm đung nước điện và minibar. Các phòng tắm riêng đi kèm bồn tắm hoặc tiện nghi vòi sen, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Các phòng cho tầm nhìn ra quang cảnh thành phố.

Tại Apus Hotel, nhân viên thân thiện có thể hỗ trợ khách với dịch vụ thu đổi ngoại tệ, dịch vụ giặt là và sắp xếp tour du lịch. Khách sạn cũng có tiện nghi phục vụ doanh nhân trong khi dịch vụ đưa đón sân bay có thể được cung cấp với một khoản phụ phí.

Chỗ nghỉ này nằm trong bán kính 200 m từ CLB Thuyền buồm trong khi Bãi biển Nha Trang cách đó chỉ 300 m.",8.4,4.0
https://www.booking.com/hotel/vn/the-summer.vi.html,The Summer Hotel,"34 C-D Nguyen Thien Thuat, Nha Trang, Việt Nam","Centrally located in Nha Trang, Summer Hotel has a rooftop terrace and an outdoor pool offers with beautiful views of the coastal city. It features comfortable rooms with free Wi-Fi.

Hotel Summer is a 3-minute walk from Nha Trang beach and the shopping area. Cam Ranh Airport is a 35-minute drive away.

The Summer Hotel offers rooms with private bathrooms. They have flat-screen cable TV, a minibar, safety deposit box, and a work desk. Select rooms have great views of the ocean.

Guests can enjoy views of the city from the rooftop swimming pool.

Summer Hotel has a restaurant which offers 24-hour room service. Other services at the hotel include airport shuttle, laundry and currency exchange services. Guests can also rent cars at an additional cost.",8.9,4.0
https://www.booking.com/hotel/vn/lucky-sun.vi.html,Lucky Sun Hotel Nha Trang Beach,"100/8B Trần Phú, Phường Lộc Thọ, Nha Trang, Việt Nam","Nằm ở Nha Trang, cách Bãi biển Nha Trang 13 phút đi bộ, Lucky Sun Hotel Nha Trang Beach cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Mỗi phòng tại khách sạn 4 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng nhà hàng và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Tại khách sạn, các phòng đều đi kèm với điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Lucky Sun Hotel Nha Trang Beach, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet, kiểu lục địa hoặc kiểu Á mỗi buổi sáng.

Chỗ nghỉ có hồ bơi trong nhà.

Lucky Sun Hotel Nha Trang Beach cách Tháp Trầm Hương 1.9 km và Viện Hải dương học 2.9 km.",8.7,4.0
https://www.booking.com/hotel/vn/volga-nha-trang.vi.html,Putin Nha Trang Hotel,"Bãi Dương 6B, Nha Trang, Việt Nam","Với hồ bơi ngoài trời, phòng chờ chung, sân hiên và Wi-Fi miễn phí, Putin Nha Trang Hotel nằm ở Nha Trang, cách Bãi biển Hòn Chồng 2 phút đi bộ và Bãi biển Ba Làng 800 m. Chỗ nghỉ cách Bãi biển Nha Trang khoảng 2.9 km, Hòn Chồng chưa đến 1 km và Tháp Bà Ponagar 2 km. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, tất cả các phòng có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tất cả các phòng đều được thiết kế có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Putin Nha Trang Hotel, các phòng đều đi kèm với ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa cho bữa sáng. Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực châu Phi, Mỹ và Argentina. Bên cạnh đó, họ có thể yêu cầu món chay, không chứa sữa và đồ ăn Halal.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Putin Nha Trang Hotel có dịch vụ thuê xe đạp và dịch vụ thuê ô tô.

Khách sạn cách Bảo tàng Khánh Hòa 3.5 km và Trung tâm du lịch Suối khoáng nóng Tháp Bà 3.5 km. Chỗ nghỉ cách Sân bay quốc tế Cam Ranh 40 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.1,4.0
https://www.booking.com/hotel/vn/ha-thu.vi.html,Azura Gold Hotel & Apartment,"64/2 Tran Phu Street, Loc Tho Ward, Nha Trang, Việt Nam","Nằm cách Bãi biển Nha Trang chưa đầy 100 m, Azura Gold Hotel & Apartment cung cấp phòng nghỉ nhìn ra biển. Chỗ nghỉ này có bàn đặt tour, lễ tân 24 giờ và WiFi miễn phí.

Trung tâm Thuyền buồm Việt Nam và Quảng trường chính đều nằm trong bán kính 200 m từ khách sạn. Sân bay Nha Trang cách đó 26 km.

Phòng nghỉ tại đây có TV truyền hình cáp, minibar và phòng tắm riêng với tiện nghi vòi sen cùng đồ vệ sinh cá nhân. Một số phòng được trang bị bồn tắm.

Du khách có thể được hỗ trợ với các dịch vụ giữ hành lý, giặt, ủi và cho thuê phương tiện đi lại. Dịch vụ đưa đón sân bay cũng được cung cấp.",9.3,4.0
https://www.booking.com/hotel/vn/pavillon-boutique-amp-apartment-nha-trang.vi.html,Pavillon Boutique Hotel & Apartment Nha Trang,"100/10B Tran Phu Street, Loc Tho Ward, Nha Trang, Việt Nam","Pavillon Boutique Hotel & Apartment Nha Trang nằm giáp biển ở Nha Trang, cách Bãi biển Nha Trang 14 phút đi bộ và Tháp Trầm Hương 1.9 km. Ngoài Wi-Fi miễn phí, khách sạn 4 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Khách sạn cung cấp bể sục và dịch vụ tiền sảnh.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có tủ quần áo, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng có bếp nhỏ với lò vi sóng. Tại Pavillon Boutique Hotel & Apartment Nha Trang, các phòng đều đi kèm với khu vực ghế ngồi.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa cho bữa sáng.

Chỗ nghỉ cách Viện Hải dương học 2.9 km và Bảo tàng Alexandre Yersin 2.9 km.",8.9,4.0
https://www.booking.com/hotel/vn/meriton.vi.html,Meriton Hotel Nha Trang,"98A/7 Tran Phu Street, Loc Tho Ward, Nha Trang, Việt Nam","Nằm trong bán kính 30 m từ Bãi biển Nha Trang, khách sạn Meriton Hotel Nha Trang ở thành phố Nha Trang này có tầm nhìn ra toàn cảnh từ quán sky pool bar. Du khách có thể dùng bữa tại nhà hàng ngay trong khuôn viên.

Mỗi phòng nghỉ theo phong cách hiện đại tại khách sạn này đều có khu vực tiếp khách, TV màn hình phẳng với các kênh truyền hình cáp và phòng tắm riêng. Một số phòng nhìn ra quang cảnh bãi biển, thành phố hoặc núi non.

Lễ tân 24 giờ cung cấp rất nhiều dịch vụ trong đó có dịch vụ thu đổi ngoại tệ, sắp xếp tour du lịch, đặt vé cũng như trợ giúp đặc biệt. Khách sạn còn có cửa hàng quà tặng và cho thuê xe đạp.

Meriton Hotel Nha Trang nằm trong bán kính 300 m từ CLB Thuyền buồm và 700 m từ Chợ Đầm. Sân bay gần nhất là Sân bay Quốc tế Cam Ranh, cách khách sạn 35 km.",8,4.0
https://www.booking.com/hotel/vn/prime.vi.html,Prime New Hotel,"22 Ton Dan, Nha Trang, Việt Nam","Cách bãi biển Nha Trang vài phút tản bộ, Prime New Hotel là 1 tòa nhà ốp kính có tầm nhìn ra quang cảnh đại dương. Bữa sáng, dịch vụ đưa đón sân bay và Wi-Fi miễn phí có sẵn tại khách sạn.

Prime New Hotel cung cấp các phòng nghỉ tràn ngập ánh sáng tự nhiên. Các phòng được trang bị máy lạnh, truyền hình cáp, máy sấy tóc và minibar.

Hotel Prime có bàn đặt tour chuyên tổ chức các chuyến đi trong ngày. Dịch vụ cho thuê xe đạp và xe hơi cũng được cung cấp để tạo sự thuận tiện cho khách.

Các dịch vụ khác tại khách sạn bao gồm lễ tân 24 giờ, tiện nghi để hành lý và dịch vụ phòng. Quý khách cũng có thể yêu cầu khách sạn cung cấp báo.

Ẩm thực Châu Á và Châu Âu được chế biến ngay trước mặt khách. Quý khách cũng có thể yêu cầu các món ăn truyền thống của Việt Nam. Quý khách sẽ tìm thấy tuyển chọn các loại cocktail và rượu vang đa dạng tại quầy bar.",8,4.0
https://www.booking.com/hotel/vn/t-apartment-ocean-view-family-3-bedrooms-nha-trang.vi.html,Oceanus Oasis Retreat - Nha Trang Apartment,"3 Phạm Văn Đồng, Nha Trang, Việt Nam","Với Bãi biển Hòn Chồng nằm cách đó chỉ vài bước chân, Oceanus Oasis Retreat - Nha Trang Apartment cung cấp chỗ nghỉ, nhà hàng, khu vườn, khu vực bãi biển riêng và phòng chờ chung. Wi-Fi miễn phí có sẵn ở toàn bộ chỗ nghỉ và chỗ đậu xe riêng có sẵn trong khuôn viên.

Căn hộ có ban công, khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn kiểu lục địa, kiểu Ý và kiểu Mỹ.

Chỗ nghỉ này có sân hiên và sân chơi trẻ em, ngoài ra khách có thể leo núi và câu cá gần đó.

Các điểm tham quan nổi tiếng gần Oceanus Oasis Retreat - Nha Trang Apartment bao gồm Bãi biển Ba Làng, Hòn Chồng và Tháp Bà Ponagar. Sân bay quốc tế Cam Ranh cách 39 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",7.6,3.0
https://www.booking.com/hotel/vn/sochi.vi.html,Sochi Hotel Nha Trang Beach,"96B/5/9 Tran Phu, Loc Tho ward, Nha Trang, Nha Trang, Việt Nam","Sochi Hotel Nha Trang Beach Nha Trang Beach offers contemporary rooms in Nha Trang, 500 metres from Sailing Club. The hotel features an outdoor swimming pool, a poolside bar, and an on-site restaurant. Guests can enjoy free WiFi access.

All rooms are air-conditioned and fitted with a flat-screen TV. Private bathroom comes with free toiletries.

A business centre and vending machines with drinks are available on site at the accommodation. Speaking English, Russian and Chinese, staff will be happy to provide guests with practical guidance on the area at the 24-hour front desk.

Tram Huong Tower is an 15-minute walk from Sochi Hotel Nha Trang Beach Nha Trang Beach. The nearest airport is Cam Ranh International Airport, 24 km from the property.

Sochi Hotel Nha Trang Beach Nha Trang Beach Restaurant serves buffet breakfast every morning, as well as a range of European and Asian dishes for lunch and dinner.",8,4.0
