url,name,location,description,point,star
https://www.booking.com/hotel/vn/chang-coffee-amp-homestay-kon-tum.vi.html,Chang coffee & Homestay Kon Tum,"51 Nguyễn Viết Xuân, Kon Tum, Việt Nam","Tọa lạc ở Kon Tum, cách Bishop's House of Kontum chưa đến 1 km và Pleiku Stadium 49 km, Chang coffee & Homestay Kon Tum cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa, phòng chờ chung và sân hiên.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Sân bay Pleiku cách 46 km.",9.7,
https://www.booking.com/hotel/vn/hotelwindow2.vi.html,Window 2 Hotel,"131 Thi Sách, Phường Thắng Lợi, Thành Phố Kon Tum, Tỉnh Kon Tum, Kon Tum, Việt Nam","Nằm ở thành phố Kon Tum, Window 2 Hotel có khu vườn và sân hiên. Khách sạn 2 sao này cung cấp Wi-Fi miễn phí và quầy lễ tân 24 giờ.",8.3,2.0
https://www.booking.com/hotel/vn/yo-inn-thanh-pho-kon-tum.vi.html,Y.O Inn,"16A Nguyễn Trãi , Kon Tum, Việt Nam","Tọa lạc ở Kon Tum, cách Bishop's House of Kontum chưa đến 1 km và Pleiku Stadium 47 km, Y.O Inn cung cấp chỗ nghỉ có khu vườn và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Tất cả các phòng có ban công nhìn ra khu vườn.

Tại khách sạn, tất cả các phòng đều có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view thành phố. Tất cả các căn có tủ quần áo.

Sân bay gần nhất là Sân bay Pleiku, cách Y.O Inn 44 km.",9.3,
https://www.booking.com/hotel/vn/khach-san-xa-nu.vi.html,Khách sạn Xà Nu,"370 Trần Hưng Đạo, Kon Tum, Việt Nam","Tọa lạc cách Bishop's House of Kontum 17 phút đi bộ và Pleiku Stadium 47 km, Khách sạn Xà Nu cung cấp các phòng ở Kon Tum. Khách sạn 3 sao này có bếp chung và dịch vụ phòng. Ở đây có nhà hàng phục vụ món ăn Việt và chỗ đậu xe riêng miễn phí.

Khách sạn có sân hiên phơi nắng.

Lễ tân tại Khách sạn Xà Nu có thể tư vấn cho khách về khu vực xung quanh.

Chỗ nghỉ cách Sân bay Pleiku 43 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.3,3.0
https://www.booking.com/hotel/vn/khach-san-hung-viet-mang-den-kon-tum.vi.html,Khách sạn Hưng Việt (Măng Đen),"Số 196 Phạm Văn Đồng, Măng Đen, Konplong, Kon Tum, Kon Tum, Việt Nam","Khách sạn Hưng Việt (Măng Đen) cung cấp chỗ nghỉ tại Kon Tum. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí. Khách sạn có phòng gia đình.

Tất cả các căn đi kèm điều hòa, tủ lạnh, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các căn có phòng tắm riêng, máy sấy tóc và ga trải giường.

Sân bay Pleiku cách 98 km.",8,
https://www.booking.com/hotel/vn/bong-villa-amp-apartment.vi.html,Bông Villa Hotel & Apartment,"41 Âu Cơ 41 Âu Cơ, Kon Tum, Việt Nam","Bông Villa Hotel & Apartment có trung tâm thể dục, sân hiên, nhà hàng và quầy bar ở Kon Tum. Chỗ nghỉ này cung cấp phòng xông hơi khô, Wi-Fi miễn phí và dịch vụ phòng.

Tất cả các căn ở khách sạn được trang bị ấm đun nước. Tất cả các phòng đều có điều hòa và TV màn hình phẳng, ngoài ra một số căn tại Bông Villa Hotel & Apartment có ban công.

Đội ngũ nhân viên của chỗ nghỉ luôn túc trực tại lễ tân 24/24 để cung cấp thông tin cho du khách.

Bông Villa Hotel & Apartment cách Bishop's House of Kontum 3.3 km và Pleiku Stadium 49 km. Sân bay gần nhất là Sân bay Pleiku, cách khách sạn 45 km.",8,
https://www.booking.com/hotel/vn/khach-san-hoi-an-kon-tum.vi.html,Khách sạn Hội An - Kon Tum,"734 ( số cũ 113) Phan Đình Phùng, Phường Quang Trung, Thành phố Kon Tum, tỉnh Kon Tum 734 ( số cũ 113) Phan Đình Phùng, Phường Quang Trung, Thành phố Kon Tum, tỉnh Kon Tum, Kon Tum, Việt Nam","Nằm ở Kon Tum, cách Bishop's House of Kontum 6.3 km, Khách sạn Hội An - Kon Tum cung cấp chỗ nghỉ có phòng chờ chung và chỗ đậu xe riêng miễn phí. Khách sạn 1 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Mỗi phòng đều có ban công.

Các căn ở khách sạn được trang bị TV màn hình phẳng có truyền hình vệ tinh. Tại Khách sạn Hội An - Kon Tum, tất cả các phòng có ga trải giường và khăn tắm.

Chỗ nghỉ có sân hiên phơi nắng.

Sân bay gần nhất là Sân bay Pleiku, cách Khách sạn Hội An - Kon Tum 48 km.",7.7,1.0
https://www.booking.com/hotel/vn/windowhomestay.vi.html,Window Homestay,"133 Thi Sách, Phường Thắng Lợi, Kon Tum, Việt Nam","Với hồ bơi, khu vườn, sân hiên và nhìn ra hồ bơi, Window Homestay tọa lạc ở Kon Tum cung cấp chỗ nghỉ có Wi-Fi miễn phí.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh. Minibar và ấm đun nước đều được cung cấp.

Khách sạn căn hộ có dịch vụ cho thuê ô tô.

Window Homestay cách Bishop's House of Kontum 8 phút đi bộ và Pleiku Stadium 49 km. Sân bay gần nhất là Sân bay Pleiku, cách chỗ nghỉ 46 km.",8.5,3.0
https://www.booking.com/hotel/vn/la-maison-homestay-mang-den.vi.html,La Maison Homestay Măng Đen,"31 Du Lịch Số 1 31 Đường Du Lịch số 1, Thôn Măng Đen, Xã Đắk Long, Huyện Kon Plong, Tỉnh Kon Tum, Kon Tum, Việt Nam","Nhìn ra khu vườn, La Maison Homestay Măng Đen ở Kon Tum cung cấp chỗ nghỉ có khu vườn, phòng chờ chung, sân hiên và quầy bar. WiFi và chỗ đậu xe riêng đều có sẵn tại homestay miễn phí.

Tất cả các căn có thiết kế gồm sân trong, bếp với tủ lạnh và lò nướng, cùng phòng tắm riêng có trang bị vòi xịt/chậu rửa vệ sinh. Minibar và bếp, cũng như ấm đun nước đều được cung cấp.

La Maison Homestay Măng Đen có dịch vụ cho thuê xe đạp, đồng thời du khách có thể đi xe đạp gần đó.

Sân bay Pleiku cách 99 km.",8.6,
https://www.booking.com/hotel/vn/kontum-home-sweet-homestay.vi.html,Kontum Home Sweet Homestay,"Kon Tu II village Dakbla commune, Kon Tum, Việt Nam","Nằm ở Kon Tum, Kontum Home Sweet Homestay cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm xe đạp miễn phí, khu vườn và phòng chờ chung.

Tại đây có phòng tắm chung đầy đủ tiện nghi với vòi xịt/chậu rửa vệ sinh và dép đi trong phòng.

Khuôn viên của homestay có sân hiên và du khách có thể đi xe đạp ở khu vực gần đó.

Kontum Home Sweet Homestay cách Bishop's House of Kontum 5.1 km. Sân bay gần nhất là Sân bay Pleiku, cách chỗ nghỉ 52 km.",9.4,
