url,name,location,description,point,star
https://www.booking.com/hotel/vn/nha-nghi-bao-ngoc-dong-xoai.vi.html,Nhà Nghỉ Bảo Ngọc,"329 Lê Quý Đôn, Dồng Xoài, Việt Nam","Nhà Nghỉ Bảo Ngọc tọa lạc ở Dồng Xoài. Ngoài khu vườn, khách sạn 4 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại khách sạn, mỗi phòng đều được thiết kế có tủ quần áo và TV màn hình phẳng. Tại Nhà Nghỉ Bảo Ngọc, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có sân hiên phơi nắng.

Đội ngũ nhân viên của Nhà Nghỉ Bảo Ngọc luôn túc trực tại lễ tân 24/24 để cung cấp hướng dẫn cho du khách.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách khách sạn 96 km.",8.4,4.0
https://www.booking.com/hotel/vn/nha-nghi-quoc-khanh-dong-xoai.vi.html,Nhà nghỉ Quốc Khánh,"198 Quốc lộ 14, Dồng Xoài, Việt Nam","Nhà nghỉ Quốc Khánh có khu vườn và nằm ở Dồng Xoài, Bình Phước. Nhà nghỉ B&B cung cấp chỗ đậu xe riêng miễn phí, quầy lễ tân 24 giờ và Wi-Fi miễn phí.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách nhà nghỉ B&B 97 km.",9.5,
https://www.booking.com/hotel/vn/thanh-binh-binh-long.vi.html,"THANH BÌNH HOTEL, Bình Long","Lô G06 Nguyễn Bỉnh Khiêm, Phường Hưng Chiến, thị xã Bình Long, tỉnh Bình Phước, Binh Long, Việt Nam","THANH BÌNH HOTEL, Bình Long nằm ở Binh Long và có quầy bar. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có sân hiên. Tất cả các căn đều có tủ quần áo và ấm đun nước để khách sử dụng.

Sân bay Quốc tế Tân Sơn Nhất cách 101 km.",7.9,
https://www.booking.com/hotel/vn/nha-nghi-doan-gia-dong-xoai1.vi.html,Nhà Nghỉ Đoàn Gia,"1330 Phú Riềng Đỏ, Dồng Xoài, Việt Nam","Nhà Nghỉ Đoàn Gia tọa lạc ở Dồng Xoài. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại motel cũng có Wi-Fi miễn phí. Phòng khách tại Nhà Nghỉ Đoàn Gia có điều hòa và bàn làm việc.

Sân bay Quốc tế Tân Sơn Nhất cách 98 km.",7.7,
https://www.booking.com/hotel/vn/an-loc-amp-spa.vi.html,An Loc Hotel & Spa,"National Highway 13, Hung Chien Ward, Binh Long, Việt Nam","An Loc Hotel & Spa có trung tâm thể dục, khu vườn, phòng chờ chung và nhà hàng ở Binh Long. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Khách có thể sử dụng quầy bar.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tất cả các căn có phòng tắm riêng, máy sấy tóc và ga trải giường.

Sân bay Quốc tế Tân Sơn Nhất cách 101 km.",7.9,3.0
https://www.booking.com/hotel/vn/stylish-tan-khai.vi.html,Hotel Stylish Tân Khai,"Đông tây 1, Hớn Quản, Việt Nam","Hotel Stylish Tân Khai cung cấp quầy bar và tọa lạc ở Hớn Quản. Ngoài sân hiên, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Khách sạn có hồ bơi ngoài trời, bể sục, hoạt động giải trí vào buổi tối và dịch vụ phòng.

Tất cả các phòng có tủ quần áo và TV màn hình phẳng, ngoài ra một số căn tại khách sạn có ban công. Tại Hotel Stylish Tân Khai, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt, ngoài ra khách có thể yêu cầu thông tin về khu vực xung quanh khi có nhu cầu.

Sân bay Quốc tế Tân Sơn Nhất cách 94 km.",6.4,3.0
https://www.booking.com/hotel/vn/nha-nghi-doan-gia-dong-xoai.vi.html,Nhà nghỉ Đoàn Gia,"1350 Phú Riềng Đỏ, Dồng Xoài, Việt Nam","Nhà nghỉ Đoàn Gia cung cấp chỗ nghỉ tại Dồng Xoài. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tất cả các phòng ở motel được trang bị ấm đun nước. Các căn tại Nhà nghỉ Đoàn Gia có điều hòa và bàn làm việc.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 98 km.",7.3,
https://www.booking.com/hotel/vn/nha-nghi-ba-khiem-nha-nghi-khang-phuong.vi.html,nhà nghỉ ba khiêm - nhà nghỉ khang phương,"Quốc lộ 13 tổ 4 khu phố 3b, Chơn Thành, Việt Nam","Nhà nghỉ ba khiêm - nhà nghỉ khang phương tọa lạc ở Chơn Thành và có sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Khách sạn có phòng gia đình.

Tại khách sạn, các phòng được thiết kế có bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, phòng khách tại nhà nghỉ ba khiêm - nhà nghỉ khang phương có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, phòng nào cũng có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách nhà nghỉ ba khiêm - nhà nghỉ khang phương 76 km.",,
https://www.booking.com/hotel/vn/nha-nghi-39k.vi.html,Nhà nghỉ 39k,"1475 Phú Riềng Đỏ, Dồng Xoài, Việt Nam","Nhà nghỉ 39k nằm ở Dồng Xoài. Chỗ nghỉ này có ban công, chỗ đậu xe riêng miễn phí và Wi-Fi miễn phí.

Khăn tắm và ga trải giường có sẵn ở nhà nghỉ B&B.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách nhà nghỉ B&B 98 km.",,
https://www.booking.com/hotel/vn/nha-nghi-minh-thao-chon-thanh.vi.html,Nhà Nghỉ Minh Thảo,"8 Đường tỉnh 751, Chơn Thành, Việt Nam","Nhà Nghỉ Minh Thảo nằm ở Chơn Thành và có khu vườn. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Phòng tắm riêng được trang bị vòi sen, máy sấy tóc và dép đi trong phòng. Tại khách sạn, các phòng đều đi kèm với ga trải giường và khăn tắm.

Nhà Nghỉ Minh Thảo có phục vụ bữa sáng kiểu Á mỗi buổi sáng.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 70 km.",,
