url,name,location,description,point,star
https://www.booking.com/hotel/vn/the-hill-villas-phong-nha-cave.vi.html,The Hillside Homes,"Xuan Son, Phong Nha Town, Bo Trach, Phong Nha, Việt Nam","The Hillside Homes có hồ bơi ngoài trời theo mùa, khu vườn, sân hiên và nhà hàng ở Phong Nha. Ngoài dịch vụ phòng, chỗ nghỉ này còn có BBQ. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, các phòng được thiết kế có ban công với view núi. Phòng tắm riêng được trang bị vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Các căn tại The Hillside Homes có điều hòa và bàn làm việc.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Sân bay Đồng Hới cách 39 km.",9.2,
https://www.booking.com/hotel/vn/suon-doi-homestay.vi.html,Hillside View Bungalow Homestay,"Xuan Son village, Phong Nha, Việt Nam","Nhìn ra thành phố, Hillside View Bungalow Homestay tọa lạc ở Phong Nha và có nhà hàng, bếp chung, quầy bar, khu vườn, hồ bơi ngoài trời mở quanh năm cũng như sân hiên. Homestay có WiFi và chỗ đậu xe riêng miễn phí.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte, kiểu lục địa hoặc kiểu Anh/ Ai-len hằng ngày.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.

Sân bay Đồng Hới cách 39 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.2,
https://www.booking.com/hotel/vn/thien-thanh-phong-nha.vi.html,Thien Thanh Hotel,"Provincial highway 20 Son Trach, Phong Nha, Việt Nam","Thien Thanh Hotel có khu vườn, phòng chờ chung, sân hiên và nhà hàng ở Phong Nha. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Mỗi phòng đều có điều hòa, ngoài ra một số căn tại khách sạn có ban công.

Leo núi và đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 2 sao này có dịch vụ thuê xe đạp.

Sân bay Đồng Hới cách 37 km.",9,2.0
https://www.booking.com/hotel/vn/riverview-home.vi.html,Riverview Home,"Đồng Sỹ Nguyên, Phong Nha, Việt Nam","Riverview Home tọa lạc ở Phong Nha, nhìn ra núi và có Wi-Fi miễn phí cùng chỗ đậu xe riêng miễn phí.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Homestay có phục vụ bữa sáng kiểu lục địa hằng ngày.

Riverview Home có sân hiên phơi nắng.

Khách nghỉ tại chỗ nghỉ có thể leo núi và đi xe đạp gần đó, hoặc thỏa thích sử dụng khu vườn.

Chỗ nghỉ cách Sân bay Đồng Hới 40 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.3,
https://www.booking.com/hotel/vn/thuong-hai.vi.html,Thuong Hai Hotel,"Thon Xuan Tien, Xa Son Trach, Huyen Bo Trach, Phong Nha, Việt Nam","Thuong Hai Hotel tọa lạc ở Phong Nha có Wi-Fi miễn phí. Mỗi phòng tại khách sạn 2 sao này đều nhìn ra núi, đồng thời khách có thể sử dụng sân hiên và quầy bar. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Phòng khách được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Phòng nào cũng có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Tại khách sạn, tất cả các phòng có ga trải giường và khăn tắm.

Tại Thuong Hai Hotel, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Mỹ, Ấn Độ và Ý. Bên cạnh đó, họ có thể yêu cầu không chứa sữa, món thuần chay và không chứa gluten.

Khách có thể chơi bi-a tại chỗ nghỉ. Ngoài ra, chỗ nghỉ có dịch vụ thuê xe đạp.

Sân bay Đồng Hới cách 38 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.2,2.0
https://www.booking.com/hotel/vn/clover-home-quang-binh-aa-ng-ha-i.vi.html,Clover Home Quảng Bình,"14 Nguyá»n Du, Ðồng Hới, Việt Nam","Clover Home Quảng Bình tọa lạc giáp biển ở Ðồng Hới, cách Bãi biển Nhật Lệ 2.1 km. Ngoài sân hiên, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Mỗi phòng đều có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại khách sạn, phòng nào cũng có ga trải giường và khăn tắm.

Clover Home Quảng Bình có phục vụ bữa sáng thực đơn à la carte và kiểu Á hằng ngày.

Sân bay Đồng Hới cách 6 km.",8.8,3.0
https://www.booking.com/hotel/vn/rex-quang-binh-dong-hoi.vi.html,Rex Quang Binh Hotel,"09 Bạch Đằng, Phường Nam Lý, Đồng Hới, Quảng Bình, Ðồng Hới, Việt Nam","Rex Quang Binh Hotel có trung tâm thể dục, khu vườn, phòng chờ chung và sân hiên ở Ðồng Hới. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ đậu xe riêng miễn phí có sẵn và khách sạn còn cung cấp dịch vụ thuê xe đạp cho những khách muốn khám phá khu vực xung quanh.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Rex Quang Binh Hotel, các phòng đều đi kèm với ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Rex Quang Binh Hotel cung cấp chỗ nghỉ 4 sao với hồ bơi trong nhà.

Sân bay Đồng Hới cách 6 km.",8.5,4.0
https://www.booking.com/hotel/vn/melia-vinpearl-quang-binh.vi.html,Melia Vinpearl Quang Binh,"Quach Xuan Ky Street Quach Xuan Ky Street, Ðồng Hới, Việt Nam","Melia Vinpearl Quang Binh có trung tâm thể dục, phòng chờ chung, nhà hàng và quầy bar ở Ðồng Hới. Khách sạn 5 sao này có máy ATM và dịch vụ tiền sảnh. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Các phòng có tủ quần áo.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Á cho bữa sáng.

Chỗ nghỉ có hồ bơi trong nhà, tiệm làm tóc và dịch vụ văn phòng ngay trong khuôn viên.

Melia Vinpearl Quang Binh cách Bãi biển Nhật Lệ 1.9 km. Sân bay Đồng Hới cách 7 km.",9.1,5.0
https://www.booking.com/hotel/vn/phong-nha-coco-riverside.vi.html,Phong Nha Coco Riverside,"Phong Nha Village, Son Trach, Bo Trach, Quang Binh, Phong Nha, Việt Nam","Phong Nha Coco Riverside có khu vườn, phòng chờ chung, sân hiên và nhà hàng ở Phong Nha. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Một số phòng có bếp với lò nướng và minibar.

Khách sạn có phục vụ bữa sáng thực đơn à la carte hoặc kiểu Á.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Phong Nha Coco Riverside có dịch vụ thuê ô tô.

Sân bay Đồng Hới cách 38 km.",9.1,
https://www.booking.com/hotel/vn/memory-homestay-bo-trach2.vi.html,Phong Nha Memory Homestay,"Thôn Hà Lời, thị trấn Phong Nha, huyện Bố Trạch, Quảng Bình, Phong Nha, Việt Nam","Nhìn ra thành phố, Phong Nha Memory Homestay ở Phong Nha cung cấp chỗ nghỉ có xe đạp miễn phí, khu vườn, khu vực bãi biển riêng, phòng chờ chung và sân hiên. Homestay có WiFi và chỗ đậu xe riêng miễn phí.

Các căn có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, lò nướng, ấm đun nước và bếp. Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Khách tại Phong Nha Memory Homestay có thể thưởng thức bữa sáng thực đơn à la carte. Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Mỹ, Việt và đồ nướng. Bên cạnh đó, họ có thể yêu cầu món chay, món thuần chay và không chứa gluten.

Phong Nha Memory Homestay có BBQ.

Khách có thể bơi ở hồ bơi trong nhà, lướt ván buồm hoặc đi xe đạp.

Chỗ nghỉ cách Sân bay Đồng Hới 38 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.2,
