url,name,location,description,point,star
https://www.booking.com/hotel/vn/khach-san-hau-giang.vi.html,Khách sạn Hậu Giang,"18 Hải Thượng Lãn Ông, Vị Thanh, Việt Nam","Nằm ở Vị Thanh, cách Trung tâm thương mại Vincom Xuân Khánh 46 km, Khách sạn Hậu Giang cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, khu vườn và sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí. Du khách có thể tận hưởng cảnh thành phố.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tất cả các phòng có két an toàn, trong đó một số phòng có ban công. Tại khách sạn, các phòng đều có ga trải giường và khăn tắm.

Khách sạn Hậu Giang có phục vụ bữa sáng thực đơn à la carte và kiểu Á mỗi buổi sáng.

Chỗ nghỉ cách Bến Ninh Kiều 48 km và Vincom Plaza Hùng Vương 49 km.",8.8,3.0
https://www.booking.com/hotel/vn/sojo-hau-giang.vi.html,SOJO Hotel Hau Giang,"16A Nguyễn Công Trứ Phường 1, Vị Thanh, Việt Nam","Tọa lạc ở Vị Thanh, cách Trung tâm thương mại Vincom Xuân Khánh 46 km, SOJO Hotel Hau Giang cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Ngoài quầy bar, khách sạn 4 sao này có các phòng được trang bị điều hòa và phòng tắm riêng. Chỗ nghỉ này cung cấp bếp chung, quầy lễ tân 24 giờ và phòng giữ hành lý cho khách.

Tại khách sạn, tất cả các phòng đều được thiết kế có bàn làm việc. Các phòng ở SOJO Hotel Hau Giang được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Chỗ nghỉ cách Bến Ninh Kiều 48 km và Vincom Plaza Hùng Vương 49 km.",8.8,4.0
https://www.booking.com/hotel/vn/khach-san-bong-sen-thanh-pho-vi-thanh.vi.html,Khách Sạn Bông Sen,"60 Trần Hưng Đạo, Vị Thanh, Việt Nam","Tọa lạc ở Vị Thanh, cách Trung tâm thương mại Vincom Xuân Khánh 44 km, Khách Sạn Bông Sen cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Chỗ nghỉ này có quầy bar, cũng như nhà hàng phục vụ ẩm thực Việt. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view thành phố. Phòng khách đều có tủ lạnh.

Khách Sạn Bông Sen có phục vụ bữa sáng kiểu lục địa hoặc kiểu Á.

Chỗ nghỉ có sân chơi trẻ em. Khách có thể chơi bi-a tại khách sạn 2 sao này. Ngoài ra, câu cá và đi xe đạp là hoạt động được ưa chuộng trong khu vực.

Khách Sạn Bông Sen cách Bến Ninh Kiều 46 km và Vincom Plaza Hùng Vương 46 km. Chỗ nghỉ cách Sân bay Quốc tế Cần Thơ 55 km và cung cấp dịch vụ đưa đón sân bay mất phí.",7.3,2.0
https://www.booking.com/hotel/vn/nha-nghi-hanh-phuc-vi-thanh1.vi.html,Nhà Nghỉ Hạnh Phúc,"306 Ngô Quốc Trị, Vị Thanh, Việt Nam","Tọa lạc cách Trung tâm thương mại Vincom Xuân Khánh 47 km và Bến Ninh Kiều 49 km, Nhà Nghỉ Hạnh Phúc cung cấp các phòng ở Vị Thanh. Chỗ nghỉ này nằm cách Vincom Plaza Hùng Vương 49 km, Bảo tàng Cần Thơ 49 km và Cầu đi bộ Ninh Kiều 49 km. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 55 km.",1,
https://www.booking.com/hotel/vn/nha-nghi-thao-tien-thanh-pho-vi-thanh.vi.html,Nhà nghỉ Thảo Tiên,"133 Nguyên Hồng, Xóm Tràm Cửa, Việt Nam","Tọa lạc cách Trung tâm thương mại Vincom Xuân Khánh 47 km, Nhà nghỉ Thảo Tiên cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Nhà nghỉ B&B có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, dép đi trong phòng và vòi xịt/chậu rửa vệ sinh.

Nhà nghỉ Thảo Tiên cách Bến Ninh Kiều 49 km và Vincom Plaza Hùng Vương 49 km. Sân bay gần nhất là Sân bay Rạch Giá, cách chỗ nghỉ 58 km.",6.5,
https://www.booking.com/hotel/vn/nha-nghi-thai-cuong-long-my.vi.html,Nhà nghỉ Thái Cường,"Thị xã long mỹ,tỉnh hậu giang, Ấp Vị Bình, Việt Nam","Nhà nghỉ Thái Cường tọa lạc ở Ấp Vị Bình.

Các căn ở inn được trang bị TV màn hình phẳng. Ngoài phòng tắm riêng với vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các phòng tại Nhà nghỉ Thái Cường cũng có Wi-Fi miễn phí. Các phòng tại chỗ nghỉ có điều hòa và bàn làm việc.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Nhà nghỉ Thái Cường 62 km.",7,
https://www.booking.com/hotel/vn/nha-nghi-thao-tien-thanh-pho-vi-thanh1.vi.html,Nhà Nghỉ Thảo Tiên,"133 Nguyên Hồng, Xóm Tràm Cửa, Việt Nam","Tọa lạc cách Trung tâm thương mại Vincom Xuân Khánh 47 km và Bến Ninh Kiều 49 km, Nhà Nghỉ Thảo Tiên cung cấp các phòng điều hòa và phòng tắm riêng ở Xóm Tràm Cửa. Chỗ nghỉ này nằm cách Vincom Plaza Hùng Vương 49 km, Bảo tàng Cần Thơ 49 km và Cầu đi bộ Ninh Kiều 50 km. Wi-Fi miễn phí và quầy lễ tân 24 giờ được cung cấp cho khách.

Tại khách sạn, tất cả các phòng đều có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các căn có tủ quần áo.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Nhà Nghỉ Thảo Tiên 56 km.",8,
https://www.booking.com/hotel/vn/nha-nghi-thao-tien-thanh-pho-vi-thanh2.vi.html,Nhà Nghỉ Thảo Tiên,"133 Nguyên Hồng, Xóm Tràm Cửa, Việt Nam","Nhà Nghỉ Thảo Tiên nằm ở Xóm Tràm Cửa, cách Trung tâm thương mại Vincom Xuân Khánh 47 km và Bến Ninh Kiều 49 km. Chỗ nghỉ cách Vincom Plaza Hùng Vương khoảng 49 km, Bảo tàng Cần Thơ 49 km và Cầu đi bộ Ninh Kiều 50 km. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Các căn có phòng tắm riêng với vòi sen và đồ vệ sinh cá nhân miễn phí.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 56 km.",8,
https://www.booking.com/hotel/vn/nha-nghi-thai-cuong.vi.html,Nhà nghỉ Thái Cường,"Quốc lộ 61,khu vực Bình Tân,phường Vĩnh Tường,thị xã Long Mỹ,Hậu Giang, Long Mỹ, Việt Nam","Nhà nghỉ Thái Cường cung cấp chỗ nghỉ tọa lạc ở Long Mỹ, cách Bến Ninh Kiều 44 km, Vincom Plaza Hùng Vương 44 km và Bảo tàng Cần Thơ 44 km. Chỗ nghỉ điều hòa này cách Trung tâm thương mại Vincom Xuân Khánh 42 km, khách có thể sử dụng WiFi miễn phí và chỗ đậu xe riêng có sẵn trong khuôn viên.

Nhà nghỉ B&B có TV màn hình phẳng. Khăn tắm và ga trải giường có sẵn ở nhà nghỉ B&B.

Nhà nghỉ B&B cách Can Tho Stadium 45 km và Cầu đi bộ Ninh Kiều 45 km. Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Nhà nghỉ Thái Cường 54 km.",1,
https://www.booking.com/hotel/vn/stiermann-39-s-ricefield-lodge.vi.html,Mekong Delta Ricefield Lodge,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ, Cần Thơ, Việt Nam","Nhìn ra khu vườn, Mekong Delta Ricefield Lodge tọa lạc ở Cần Thơ và có nhà hàng, phòng chờ chung, quầy bar, khu vườn, hồ bơi ngoài trời mở quanh năm cũng như sân hiên. WiFi miễn phí có sẵn.

Tại đây có phòng tắm riêng đầy đủ tiện nghi với vòi sen và đồ vệ sinh cá nhân miễn phí.

Chỗ nghỉ có phục vụ bữa sáng mỗi sáng, gồm các lựa chọn kiểu lục địa, kiểu Mỹ và kiểu Á.

Trang trại nghỉ dưỡng có BBQ.

Du khách có thể câu cá, đi ca nô và đi xe đạp trong khu vực, đồng thời Mekong Delta Ricefield Lodge cũng có nhiều tiện nghi thể thao dưới nước.

Chỗ nghỉ cách Trung tâm thương mại Vincom Xuân Khánh 28 km. Sân bay Quốc tế Cần Thơ cách 29 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.7,4.0
