url,name,location,description,point,star
https://www.booking.com/hotel/vn/tms-apartment-quy-nhon.vi.html,TMS Quy Nhơn View Biển,"28 Nguyễn Huệ, Quy Nhơn, Việt Nam","Nhìn ra thành phố, TMS Quy Nhơn View Biển ở Quy Nhơn cung cấp chỗ nghỉ có khu vực bãi biển riêng, phòng chờ chung, sân hiên, nhà hàng và quầy bar. Wi-Fi miễn phí được cung cấp.

Căn hộ có ban công nơi khách có thể nhìn ra biển, khu vực ghế ngồi, TV màn hình phẳng, bếp đầy đủ tiện nghi gồm tủ lạnh và bếp, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Tất cả các căn đều được thiết kế có sân trong nhìn ra núi.

TMS Quy Nhơn View Biển có sân chơi trẻ em.

Chỗ nghỉ có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô, đồng thời du khách có thể đi xe đạp gần đó.

TMS Quy Nhơn View Biển cách Bãi biển Quy Nhơn 2 phút đi bộ và Bãi Rạng 2.2 km. Chỗ nghỉ cách Sân bay Phù Cát 33 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.2,4.0
https://www.booking.com/hotel/vn/can-ho-bien-quy-nhon.vi.html,TMS Quy Nhơn Sea View,"28 Nguyễn Huệ, Quy Nhơn, Việt Nam","Nhìn ra thành phố, TMS Quy Nhơn Sea View nằm ở Quy Nhơn và có nhà hàng, bếp chung, quầy bar, khu vườn cũng như sân hiên. WiFi miễn phí có sẵn ở toàn bộ chỗ nghỉ.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tất cả các căn đều được thiết kế có ban công nhìn ra biển.

Chỗ nghỉ này có phòng chờ chung, ngoài ra khách có thể đi xe đạp gần đó.

Căn hộ cách Bãi biển Quy Nhơn 2 phút đi bộ. Sân bay Phù Cát cách 33 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.3,4.0
https://www.booking.com/hotel/vn/sea-harmony.vi.html,Xavia Hotel Quy Nhơn,"Đường Bùi Tư Toàn 24-25, Quy Nhơn, Việt Nam","Nằm ở Quy Nhơn, cách Bãi biển Quy Nhơn 6 phút đi bộ, Xavia Hotel Quy Nhơn cung cấp chỗ nghỉ có sân hiên, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ, dịch vụ tiền sảnh và tổ chức các tour du lịch cho khách.

Tất cả các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Với phòng tắm riêng được trang bị vòi sen và máy sấy tóc, các phòng tại khách sạn cũng có Wi-Fi miễn phí, trong đó một số phòng có view thành phố. Tại Xavia Hotel Quy Nhơn, tất cả các phòng có ga trải giường và khăn tắm.

Chỗ nghỉ cách Bãi tắm Hoàng Hậu 1.8 km. Chỗ nghỉ cách Sân bay Phù Cát 32 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.3,3.0
https://www.booking.com/hotel/vn/q-house-homestay-quy-nhon.vi.html,Q House- Green Villa Quy Nhơn,"70/14/12 70/14/13 Han Mac Tu, Ghenh Rang Ward, Quy Nhon, Quy Nhơn, Việt Nam","Cách Bãi biển Quy Nhơn 4 phút đi bộ, Q House- Green Villa Quy Nhơn có khu vườn, phòng chờ chung, điều hòa, ban công và Wi-Fi miễn phí.

Homestay có sân hiên nơi khách có thể nhìn ra thành phố, khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp, bếp đầy đủ tiện nghi gồm tủ lạnh và lò nướng, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Q House- Green Villa Quy Nhơn có BBQ.

Chỗ nghỉ có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô, đồng thời du khách có thể leo núi và đi xe đạp gần đó.

Q House- Green Villa Quy Nhơn cách Bãi tắm Hoàng Hậu 6 phút đi bộ và Bãi biển Quy Hòa 2.5 km. Chỗ nghỉ cách Sân bay Phù Cát 33 km và cung cấp dịch vụ đưa đón sân bay mất phí.",10,
https://www.booking.com/hotel/vn/tms-quy-nhon-lee-xinh.vi.html,TMS Quy Nhơn - Lee Xinh,"28 Nguyễn Huệ, Quy Nhơn, Việt Nam","Nằm cách Bãi biển Quy Nhơn 3 phút đi bộ và Bãi Rạng 2.1 km, TMS Quy Nhơn - Lee Xinh ở Quy Nhơn cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí và nhìn ra biển.

Căn hộ có ban công nơi khách có thể nhìn ra thành phố, khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp, bếp đầy đủ tiện nghi gồm tủ lạnh và bếp, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí.

TMS Quy Nhơn - Lee Xinh có sẵn dịch vụ cho thuê ô tô và khu vực bãi biển riêng.

Sân bay Phù Cát cách 32 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.1,4.0
https://www.booking.com/hotel/vn/flc-sea-tower.vi.html,FLC Sea Tower - Căn Hộ Biển Quy Nhơn,"Nguyễn Trung Tín Tầng 23 Tòa Nhà Hướng biển và Ghềnh Ráng resort, Quy Nhơn, Việt Nam","Nhìn ra biển, FLC Sea Tower - Căn Hộ Biển Quy Nhơn ở Quy Nhơn cung cấp chỗ nghỉ có khu vườn, khu vực bãi biển riêng, phòng chờ chung, sân hiên và nhà hàng. Chỗ nghỉ có công viên nước, đồng thời khách có thể trải nghiệm quầy bar ngay trong khuôn viên.

Khách sạn căn hộ có ban công, khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Bếp và ấm đun nước đều được cung cấp.

FLC Sea Tower - Căn Hộ Biển Quy Nhơn có dịch vụ cho thuê ô tô.

Chỗ nghỉ cách Bãi biển Quy Nhơn 3 phút đi bộ và Bãi tắm Hoàng Hậu 1.9 km. Chỗ nghỉ cách Sân bay Phù Cát 32 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.4,3.0
https://www.booking.com/hotel/vn/altara-serviced-residences.vi.html,Altara Luxury Residences Quy Nhon,"76 Tran Hung Dao, Hai Cang Ward, Quy Nhơn, Việt Nam","Cách Bãi biển Quy Nhơn 3 phút đi bộ và Bãi Rạng 1.3 km ở Quy Nhơn, Altara Luxury Residences Quy Nhon cung cấp chỗ nghỉ có khu vực ghế ngồi. Wi-Fi miễn phí có sẵn và chỗ đậu xe riêng có sẵn trong khuôn viên.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Khách sạn căn hộ có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô.

Chỗ nghỉ cách Sân bay Phù Cát 33 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.3,4.0
https://www.booking.com/hotel/vn/haku-boutique.vi.html,HAKU Boutique Hotel Quy Nhơn,"06 Kim Đồng, Quy Nhơn, Việt Nam","Nằm ở Quy Nhơn, HAKU Boutique Hotel Quy Nhơn cung cấp chỗ nghỉ giáp biển cách Bãi biển Quy Nhơn chỉ vài bước chân, cung cấp nhiều tiện nghi như khu vườn, sân hiên và quầy bar. Ngoài dịch vụ phòng, chỗ nghỉ này còn có công viên nước. Chỗ nghỉ cũng có Wi-Fi miễn phí và dịch vụ đưa đón sân bay mất phí.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, tất cả các phòng tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công.

Thành thạo tiếng Anh, tiếng Nhật và tiếng Việt, đội ngũ nhân viên luôn túc trực để hỗ trợ khách tại lễ tân.

HAKU Boutique Hotel Quy Nhơn cách Bãi Rạng 2.2 km. Sân bay gần nhất là Sân bay Phù Cát, cách chỗ nghỉ 33 km.",8.1,2.0
https://www.booking.com/hotel/vn/delight.vi.html,Delight Hotel,"07 Lê Lợi, Quy Nhơn, Việt Nam","Delight Hotel tọa lạc giáp biển ở Quy Nhơn, cách Bãi biển Quy Nhơn 4 phút đi bộ và Bãi Rạng 2.4 km. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, các phòng tại khách sạn cũng có Wi-Fi miễn phí, trong đó một số phòng có view thành phố. Tại Delight Hotel, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ cung cấp chỗ nghỉ 2 sao với phòng xông hơi khô.

Đội ngũ nhân viên của Delight Hotel luôn túc trực tại lễ tân 24/24 để cung cấp thông tin cho du khách.

Sân bay Phù Cát cách 32 km.",8.1,2.0
https://www.booking.com/hotel/vn/the-kila-boutique.vi.html,The Kila Boutique Hotel,"06 Trương Văn Của Phường Nguyễn Văn Cừ, Quy Nhơn, Việt Nam","Nằm giáp biển, The Kila Boutique Hotel cung cấp chỗ nghỉ 3 sao ở Quy Nhơn, đồng thời có hồ bơi ngoài trời, phòng chờ chung và sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng khách đều có bàn làm việc và ấm đun nước để khách sử dụng.

The Kila Boutique Hotel có phục vụ bữa sáng kiểu Á hằng ngày.

Chỗ nghỉ cách Bãi biển Quy Nhơn 6 phút đi bộ và Bãi tắm Hoàng Hậu 1.8 km.",8.6,3.0
