url,name,location,description,point,star
https://www.booking.com/hotel/vn/chuong-duong-thanh-pho-my-tho.vi.html,CHUONG DUONG HOTEL,"10 Ba Mươi Tháng Tư, Mỹ Tho, Việt Nam","CHUONG DUONG HOTEL ở Mỹ Tho có sân hiên và nhà hàng. Ngoài khu vườn, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Nhân viên tại chỗ có thể sắp xếp dịch vụ đưa đón.

Tất cả các phòng ở khách sạn được trang bị TV màn hình phẳng. Tất cả các phòng đều có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại CHUONG DUONG HOTEL, các phòng đều đi kèm với ga trải giường và khăn tắm.

Sân bay Quốc tế Tân Sơn Nhất cách 72 km.",8,3.0
https://www.booking.com/hotel/vn/mekong-riverside-resort.vi.html,Mekong Riverside Boutique Resort & Spa,"Hoa Quy, Hoa Khanh, Cái Bè, Việt Nam","Nằm giữa khu vườn trái cây nhiệt đới tươi tốt, Mekong Riverside Boutique Resort & Spa cung cấp Wi-Fi miễn phí và hồ bơi ngoài trời. Nơi nghỉ này cách Chợ Nổi Cái Bè 1,5 km.

Du khách có thể dùng bữa tại Nhà hàng Medley phục vụ ẩm thực Việt Nam và quốc tế ngay trong khuôn viên chỗ ở này hoặc chỉ đơn giản là thư giãn tại các quầy bar bên hồ bơi và bên lễ tân.

Quầy lễ tân 24 giờ có thể hỗ trợ khách với dịch vụ cho thuê xe đạp, dịch vụ giặt thường và giặt hấp. Du khách có thể tham gia các hoạt động như câu cá, chèo thuyền kayak, bơi xuồng và đi bộ đường dài. Khu nghỉ mát còn có tiện nghi BBQ cũng như trung tâm spa và chăm sóc sức khỏe.

Với tầm nhìn tuyệt đẹp, các phòng nghỉ máy lạnh tại đây được trang bị truyền hình cáp màn hình phẳng, ghế sofa, minibar và ban công rộng rãi. Các phòng tắm riêng đi kèm với tiện nghi vòi sen và đồ vệ sinh cá nhân miễn phí.

Mekong Riverside Boutique Resort & Spa nằm trong bán kính 60 km từ Thành phố Cần Thơ và 120 km từ Thành phố Hồ Chí Minh.",8.4,4.0
https://www.booking.com/hotel/vn/khach-san-song-tien.vi.html,Song Tien Hotel,"101 Trung Trac, Mỹ Tho, Việt Nam","Song Tien Hotel nằm ở trung tâm Thành phố Mỹ Tho và nhìn ra Sông Bảo Định. Khách sạn này cung cấp phòng nghỉ gắn máy điều hòa với ga trải giường màu trắng mịn và WiFi miễn phí trong toàn bộ khuôn viên. Du khách có thể tận hưởng dịch vụ mát-xa, phòng xông hơi khô và phòng xông hơi ướt với một khoản phụ phí.

Nằm cách khách sạn 5 phút đi bộ là Chợ Mỹ Tho và bến thuyền, nơi du khách có thể đi thuyền đến Cù lao Thới Sơn nổi tiếng. Chùa Vĩnh Tràng nằm trong bán kính 15 phút lái xe từ chỗ nghỉ này. Quanh khách sạn có một số văn phòng bán vé.

Với tầm nhìn ra quang cảnh dòng sông hoặc thành phố, phòng nghỉ tại đây hiện đại và được trang bị phòng tắm riêng cũng như minibar. Một số phòng còn có ban công. Du khách có thể tùy ý sử dụng chai nước và tiện nghi pha trà/cà phê.

Song Tien Hotel phục vụ bữa sáng hàng ngày. Dịch vụ phòng cũng được cung cấp tại đây.",7.8,2.0
https://www.booking.com/hotel/vn/mekong-lodge.vi.html,Mekong Lodge Resort,"An Hoa, Dong Hoa Hiep, Cái Bè, Việt Nam","Với dịch vụ cho thuê xe đạp miễn phí, Mekong Lodge là chỗ nghỉ tự nhiên hấp dẫn được bao quanh bởi khu vườn và Sông Tiền. Chỗ nghỉ cung cấp dịch vụ đưa đón 2 chiều miễn phí từ bến tàu du lịch Cái Bè. Wi-Fi miễn phí có tại trung tâm dịch vụ doanh nhân.

Tất cả phòng và bungalow tại đây đều được bố trí máy điều hòa cùng sân hiên nhìn ra vườn và sông. Chỗ nghỉ cung cấp màn chống muỗi. Phòng tắm riêng đi kèm bồn tắm và đồ vệ sinh cá nhân miễn phí.

Mekong Lodge nằm cách Nhà thờ Cái Bè 2,5 km. Sân bay Cần Thơ nằm trong bán kính 1,5 giờ lái xe từ chỗ nghỉ này. Thành phố Hồ Chí Minh cách đó 2,5 giờ lái xe.

Bàn đặt tour có thể sắp xếp các chuyến đi trong ngày, dịch vụ cho thuê xe hơi và dịch vụ đưa đón sân bay với một khoản phụ phí. Lễ tân tại đây làm việc 24 giờ/ngày.

Hai nhà hàng trong khuôn viên resort phục vụ thực đơn lập sẵn gồm các món địa phương. Chỗ nghỉ cũng có quầy bar và dịch vụ phòng 24 giờ.",8.5,4.0
https://www.booking.com/hotel/vn/phung-kim-thao.vi.html,Phụng Kim Thảo Hotel Long An,"49 ấp Thuận Nam, xã Thuận Thành, huyện Cần Giuộc, Long An, Việt Nam","Tọa lạc ở Long An, cách Trung tâm Triển lãm và Hội nghị Sài Gòn 27 km, Phụng Kim Thảo Hotel Long An cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí. Khách sạn 2 sao này có các phòng được trang bị điều hòa. Chùa Giác Lâm cách khách sạn 28 km và Công viên văn hóa Đầm Sen 28 km.

Tại khách sạn, tất cả các phòng đều được thiết kế có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực 24/7 tại lễ tân.

Phụng Kim Thảo Hotel Long An cách Bảo tàng Mỹ thuật 30 km và Chợ Bến Thành 30 km.",6.3,2.0
https://www.booking.com/hotel/vn/central-plaza-my-tho.vi.html,CENTRAL PLAZA HOTEL - Mỹ Tho,"15 Ba Mươi Tháng Tư, Phường 1, Mỹ Tho, Tiền Giang, Mỹ Tho, Việt Nam","CENTRAL PLAZA HOTEL - Mỹ Tho có hồ bơi ngoài trời, khu vườn, nhà hàng và quầy bar ở Mỹ Tho. Khách sạn 4 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Chỗ nghỉ này cung cấp dịch vụ tiền sảnh, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng, ban công và phòng tắm riêng với vòi sen. Tại CENTRAL PLAZA HOTEL - Mỹ Tho, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet mỗi sáng.

Sân bay Quốc tế Tân Sơn Nhất cách 72 km.",,4.0
https://www.booking.com/hotel/vn/cuu-long-my-tho.vi.html,Cuu Long Hotel,"81-83 Đường 30/4, Phường 1, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Mỹ Tho, Việt Nam","Cuu Long Hotel có phòng chờ chung, sân hiên, nhà hàng và quầy bar ở Mỹ Tho. Khách sạn 3 sao này có bàn bán tour và phòng giữ hành lý. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách tại khách sạn sẽ có thể tận hưởng các hoạt động ở trong Mỹ Tho và khu vực xung quanh, như đi xe đạp.

Sân bay Quốc tế Tân Sơn Nhất cách 72 km.",8.4,3.0
https://www.booking.com/hotel/vn/ngoc-linh-mt.vi.html,NGỌC LINH MT,"214 Pháº¡m Thanh , PhÆ°á»ng 5 , Tp.Má»¹ Tho , Tiá»n Giang, Châu Thành, Việt Nam","NGỌC LINH MT cung cấp chỗ nghỉ tại Châu Thành. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, tất cả các phòng có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view thành phố.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, NGỌC LINH MT có dịch vụ thuê xe đạp.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 70 km.",6.9,
https://www.booking.com/hotel/vn/sang-tia-n-annex.vi.html,Song Tien Annex Hotel,"33 Thien Ho Duong, Ward 1, Mỹ Tho, Việt Nam","Tọa lạc tại trung tâm Thành phố Mỹ Tho, nhìn ra điểm giao nhau của kênh Bảo Định và Sông Mê Kông, Song Tien Annex Hotel cung cấp phòng nghỉ với WiFi miễn phí, ban công và tầm nhìn ra Sông Bảo Định. Nằm cách Chợ Mỹ Tho chỉ 5 phút đi bộ, chỗ nghỉ này có nhà hàng trên sân thượng mở cửa phục vụ bữa sáng.

Tất cả phòng nghỉ tại đây đều có máy điều hòa, sàn gỗ, TV màn hình phẳng và minibar. Cà phê, trà và nước đóng chai miễn phí được cung cấp trong phòng. Các phòng tắm riêng đi kèm vòi sen và bồn tắm.

Song Tien Annex Hotel nằm cách Chùa Vĩnh Tràng 10 phút lái xe và Cù lao Thới Sơn 20 phút lái xe. Chỗ đỗ xe miễn phí được bố trí ở khu vực gần đó. Dịch vụ đỗ xe cho khách ngay trong khuôn viên cũng được cung cấp với một khoản phụ phí.

Khách sạn có dịch vụ giặt là. Du khách có thể gửi hành lý tại quầy lễ tân 24 giờ. Dịch vụ phòng cũng được cung cấp.",7.8,1.0
https://www.booking.com/hotel/vn/minh-tai.vi.html,Minh Tai Hotel,"1 Nguyen Hue, Mỹ Tho, Việt Nam","Minh Tai Hotel tọa lạc tại thành phố Mỹ Tho. Khách sạn cung cấp Wi-Fi miễn phí. Mỗi phòng nghỉ tại đây đều có TV, máy lạnh và ban công. Khu vực ăn uống hoàn chỉnh với tủ lạnh, đồng thời có cả ấm đun nước điện. Phòng tắm riêng đi kèm vòi sen và bồn tắm/vòi sen và máy sấy tóc. Du khách có thể ngắm nhìn quang cảnh thành phố từ phòng nghỉ của mình. Ngoài ra, trong phòng còn có minibar, ổ cắm cho iPod và các kênh truyền hình cáp.

Tại Minh Tai Hotel, du khách sẽ tìm thấy quầy lễ tân 24 giờ. Dịch vụ đặt vé, chỗ để hành lý và dịch vụ giặt hấp cũng nằm trong số các tiện nghi của chỗ nghỉ này. Khách sạn có chỗ đỗ xe miễn phí.

Sân bay Quốc tế Tân Sơn Nhất cách đó 62 km.",7.4,1.0
https://www.booking.com/hotel/vn/khach-san-lac-hong-my-tho-my-tho.vi.html,Khách Sạn Lạc Hồng Mỹ Tho - Lac Hong My Tho Hotel,"69 Đường 30/4, Phường 1, Mỹ Tho, Việt Nam","Nằm ở Mỹ Tho, Khách Sạn Lạc Hồng Mỹ Tho - Lac Hong My Tho Hotel cung cấp chỗ nghỉ 3 sao có sân hiên, nhà hàng và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tất cả các phòng có phòng tắm riêng, máy sấy tóc và ga trải giường.

Khách tại khách sạn có thể thưởng thức bữa sáng kiểu Á hoặc món chay.

Sân bay Quốc tế Tân Sơn Nhất cách 72 km.",8.4,3.0
