url,name,location,description,point,star
https://www.booking.com/hotel/vn/happy-family-guesthouse.vi.html,Happy Family Guesthouse,"53/4 Phu My , Dong Phu, Long Ho, Vĩnh Long, Việt Nam","Tọa lạc bên Sông Mê-Kông, Happy Family Guesthouse cung cấp các căn nhà nhỏ kiểu nông thôn cơ bản và thoải mái với truy cập Wi-Fi miễn phí. Được bao quanh bởi không gian cây xanh nhiệt đới, nơi nghỉ này có khu vườn và hồ bơi với sàn phơi nắng.

Nhà khách cách Cồn Đồng Phú chỉ 2 km. Thành phố Vĩnh Long cách nơi nghỉ này 10 km trong khi chợ nổi Cái Bè cách đó 30 phút đi thuyền.

Được trang trí nội thất đơn giản, những căn nhà nhỏ kiểu nông thôn tại đây có mái tranh, sàn gỗ và đồ đạc bằng tre. Được xây dựng trên sông, các căn nhà còn gồm khu vực tiếp khách, màn chống muỗi và khăn tắm. Du khách được sử dụng tiện nghi phòng tắm chung với vòi sen.

Nhân viên thân thiện tại Happy Family Guesthouse có thể giúp đỡ khách với dịch vụ giặt là và thu xếp việc đi tham quan. Du khách cũng có thể thư giãn tại sân hiên tắm nắng và khu vực tiếp khách chung.

Nơi nghỉ này có nhà hàng phục vụ nhiều món ăn ngon của Việt Nam.",9.3,
https://www.booking.com/hotel/vn/phuong-thao-homestay.vi.html,Phuong Thao Homestay,"An Thanh, An Binh, Long Ho, Vĩnh Long, Việt Nam","Phuong Thao Homestay nằm ở thành phố Vĩnh Long, trong bán kính 2 km từ Bến phà An Bình và có xe đạp miễn phí cùng khu vườn rộng rãi. Quý khách có thể thuê ca nô để đi dọc theo Sông Cổ Chiên.

Mỗi phòng nghỉ đều có Wi-Fi miễn phí, lối trang trí đơn giản và màn chống muỗi quanh giường. Phòng tắm chung được trang bị vòi sen.

Nhà hàng phục vụ các món ăn tự làm truyền thống của Miền Nam. Quý khách cũng có thể tham gia các lớp học nấu ăn theo yêu cầu.

Bảo tàng Vĩnh Long cách Homestay Phuong Thao 500 m, trong khi Khu di tích thành Long Hồ cách đó 1 km.",8.8,
https://www.booking.com/hotel/vn/ngoc-phuong-homestay.vi.html,Ngoc Phuong Homestay,"118C/10, Binh Luong Hamlet, An Binh Ward, Long Ho District, Vĩnh Long, Việt Nam","Ngoc Phuong Homestay nằm ở thành phố Vĩnh Long. Nơi nghỉ cung cấp xe đạp cho thuê miễn phí, bãi đậu xe và truy cập Wi-Fi. Bữa sáng với thực đơn lập sẵn được phục vụ hàng ngày.

Mỗi phòng được trang bị quạt làm mát và đi kèm bàn, cũng như màn chống muỗi. Khách sử dụng chung phòng tắm và tiện nghi toilet.

Khách có thể tới quầy lễ tân 24 giờ để sắp xếp các hoạt động như chèo thuyền và câu cá. Những dịch vụ như giặt, ủi và giữ hành lý cũng được cung cấp.",9,
https://www.booking.com/hotel/vn/song-me-home-vinh-long.vi.html,Sông Mê Home,"52/4 Binh Thuan 2, Hoa Ninh, Long Ho, Vinh Long, Viet Nam, Vĩnh Long, Việt Nam","Nhìn ra khu vườn, Sông Mê Home ở Vĩnh Long cung cấp chỗ nghỉ có khu vườn, phòng chờ chung, sân hiên, nhà hàng và tiện nghi BBQ. Homestay có WiFi và chỗ đậu xe riêng miễn phí.

Tại đây có phòng tắm riêng đầy đủ tiện nghi với vòi sen và dép đi trong phòng.

Khách tại Sông Mê Home có thể thưởng thức bữa sáng kiểu Á.

Sân bay Quốc tế Cần Thơ cách 56 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.6,
https://www.booking.com/hotel/vn/phuoc-hung-3-thanh-pho-vinh-long.vi.html,Phước Hưng 3 Hotel,"40 Trưng Nữ Vương Phường 1, Vĩnh Long, Việt Nam","Nằm ở Vĩnh Long gần Vinh Long Museum, Phước Hưng 3 Hotel cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh. Một số căn có khu vực ghế ngồi và/hoặc ban công.

Khách sạn căn hộ cách Trung tâm thương mại Vincom Xuân Khánh 40 km và Bến Ninh Kiều 40 km. Chỗ nghỉ cách Sân bay Quốc tế Cần Thơ 49 km và cung cấp dịch vụ đưa đón sân bay mất phí.",8.5,4.0
https://www.booking.com/hotel/vn/mekong-nature-lodge.vi.html,MEKONG NATURE LODGE,"ẤP AN THẠNH, XÃ AN BÌNH, HUYỆN LONG HỒ, VĨNH LONG, Vĩnh Long, Việt Nam","Tọa lạc ở Vĩnh Long, MEKONG NATURE LODGE cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa và khu vườn với sân hiên. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí.

Nơi đây còn có phòng tắm riêng với vòi sen và máy sấy tóc ở từng căn, cùng dép đi trong phòng.

Sân bay Quốc tế Cần Thơ cách 64 km.",8.6,
https://www.booking.com/hotel/vn/phuoc-hung-2.vi.html,Phước Hưng 2 Hotel,"44a Trưng Nữ Vương Phường 1, Vĩnh Long, Việt Nam","Cách Trung tâm thương mại Vincom Xuân Khánh 40 km, Phước Hưng 2 Hotel nằm ở Vĩnh Long, cung cấp Wi-Fi miễn phí và dịch vụ tiền sảnh. Chỗ nghỉ cách Bến Ninh Kiều khoảng 40 km, Vincom Plaza Hùng Vương 41 km và Vinh Long Museum 6 phút đi bộ. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng đều có phòng tắm riêng được trang bị vòi sen và máy sấy tóc, trong đó một số phòng tại khách sạn cũng có ban công. Tại Phước Hưng 2 Hotel, tất cả các phòng có ga trải giường và khăn tắm.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Chỗ nghỉ cách Bảo tàng Cần Thơ 40 km và Can Tho Stadium 42 km. Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Phước Hưng 2 Hotel 49 km.",8.3,
https://www.booking.com/hotel/vn/khach-san-phuoc-hung.vi.html,Phước Hưng 1 Hotel,"44/62B Nguyễn Văn Thiệt , Phường 3 , TP Vĩnh Long, Vĩnh Long, Việt Nam","Cách Trung tâm thương mại Vincom Xuân Khánh 39 km, Phước Hưng 1 Hotel nằm ở Vĩnh Long, cung cấp Wi-Fi miễn phí và dịch vụ tiền sảnh. Chỗ nghỉ này tọa lạc cách Bến Ninh Kiều 39 km, Vincom Plaza Hùng Vương 41 km và Vinh Long Museum 2.5 km. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng đều đi kèm với phòng tắm riêng với vòi sen, máy sấy tóc và dép đi trong phòng. Tại khách sạn, tất cả các phòng có ga trải giường và khăn tắm.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Phước Hưng 1 Hotel cách Bảo tàng Cần Thơ 39 km và Can Tho Stadium 41 km. Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách chỗ nghỉ 49 km.",7.6,
https://www.booking.com/hotel/vn/mekong-pottery-homestay-dbl-1-thanh-pho-vinh-long.vi.html,"Mekong Pottery Homestay, Green-Friendly & Boat Tour","209A/15 Mười Bốn Tháng Chín Street, Thanh Đức Hamlet, Long Hồ District, 891311 Vĩnh Long, Việt Nam","Nhìn ra khu vườn, Mekong Pottery Homestay, Green-Friendly & Boat Tour ở Vĩnh Long cung cấp chỗ nghỉ có xe đạp miễn phí, khu vườn, sân hiên, nhà hàng và tiện nghi BBQ. WiFi và chỗ đậu xe riêng đều có sẵn tại homestay miễn phí.

Nơi đây còn có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh ở tất cả các căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Chỗ nghỉ có phục vụ bữa sáng mỗi buổi sáng, gồm các lựa chọn thực đơn à la carte, kiểu lục địa và kiểu Á.

Du khách có thể đi xe đạp để khám phá khu vực xung quanh, đồng thời Mekong Pottery Homestay, Green-Friendly & Boat Tour có thể sắp xếp dịch vụ cho thuê ô tô.

Chỗ nghỉ cách Trung tâm thương mại Vincom Xuân Khánh 44 km và Bến Ninh Kiều 44 km. Chỗ nghỉ cách Sân bay Quốc tế Cần Thơ 54 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.8,
https://www.booking.com/hotel/vn/khach-san-cay-cau-do.vi.html,Khách sạn Mekong Star,"14 Hùng Vương Phường 01, Vĩnh Long, Việt Nam","Nằm ở Vĩnh Long, cách Trung tâm thương mại Vincom Xuân Khánh 40 km, Khách sạn Mekong Star cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Chỗ nghỉ này có Wi-Fi miễn phí, nằm cách Bến Ninh Kiều 41 km và Vincom Plaza Hùng Vương 42 km. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và phòng giữ hành lý cho khách.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Tại Khách sạn Mekong Star, các phòng được thiết kế có ga trải giường và khăn tắm.

Lễ tân tại chỗ nghỉ có thể cung cấp các thông tin hữu ích để giúp du khách tham quan khu vực xung quanh một cách thuận tiện.

Khách sạn Mekong Star cách Vinh Long Museum chưa đến 1 km và Bảo tàng Cần Thơ 41 km. Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 50 km.",8.6,
